Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Abstract Concepts,anger,strong;big;bad;quick;deep;hot;sudden;fierce;raw;blind
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,lightning,fast;bright;strong;quick;wild;pure;real;good;simple;hot
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,rain,heavy;cold;strong;quick;pure;fresh;good;soft;dark;big
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,rainbow,beautiful;bright;big;pure;fresh;good;simple;real;warm;clear
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;pure;fresh;big;good;quiet;real;simple
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,storm,strong;big;wild;dark;quick;bad;pure;real;cold;fresh
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,thunder,loud;strong;big;quick;wild;dark;pure;real;bad;simple
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,tide,strong;high;big;fast;wild;pure;real;good;simple;fresh
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,volcano,big;hot;wild;dark;strong;pure;real;simple;good;old
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;wild;pure;real;good;simple;fresh;quiet
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Food Items,apple,red;big;fresh;good;sweet;small;pure;simple;real;green
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Food Items,banana,yellow;big;fresh;good;sweet;small;pure;simple;real;soft
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Food Items,beef,fresh;good;big;red;hot;pure;simple;real;soft;strong
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Food Items,bread,fresh;good;warm;big;soft;pure;simple;real;white;new
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Food Items,broccoli,green;fresh;good;big;pure;simple;real;soft;small;new
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Food Items,cheese,yellow;fresh;good;soft;big;pure;simple;real;warm;new
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Food Items,chicken,fresh;good;big;white;pure;simple;real;soft;new;warm
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Food Items,egg,fresh;good;big;white;pure;simple;real;soft;new;small
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Food Items,fish,fresh;good;big;small;pure;simple;real;wild;new;cold
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Food Items,pasta,fresh;good;hot;big;pure;simple;real;new;soft;yellow
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Food Items,rice,white;fresh;good;big;pure;simple;real;new;soft;warm
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Food Items,soup,hot;fresh;good;big;pure;simple;real;new;soft;thick
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Human Roles,artist,good;young;creative;big;pure;simple;real;new;fresh;strong
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Human Roles,athlete,strong;fast;young;good;big;pure;simple;real;new;fresh
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Human Roles,chef,good;young;creative;big;pure;simple;real;new;fresh;strong
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Human Roles,doctor,good;young;kind;big;pure;simple;real;new;fresh;strong
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Human Roles,engineer,good;young;smart;big;pure;simple;real;new;fresh;strong
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Human Roles,farmer,strong;old;good;big;pure;simple;real;new;fresh;kind
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Human Roles,lawyer,smart;good;young;big;pure;simple;real;new;fresh;strong
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Human Roles,musician,good;young;creative;big;pure;simple;real;new;fresh;strong
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Human Roles,scientist,smart;good;young;big;pure;simple;real;new;fresh;strong
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Human Roles,soldier,strong;brave;young;big;pure;simple;real;new;fresh;good
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Human Roles,teacher,good;kind;young;big;pure;simple;real;new;fresh;smart
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Human Roles,writer,good;creative;young;big;pure;simple;real;new;fresh;smart
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Inanimate Objects,book,old;new;big;good;pure;simple;real;fresh;small;thick
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Inanimate Objects,bridge,big;old;new;strong;good;pure;simple;real;fresh;high
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Inanimate Objects,drums,big;loud;new;good;pure;simple;real;fresh;small;old
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Inanimate Objects,earth,big;green;old;good;pure;simple;real;fresh;strong;wide
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Inanimate Objects,flute,small;new;good;pure;simple;real;fresh;old;soft;bright
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Inanimate Objects,key,small;old;new;good;pure;simple;real;fresh;hard;bright
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Inanimate Objects,knife,sharp;small;old;new;good;pure;simple;real;fresh;hard
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Inanimate Objects,lock,old;new;good;strong;pure;simple;real;fresh;hard;small
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Inanimate Objects,moon,big;bright;old;good;pure;simple;real;fresh;full;dark
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Inanimate Objects,pen,small;new;good;pure;simple;real;fresh;old;black;hard
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Inanimate Objects,sun,big;bright;hot;good;pure;simple;real;fresh;old;strong
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Inanimate Objects,sword,sharp;big;old;new;good;pure;simple;real;fresh;strong
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Neutral Animals,cat,small;black;good;pure;simple;real;fresh;old;fast;wild
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Neutral Animals,dog,big;good;fast;pure;simple;real;fresh;old;strong;loyal
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Neutral Animals,dolphin,big;fast;good;pure;simple;real;fresh;smart;wild;blue
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Neutral Animals,elephant,big;strong;good;pure;simple;real;fresh;old;wild;gray
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Neutral Animals,hamster,small;fast;good;pure;simple;real;fresh;wild;brown;cute
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Neutral Animals,monkey,small;fast;good;pure;simple;real;fresh;wild;smart;brown
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Neutral Animals,mouse,small;fast;good;pure;simple;real;fresh;wild;gray;quiet
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Neutral Animals,peacock,big;beautiful;good;pure;simple;real;fresh;wild;blue;proud
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Neutral Animals,rabbit,small;fast;good;pure;simple;real;fresh;wild;white;soft
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Neutral Animals,shark,big;fast;good;pure;simple;real;fresh;wild;gray;strong
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Neutral Animals,snake,long;fast;good;pure;simple;real;fresh;wild;green;sly
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Neutral Animals,whale,big;strong;good;pure;simple;real;fresh;wild;blue;old
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Places,city,big;busy;new;good;pure;simple;real;fresh;old;clean
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Places,desert,big;hot;dry;good;pure;simple;real;fresh;wild;sandy
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Places,forest,big;green;old;good;pure;simple;real;fresh;wild;dark
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Places,island,small;green;good;pure;simple;real;fresh;wild;sunny;remote
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Places,lake,big;blue;good;pure;simple;real;fresh;wild;deep;calm
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Places,mountain,big;high;good;pure;simple;real;fresh;wild;old;steep
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Places,ocean,big;blue;good;pure;simple;real;fresh;wild;deep;strong
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Places,plain,big;flat;good;pure;simple;real;fresh;wild;green;open
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Places,plateau,big;high;good;pure;simple;real;fresh;wild;flat;rocky
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Places,river,big;fast;good;pure;simple;real;fresh;wild;deep;blue
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Places,valley,big;green;good;pure;simple;real;fresh;wild;deep;quiet
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Places,village,small;old;good;pure;simple;real;fresh;wild;quiet;green
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Plants,cactus,small;green;good;pure;simple;real;fresh;wild;prickly;dry
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Plants,eggplant,purple;big;good;pure;simple;real;fresh;wild;soft;round
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Plants,flower,beautiful;small;good;pure;simple;real;fresh;wild;red;bright
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Plants,grass,green;soft;good;pure;simple;real;fresh;wild;tall;wet
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Plants,lettuce,green;fresh;good;pure;simple;real;wild;small;crisp;leafy
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Plants,mushroom,small;white;good;pure;simple;real;fresh;wild;soft;round
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Plants,onion,white;fresh;good;pure;simple;real;wild;small;strong;round
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Plants,pepper,red;fresh;good;pure;simple;real;wild;small;hot;round
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Plants,potato,brown;fresh;good;pure;simple;real;wild;small;round;hard
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Plants,rose,red;beautiful;good;pure;simple;real;fresh;wild;small;sweet
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Plants,tomato,red;fresh;good;pure;simple;real;wild;small;round;juicy
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Plants,tree,big;green;good;pure;simple;real;fresh;wild;old;tall
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Social Relationships,ally,strong;good;true;big;pure;simple;real;fresh;loyal;smart
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Social Relationships,brother,young;good;strong;big;pure;simple;real;fresh;kind;smart
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Social Relationships,enemy,bad;strong;big;pure;simple;real;fresh;wild;dark;old
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Social Relationships,father,old;good;strong;big;pure;simple;real;fresh;kind;wise
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Social Relationships,follower,loyal;good;strong;big;pure;simple;real;fresh;young;true
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Social Relationships,friend,good;true;strong;big;pure;simple;real;fresh;kind;young
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Social Relationships,leader,strong;good;big;pure;simple;real;fresh;wise;young;true
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Social Relationships,mother,good;kind;strong;big;pure;simple;real;fresh;wise;old
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Social Relationships,partner,good;strong;big;pure;simple;real;fresh;true;young;smart
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Social Relationships,rival,strong;bad;big;pure;simple;real;fresh;wild;young;smart
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Social Relationships,sister,young;good;kind;big;pure;simple;real;fresh;smart;true
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Social Relationships,stranger,unknown;good;big;pure;simple;real;fresh;wild;young;dark
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Spatial Concepts,above,high;bright;good;pure;simple;real;fresh;clear;big;new
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Spatial Concepts,back,old;dark;good;pure;simple;real;fresh;strong;big;quiet
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Spatial Concepts,below,low;dark;good;pure;simple;real;fresh;deep;small;old
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Spatial Concepts,east,bright;good;pure;simple;real;fresh;warm;big;new;clear
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Spatial Concepts,front,big;good;pure;simple;real;fresh;clear;new;strong;bright
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Spatial Concepts,inside,warm;dark;good;pure;simple;real;fresh;small;quiet;safe
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Spatial Concepts,left,dark;good;pure;simple;real;fresh;small;old;quiet;safe
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Spatial Concepts,north,cold;good;pure;simple;real;fresh;big;new;clear;wild
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Spatial Concepts,outside,cold;dark;good;pure;simple;real;fresh;big;new;wild
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Spatial Concepts,right,good;pure;simple;real;fresh;clear;new;strong;bright;safe
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Spatial Concepts,south,warm;good;pure;simple;real;fresh;big;new;clear;bright
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Spatial Concepts,west,dark;good;pure;simple;real;fresh;big;new;clear;wild
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Time Concepts,century,long;old;good;pure;simple;real;fresh;big;new;great
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Time Concepts,day,long;bright;good;pure;simple;real;fresh;warm;big;new
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Time Concepts,evening,quiet;dark;good;pure;simple;real;fresh;cool;big;new
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Time Concepts,hour,long;short;good;pure;simple;real;fresh;big;new;quiet
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Time Concepts,minute,short;quick;good;pure;simple;real;fresh;big;new;quiet
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Time Concepts,month,long;good;pure;simple;real;fresh;big;new;quiet;warm
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Time Concepts,morning,bright;fresh;good;pure;simple;real;big;new;quiet;cool
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Time Concepts,night,dark;quiet;good;pure;simple;real;fresh;big;new;cold
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Time Concepts,season,long;good;pure;simple;real;fresh;big;new;warm;cold
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Time Concepts,second,short;quick;good;pure;simple;real;fresh;big;new;quiet
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Time Concepts,week,short;good;pure;simple;real;fresh;big;new;quiet;busy
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Time Concepts,year,long;good;pure;simple;real;fresh;big;new;quiet;full
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Abstract Concepts,anger,strong;sudden;intense;deep;blind;burning;explosive;bitter;dangerous;repressed
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Abstract Concepts,courage,brave;great;bold;steady;heroic;moral;physical;quiet;noble;fearless
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Abstract Concepts,fear,strong;sudden;deep;cold;dark;overwhelming;hidden;constant;real;irrational
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Abstract Concepts,freedom,great;true;full;personal;basic;hard-won;absolute;simple;equal;new
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Abstract Concepts,happiness,great;pure;simple;true;lasting;quiet;deep;sudden;shared;bright
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Abstract Concepts,hate,strong;deep;bitter;blind;intense;cold;pure;sudden;endless;dark
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Abstract Concepts,honesty,true;simple;full;basic;clear;direct;pure;real;brave;natural
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Abstract Concepts,justice,fair;true;blind;equal;strong;quick;moral;clear;simple;hard
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Abstract Concepts,knowledge,deep;wide;basic;useful;new;old;simple;secret;shared;true
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Abstract Concepts,love,true;deep;strong;pure;simple;endless;blind;passionate;quiet;new
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Abstract Concepts,peace,quiet;deep;true;simple;lasting;full;world;inner;new;strong
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Abstract Concepts,wisdom,great;deep;old;true;simple;clear;practical;quiet;natural;ancient
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,bell,old;big;small;loud;clear;metal;broken;shiny;simple;golden
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,candle,small;lit;warm;wax;simple;colored;tall;old;soft;bright
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,carpet,soft;big;old;new;colorful;warm;thick;dirty;simple;red
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,coin,old;small;shiny;metal;rare;gold;silver;fake;new;heavy
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,crown,golden;big;old;royal;heavy;shiny;simple;fake;beautiful;broken
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,flag,national;big;old;colorful;waving;red;blue;simple;torn;proud
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,mask,black;scary;simple;old;plastic;funny;hidden;colorful;cheap;protective
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,necklace,gold;simple;beautiful;old;shiny;long;cheap;colorful;broken;elegant
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;big;simple;famous;new;dark;bright;abstract
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,ring,gold;small;shiny;old;simple;broken;cheap;beautiful;diamond;silver
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,statue,big;old;stone;beautiful;broken;famous;simple;metal;new;tall
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,vase,old;beautiful;glass;simple;broken;colorful;tall;cheap;empty;decorative
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,cloud,white;big;dark;fluffy;low;fast;rainy;simple;thin;high
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,earthquake,strong;sudden;dangerous;big;deep;rare;violent;quick;natural;terrible
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,fog,thick;cold;heavy;gray;early;mysterious;low;wet;quiet;dense
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,lightning,bright;fast;dangerous;sudden;powerful;white;rare;dramatic;natural;strong
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,rain,heavy;light;cold;steady;warm;sudden;soft;endless;wet;refreshing
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,rainbow,colorful;bright;beautiful;rare;big;clear;wet;magical;natural;full
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,snow,white;soft;cold;deep;fresh;light;wet;pure;quiet;heavy
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,storm,strong;violent;dark;sudden;big;rainy;windy;dangerous;long;fierce
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,thunder,loud;deep;sudden;scary;powerful;distant;natural;strong;quick;rumbling
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,tide,high;low;strong;fast;calm;daily;cold;rising;natural;powerful
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,volcano,active;dangerous;big;old;explosive;hot;sleeping;natural;tall;fiery
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,wind,strong;cold;warm;fast;gentle;steady;wild;cool;dry;fresh
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Food Items,apple,red;green;fresh;sweet;big;small;ripe;juicy;hard;sour
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Food Items,banana,yellow;long;sweet;ripe;fresh;soft;big;small;green;curved
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Food Items,beef,fresh;red;tender;cooked;lean;juicy;cheap;good;raw;fatty
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Food Items,bread,fresh;soft;warm;white;whole;simple;tasty;old;big;crusty
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Food Items,broccoli,green;fresh;crunchy;healthy;big;small;steamed;raw;tasty;organic
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Food Items,cheese,yellow;soft;hard;fresh;tasty;strong;mild;creamy;cheap;aged
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Food Items,chicken,fresh;cooked;white;juicy;grilled;cheap;organic;small;tasty;raw
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Food Items,egg,fresh;white;brown;large;small;boiled;fried;cracked;organic;hard
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Food Items,fish,fresh;big;small;wild;cooked;tasty;silver;frozen;cheap;oily
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Food Items,pasta,cooked;soft;dry;fresh;simple;tasty;long;short;cheap;Italian
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Food Items,rice,white;cooked;dry;soft;fresh;simple;brown;steamed;cheap;sticky
grok-3-mini,think-in-native,1.0,IT # Italian,B2,most frequent,Food Items,soup,hot;tasty;thick;simple;fresh;cold;vegetable;creamy;quick;hearty
