Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,anger,strong;sudden;bad;hot;deep;quick;dangerous;blind;bitter;raw
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Human Roles,doctor,kind;busy;young;old;skilled;hard;real;quiet;big;true
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Human Roles,engineer,smart;busy;young;old;hard;real;big;simple;quick;true
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Human Roles,farmer,hard;strong;young;old;real;big;simple;quiet;busy;true
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Human Roles,lawyer,smart;busy;young;old;hard;real;big;simple;quick;true
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Human Roles,musician,talented;young;old;creative;hard;real;big;simple;quiet;true
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Human Roles,scientist,smart;curious;young;old;hard;real;big;simple;quiet;true
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Human Roles,soldier,strong;brave;young;old;hard;real;big;simple;quiet;true
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Human Roles,teacher,kind;patient;young;old;hard;real;big;simple;quiet;true
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Human Roles,writer,creative;quiet;young;old;hard;real;big;simple;true;fast
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Inanimate Objects,book,old;new;big;small;thick;thin;interesting;simple;clean;hard
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Inanimate Objects,bridge,big;old;new;strong;high;simple;clean;long;hard;wooden
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Inanimate Objects,drums,big;loud;old;new;wooden;simple;hard;clean;round;fast
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Inanimate Objects,earth,big;round;green;old;hard;simple;clean;wet;quiet;true
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Inanimate Objects,flute,small;wooden;old;new;simple;clean;hard;quiet;long;shiny
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Inanimate Objects,key,small;metal;old;new;simple;hard;shiny;long;clean;round
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Inanimate Objects,knife,sharp;small;metal;old;new;simple;hard;clean;long;cheap
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Inanimate Objects,lock,small;metal;old;new;simple;hard;shiny;strong;clean;round
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Inanimate Objects,moon,big;round;bright;old;simple;clean;quiet;cold;high;full
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Inanimate Objects,pen,small;black;cheap;new;simple;hard;clean;long;round;old
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Inanimate Objects,sun,big;bright;hot;old;simple;clean;quiet;high;round;warm
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Inanimate Objects,sword,sharp;big;metal;old;new;simple;hard;clean;long;heavy
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Neutral Animals,cat,small;soft;black;white;fast;quiet;playful;old;new;wild
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Neutral Animals,dog,big;small;friendly;loyal;fast;strong;old;new;wild;quiet
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Neutral Animals,dolphin,big;smart;fast;playful;wild;wet;simple;clean;blue;happy
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Neutral Animals,elephant,big;strong;gray;wild;old;simple;clean;quiet;slow;smart
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Neutral Animals,hamster,small;cute;fast;playful;soft;wild;simple;clean;quiet;brown
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Neutral Animals,monkey,small;playful;smart;wild;fast;brown;simple;clean;quiet;funny
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Neutral Animals,mouse,small;gray;fast;wild;simple;clean;quiet;soft;weak;brown
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Neutral Animals,peacock,beautiful;colorful;wild;big;simple;clean;quiet;old;proud;blue
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Neutral Animals,rabbit,small;soft;fast;wild;white;simple;clean;quiet;playful;brown
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Neutral Animals,shark,big;dangerous;wild;fast;gray;simple;clean;quiet;strong;scary
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Neutral Animals,snake,long;dangerous;wild;thin;simple;clean;quiet;green;scary;fast
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Neutral Animals,whale,big;wild;blue;simple;clean;quiet;strong;old;fast;wet
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Places,city,big;busy;old;new;clean;noisy;simple;hard;bright;full
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Places,desert,big;hot;dry;sandy;wild;simple;clean;quiet;empty;hard
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Places,forest,big;green;wild;dark;simple;clean;quiet;old;wet;full
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Places,island,small;beautiful;green;wild;simple;clean;quiet;warm;empty;big
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Places,lake,big;blue;calm;wild;simple;clean;quiet;deep;cold;wet
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Places,mountain,big;high;rocky;wild;simple;clean;quiet;old;hard;cold
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Places,ocean,big;blue;deep;wild;simple;clean;quiet;wet;cold;vast
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Places,plain,big;flat;green;wild;simple;clean;quiet;open;dry;empty
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Places,plateau,high;flat;rocky;wild;simple;clean;quiet;big;hard;dry
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Places,river,long;blue;wild;simple;clean;quiet;fast;deep;wet;cold
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Places,valley,deep;green;wild;simple;clean;quiet;big;hard;wet;empty
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Places,village,small;quiet;old;simple;clean;green;hard;full;new;peaceful
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Plants,cactus,green;spiky;wild;simple;clean;hard;small;dry;big;tall
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Plants,eggplant,purple;big;fresh;soft;simple;clean;hard;raw;cooked;round
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Plants,flower,beautiful;colorful;small;fresh;simple;clean;hard;wild;bright;red
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Plants,grass,green;soft;wild;simple;clean;hard;wet;short;long;fresh
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Plants,lettuce,green;fresh;soft;simple;clean;hard;raw;big;small;wet
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Plants,mushroom,small;white;fresh;soft;simple;clean;hard;raw;wild;round
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Plants,onion,white;fresh;strong;simple;clean;hard;raw;big;small;round
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Plants,pepper,red;fresh;hot;simple;clean;hard;raw;big;small;round
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Plants,potato,brown;fresh;hard;simple;clean;raw;cooked;big;small;round
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Plants,rose,red;beautiful;fresh;soft;simple;clean;hard;wild;big;sweet
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Plants,tomato,red;fresh;soft;simple;clean;hard;raw;cooked;big;round
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Plants,tree,tall;green;old;simple;clean;hard;big;wild;quiet;strong
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Social Relationships,ally,strong;true;loyal;real;big;simple;quiet;hard;fast;helpful
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Social Relationships,brother,young;old;strong;kind;real;big;simple;quiet;hard;loyal
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Social Relationships,enemy,bad;strong;dangerous;real;big;simple;quiet;hard;fast;old
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Social Relationships,father,strong;kind;old;real;big;simple;quiet;hard;wise;loyal
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Social Relationships,follower,loyal;true;real;big;simple;quiet;hard;fast;young;helpful
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Social Relationships,friend,good;true;real;big;simple;quiet;hard;fast;young;loyal
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Social Relationships,leader,strong;wise;real;big;simple;quiet;hard;fast;true;loyal
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Social Relationships,mother,kind;caring;real;big;simple;quiet;hard;true;loyal;old
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Social Relationships,partner,good;true;real;big;simple;quiet;hard;fast;helpful;loyal
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Social Relationships,rival,strong;tough;real;big;simple;quiet;hard;fast;old;bad
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Social Relationships,sister,young;kind;real;big;simple;quiet;hard;true;loyal;caring
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Social Relationships,stranger,unknown;new;real;big;simple;quiet;hard;fast;old;mysterious
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Spatial Concepts,above,high;bright;clear;real;big;simple;quiet;hard;fast;true
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Spatial Concepts,back,strong;old;real;big;simple;quiet;hard;fast;clean;long
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Spatial Concepts,below,low;dark;real;big;simple;quiet;hard;fast;deep;cold
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Spatial Concepts,east,sunny;real;big;simple;quiet;hard;fast;true;warm;bright
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Spatial Concepts,front,clear;real;big;simple;quiet;hard;fast;true;open;clean
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Spatial Concepts,inside,warm;real;big;simple;quiet;hard;fast;true;safe;clean
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Spatial Concepts,left,free;real;big;simple;quiet;hard;fast;true;open;clear
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Spatial Concepts,north,cold;real;big;simple;quiet;hard;fast;true;wild;dark
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Spatial Concepts,outside,fresh;real;big;simple;quiet;hard;fast;true;open;wild
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Spatial Concepts,right,correct;real;big;simple;quiet;hard;fast;true;strong;clear
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Spatial Concepts,south,warm;real;big;simple;quiet;hard;fast;true;bright;sunny
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Spatial Concepts,west,wild;real;big;simple;quiet;hard;fast;true;dark;windy
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Time Concepts,century,long;old;real;big;simple;quiet;hard;fast;true;full
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Time Concepts,day,bright;long;real;big;simple;quiet;hard;fast;true;warm
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Time Concepts,evening,cool;real;big;simple;quiet;hard;fast;true;dark;calm
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Time Concepts,hour,short;real;big;simple;quiet;hard;fast;true;full;long
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Time Concepts,minute,short;real;big;simple;quiet;hard;fast;true;quick;small
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Time Concepts,month,long;real;big;simple;quiet;hard;fast;true;full;new
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Time Concepts,morning,fresh;real;big;simple;quiet;hard;fast;true;bright;early
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Time Concepts,night,dark;real;big;simple;quiet;hard;fast;true;cold;long
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Time Concepts,season,long;real;big;simple;quiet;hard;fast;true;warm;cold
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Time Concepts,second,short;real;big;simple;quiet;hard;fast;true;quick;small
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Time Concepts,week,short;real;big;simple;quiet;hard;fast;true;full;busy
grok-3-mini,think-in-native,1.0,FA # Persian,B1,most frequent,Time Concepts,year,long;real;big;simple;quiet;hard;fast;true;new;full
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Abstract Concepts,anger,intense;sudden;blind;deep;furious;hot;bitter;raw;uncontrolled;suppressed
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Abstract Concepts,courage,brave;bold;heroic;strong;fearless;great;moral;physical;quiet;sudden
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Abstract Concepts,fear,deep;sudden;irrational;intense;cold;overwhelming;hidden;natural;paralyzing;dark
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Abstract Concepts,freedom,complete;personal;basic;true;limited;new;total;hard-won;absolute;social
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Abstract Concepts,happiness,pure;simple;deep;lasting;sudden;real;shared;inner;bright;everyday
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Abstract Concepts,hate,strong;deep;blind;bitter;intense;pure;irrational;cold;growing;hidden
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Abstract Concepts,honesty,complete;simple;true;basic;rare;full;direct;clear;absolute;everyday
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Abstract Concepts,justice,fair;blind;true;social;equal;quick;moral;pure;final;basic
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Abstract Concepts,knowledge,deep;wide;basic;practical;new;secret;useful;ancient;clear;simple
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Abstract Concepts,love,true;deep;pure;strong;blind;lasting;young;passionate;simple;shared
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Abstract Concepts,peace,quiet;true;inner;lasting;perfect;world;deep;simple;final;gentle
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Abstract Concepts,wisdom,great;ancient;deep;simple;practical;true;quiet;rare;inner;clear
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,bell,loud;old;small;big;shiny;broken;golden;ringing;metal;clear
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,candle,small;burning;old;white;red;tall;melted;warm;simple;scented
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,carpet,soft;old;colorful;big;warm;dirty;Persian;thick;new;red
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,coin,old;small;shiny;gold;silver;rare;dirty;heavy;fake;ancient
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,crown,golden;royal;old;heavy;shiny;big;jeweled;ancient;fake;simple
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,flag,national;old;colorful;waving;big;torn;red;blue;new;simple
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,mask,black;old;scary;simple;plastic;wooden;colorful;hidden;new;protective
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,necklace,gold;simple;shiny;long;old;beautiful;cheap;pearl;silver;broken
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;large;simple;modern;famous;dark;new;detailed
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,ring,gold;small;shiny;old;diamond;simple;broken;silver;cheap;ancient
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,statue,tall;old;stone;beautiful;broken;golden;large;modern;simple;famous
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,vase,old;glass;broken;beautiful;tall;simple;colorful;ceramic;new;small
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,cloud,white;big;dark;fluffy;moving;low;rainy;light;high;gray
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,earthquake,strong;sudden;destructive;deep;violent;major;minor;rare;frightening;long
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,fog,thick;cold;heavy;early;gray;morning;dense;wet;light;mysterious
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,lightning,bright;fast;dangerous;sudden;powerful;white;striking;rare;electric;night
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,rain,heavy;light;cold;steady;warm;sudden;soft;hard;daily;fresh
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,rainbow,colorful;bright;beautiful;rare;full;short;clear;double;wet;magical
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,snow,white;soft;heavy;fresh;cold;deep;light;falling;wet;pure
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,storm,strong;wild;violent;sudden;dark;rainy;windy;big;long;fierce
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,thunder,loud;sudden;deep;frightening;distant;powerful;rolling;quick;dark;heavy
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,tide,high;low;strong;rising;falling;fast;calm;rough;daily;cold
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,volcano,active;dangerous;huge;sleeping;hot;ancient;explosive;tall;rare;fiery
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,wind,strong;cold;gentle;warm;blowing;fast;light;steady;wild;dry
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Food Items,apple,red;fresh;sweet;big;green;juicy;ripe;small;sour;organic
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Food Items,banana,yellow;ripe;sweet;long;fresh;green;soft;big;peeled;tropical
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Food Items,beef,fresh;cooked;lean;tough;juicy;red;grilled;cheap;fatty;rare
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Food Items,bread,fresh;soft;warm;white;brown;sliced;hard;tasty;homemade;cheap
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Food Items,broccoli,green;fresh;steamed;raw;big;healthy;frozen;cooked;small;crisp
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Food Items,cheese,yellow;soft;hard;fresh;strong;mild;grated;creamy;cheap;tasty
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Food Items,chicken,fresh;cooked;roasted;white;grilled;spicy;small;big;organic;frozen
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Food Items,egg,fresh;boiled;raw;large;small;brown;white;fried;cracked;organic
grok-3-mini,think-in-native,1.0,FA # Persian,B2,most frequent,Food Items,fish,fresh;cooked;big;small;salty;fried;wild;frozen;tasty;silver
