Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,anger,big;bad;hot;strong;hard;red;new;other;same;different
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,mouse,big;small;new;old;good;other;same;different;brown;gray
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,peacock,big;small;new;old;good;other;same;different;nice;beautiful
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,rabbit,big;small;new;old;good;other;same;different;white;brown
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,shark,big;new;old;good;other;same;different;gray;dangerous;bad
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,snake,big;small;new;old;good;other;same;different;green;bad
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,whale,big;new;old;good;other;same;different;blue;gray;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Places,city,big;small;new;old;good;other;same;different;nice;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Places,desert,big;small;new;old;hot;other;same;different;dry;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Places,forest,big;small;new;old;good;other;same;different;green;dark
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Places,island,big;small;new;old;good;other;same;different;nice;green
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Places,lake,big;small;new;old;good;other;same;different;nice;blue
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Places,mountain,big;small;new;old;high;other;same;different;nice;hard
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Places,ocean,big;new;old;good;other;same;different;blue;deep;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Places,plain,big;small;new;old;good;other;same;different;nice;green
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Places,plateau,big;small;new;old;high;other;same;different;nice;good
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Places,river,big;small;new;old;long;other;same;different;nice;good
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Places,valley,big;small;new;old;good;other;same;different;nice;green
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Places,village,big;small;new;old;good;other;same;different;nice;beautiful
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Plants,cactus,big;small;new;old;green;other;same;different;hard;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Plants,eggplant,big;small;new;old;good;other;same;different;purple;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Plants,flower,big;small;new;old;good;other;same;different;nice;colored
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Plants,grass,big;small;new;old;good;other;same;different;nice;green
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Plants,lettuce,big;small;new;old;good;other;same;different;nice;green
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Plants,mushroom,big;small;new;old;good;other;same;different;nice;white
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Plants,onion,big;small;new;old;good;other;same;different;nice;white
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Plants,pepper,big;small;new;old;good;other;same;different;nice;red
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Plants,potato,big;small;new;old;good;other;same;different;nice;brown
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Plants,rose,big;small;new;old;good;other;same;different;nice;red
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Plants,tomato,big;small;new;old;good;other;same;different;nice;red
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Plants,tree,big;small;new;old;good;other;same;different;nice;green
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,ally,big;small;new;old;good;other;same;different;strong;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,brother,big;small;new;old;good;other;same;different;nice;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,enemy,big;small;new;old;bad;other;same;different;strong;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,father,big;small;new;old;good;other;same;different;nice;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,follower,big;small;new;old;good;other;same;different;many;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,friend,big;small;new;old;good;other;same;different;nice;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,leader,big;small;new;old;good;other;same;different;strong;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,mother,big;small;new;old;good;other;same;different;nice;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,partner,big;small;new;old;good;other;same;different;nice;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,rival,big;small;new;old;other;same;different;strong;bad;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,sister,big;small;new;old;good;other;same;different;nice;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,stranger,big;small;new;old;other;same;different;nice;bad;good
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,above,new;old;good;other;same;different;big;small;high;low
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,back,new;old;good;other;same;different;big;small;right;left
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,below,new;old;good;other;same;different;big;small;high;low
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,east,new;old;good;other;same;different;big;small;far;near
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,front,new;old;good;other;same;different;big;small;right;left
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,inside,new;old;good;other;same;different;big;small;right;left
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,left,new;old;good;other;same;different;big;small;right;hard
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,north,new;old;good;other;same;different;big;small;far;near
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,outside,new;old;good;other;same;different;big;small;right;left
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,right,new;old;good;other;same;different;big;small;left;hard
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,south,new;old;good;other;same;different;big;small;far;near
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,west,new;old;good;other;same;different;big;small;far;near
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,century,new;old;long;good;other;same;different;big;important;right
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,day,new;old;good;other;same;different;big;small;long;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,evening,new;old;good;other;same;different;big;small;long;nice
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,hour,new;old;long;good;other;same;different;big;small;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,minute,new;old;long;good;other;same;different;big;small;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,month,new;old;long;good;other;same;different;big;small;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,morning,new;old;good;other;same;different;big;small;nice;early
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,night,new;old;good;other;same;different;big;small;dark;long
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,season,new;old;good;other;same;different;big;small;nice;long
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,second,new;old;long;good;other;same;different;big;small;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,week,new;old;long;good;other;same;different;big;small;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,year,new;old;long;good;other;same;different;big;small;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,anger,big;strong;bad;real;hot;sudden;blind;cold;hard;true
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,courage,great;real;true;strong;brave;good;special;human;moral;pure
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,fear,big;real;strong;bad;dark;great;true;cold;sudden;human
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,freedom,real;true;great;important;new;political;human;personal;economic;basic
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,happiness,great;real;true;big;good;simple;pure;deep;small;new
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,hate,big;strong;bad;real;great;true;blind;cold;deep;political
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,honesty,true;real;great;good;important;simple;basic;full;open;clear
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,justice,real;true;great;social;fair;criminal;political;equal;basic;new
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,knowledge,great;good;real;important;scientific;special;general;basic;true;new
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,love,great;true;real;big;strong;deep;pure;good;first;unconditional
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,peace,real;true;great;important;international;new;lasting;world;simple;cold
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,wisdom,great;true;real;old;good;simple;human;common;important;deep
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,bell,big;small;loud;new;old;church;school;broken;metal;special
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,candle,white;small;big;new;old;red;long;short;wax;birthday
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,carpet,big;red;new;old;soft;wool;expensive;cheap;Persian;colorful
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,coin,old;new;gold;silver;small;big;rare;valuable;metal;fake
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,crown,gold;big;small;new;old;royal;important;silver;beautiful;special
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,flag,big;red;white;blue;new;old;national;small;important;political
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,mask,white;black;new;old;big;small;scary;beautiful;strange;paper
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,necklace,gold;silver;new;old;long;short;beautiful;expensive;cheap;simple
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,painting,big;small;new;old;beautiful;famous;good;abstract;landscape;oil
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,ring,gold;silver;new;old;big;small;diamond;wedding;simple;magic
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,statue,big;small;new;old;stone;bronze;famous;beautiful;white;tall
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,vase,big;small;new;old;glass;ceramic;beautiful;flower;white;blue
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,cloud,white;big;dark;small;grey;black;rain;storm;low;high
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,earthquake,big;strong;bad;real;new;sudden;small;local;terrible;important
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,fog,thick;white;heavy;cold;bad;real;gray;morning;light;dense
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,lightning,bright;sudden;strong;big;dangerous;loud;real;bad;summer;hot
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,rain,heavy;hard;light;cold;big;new;soft;warm;summer;acid
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,rainbow,beautiful;colorful;bright;new;big;small;full;double;perfect;summer
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,snow,white;heavy;big;new;soft;cold;light;deep;first;hard
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,storm,big;strong;bad;real;new;sudden;winter;rain;thunder;wind
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,thunder,loud;big;strong;real;bad;new;sudden;far;close;deep
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,tide,high;low;big;new;strong;fast;slow;spring;summer;sea
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,volcano,big;active;new;old;dormant;dangerous;hot;ash;small;long
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,wind,strong;cold;hot;big;new;soft;light;north;south;east
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,apple,red;green;big;small;new;sweet;sour;good;bad;fresh
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,banana,yellow;big;small;new;sweet;ripe;green;good;soft;long
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,beef,good;bad;new;old;raw;cooked;grilled;fried;cheap;expensive
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,bread,white;brown;fresh;new;old;big;small;good;hard;soft
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,broccoli,green;fresh;good;raw;cooked;big;small;organic;new;healthy
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,cheese,white;yellow;hard;soft;new;old;strong;good;fresh;Swiss
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,chicken,good;bad;new;old;raw;cooked;fried;grilled;cheap;small
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,egg,white;brown;big;small;new;fresh;hard;soft;boiled;fried
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,fish,fresh;new;salt;small;big;dead;good;fried;grilled;cooked
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,pasta,long;short;dry;cooked;new;old;good;Italian;fresh;white
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,rice,white;brown;new;old;long;short;cooked;good;boiled;fried
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,soup,hot;cold;good;new;old;tomato;chicken;vegetable;fresh;thick
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Human Roles,artist,good;great;new;young;old;famous;unknown;local;talented;bad
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Human Roles,athlete,good;great;young;new;famous;professional;talented;strong;Olympic;local
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Human Roles,chef,good;great;new;famous;young;old;talented;professional;French;Italian
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Human Roles,doctor,good;new;young;old;famous;family;local;general;special;best
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Human Roles,engineer,good;new;young;old;civil;electrical;mechanical;software;professional;talented
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Human Roles,farmer,good;new;young;old;local;small;big;family;organic;modern
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Human Roles,lawyer,good;new;young;old;famous;important;professional;family;corporate;criminal
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Human Roles,musician,good;new;young;old;famous;talented;professional;local;classic;jazz
gemini-2.0-flash,basic,1.0,HE # Hebrew,B2,most frequent,Human Roles,scientist,good;new;young;old;famous;important;professional;great;social;political
