Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,anger,big;hot;bad;strong;hard;much;real;true;other;new
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,cloud,big;small;old;new;white;gray;dark;light;different;other
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,earthquake,big;strong;bad;new;other;same;different;little;important;hard
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,fog,big;thick;thin;bad;new;other;same;different;little;white
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,lightning,big;strong;bad;new;other;same;different;little;important;white
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,rain,big;small;hard;bad;new;other;same;different;little;strong
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,rainbow,big;colorful;new;other;same;different;little;good;important;nice
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,snow,big;small;white;new;other;same;different;little;good;cold
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,storm,big;strong;bad;new;other;same;different;little;important;hard
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,thunder,big;loud;strong;bad;new;other;same;different;little;important
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,tide,big;small;high;low;new;other;same;different;little;important
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,volcano,big;hot;active;new;other;same;different;little;important;old
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,wind,big;strong;cold;hot;new;other;same;different;little;hard
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,apple,big;small;red;green;yellow;good;bad;new;other;same
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,banana,big;small;yellow;good;bad;new;other;same;ripe;green
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,beef,big;small;good;bad;new;other;same;raw;cooked;red
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,bread,big;small;good;bad;new;other;same;white;brown;hard
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,broccoli,big;small;good;bad;new;other;same;green;fresh;hard
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,cheese,big;small;good;bad;new;other;same;white;yellow;hard
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,chicken,big;small;good;bad;new;other;same;raw;cooked;white
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,egg,big;small;good;bad;new;other;same;white;brown;hard
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,fish,big;small;good;bad;new;other;same;raw;cooked;fresh
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,pasta,big;small;good;bad;new;other;same;white;yellow;long
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,rice,big;small;good;bad;new;other;same;white;brown;long
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,soup,big;hot;good;bad;new;other;same;thick;thin;cold
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Human Roles,artist,good;bad;new;other;same;young;old;important;real;famous
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Human Roles,athlete,good;bad;new;other;same;young;old;important;real;strong
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Human Roles,chef,good;bad;new;other;same;young;old;important;real;famous
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Human Roles,doctor,good;bad;new;other;same;young;old;important;real;nice
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Human Roles,engineer,good;bad;new;other;same;young;old;important;real;smart
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Human Roles,farmer,good;bad;new;other;same;young;old;important;real;hard
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Human Roles,lawyer,good;bad;new;other;same;young;old;important;real;smart
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Human Roles,musician,good;bad;new;other;same;young;old;important;real;famous
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Human Roles,scientist,good;bad;new;other;same;young;old;important;real;smart
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Human Roles,soldier,good;bad;new;other;same;young;old;important;real;strong
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Human Roles,teacher,good;bad;new;other;same;young;old;important;real;nice
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Human Roles,writer,good;bad;new;other;same;young;old;important;real;famous
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,book,big;small;old;new;good;bad;other;same;different;important
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,bridge,big;small;old;new;good;bad;other;same;different;long
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,drums,big;small;old;new;good;bad;other;same;different;loud
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,earth,big;small;old;new;good;bad;other;same;different;round
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,flute,big;small;old;new;good;bad;other;same;different;long
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,key,big;small;old;new;good;bad;other;same;different;important
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,knife,big;small;old;new;good;bad;other;same;different;sharp
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,lock,big;small;old;new;good;bad;other;same;different;important
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,moon,big;small;old;new;good;bad;other;same;different;round
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,pen,big;small;old;new;good;bad;other;same;different;long
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,sun,big;hot;old;new;good;bad;other;same;different;round
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,sword,big;small;old;new;good;bad;other;same;different;sharp
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,cat,big;small;old;new;good;bad;other;same;different;black
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,dog,big;small;old;new;good;bad;other;same;different;black
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,dolphin,big;small;old;new;good;bad;other;same;different;gray
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,elephant,big;old;new;good;bad;other;same;different;gray;strong
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,hamster,big;small;old;new;good;bad;other;same;different;brown
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,monkey,big;small;old;new;good;bad;other;same;different;brown
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,mouse,big;small;old;new;good;bad;other;same;different;gray
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,peacock,big;colorful;old;new;good;bad;other;same;different;pretty
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,rabbit,big;small;old;new;good;bad;other;same;different;white
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,shark,big;small;old;new;good;bad;other;same;different;gray
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,snake,big;small;old;new;good;bad;other;same;different;green
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,whale,big;old;new;good;bad;other;same;different;gray;strong
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Places,city,big;small;old;new;good;bad;other;same;different;important
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Places,desert,big;hot;old;new;good;bad;other;same;different;dry
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Places,forest,big;small;old;new;good;bad;other;same;different;green
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Places,island,big;small;old;new;good;bad;other;same;different;green
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Places,lake,big;small;old;new;good;bad;other;same;different;deep
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Places,mountain,big;small;old;new;good;bad;other;same;different;high
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Places,ocean,big;deep;old;new;good;bad;other;same;different;blue
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Places,plain,big;small;old;new;good;bad;other;same;different;green
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Places,plateau,big;small;old;new;good;bad;other;same;different;high
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Places,river,big;small;old;new;good;bad;other;same;different;deep
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Places,valley,big;small;old;new;good;bad;other;same;different;deep
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Places,village,big;small;old;new;good;bad;other;same;different;quiet
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Plants,cactus,big;small;old;new;good;bad;other;same;different;green
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Plants,eggplant,big;small;old;new;good;bad;other;same;different;purple
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Plants,flower,big;small;old;new;good;bad;other;same;different;colorful
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Plants,grass,big;small;old;new;good;bad;other;same;different;green
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Plants,lettuce,big;small;old;new;good;bad;other;same;different;green
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Plants,mushroom,big;small;old;new;good;bad;other;same;different;brown
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Plants,onion,big;small;old;new;good;bad;other;same;different;white
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Plants,pepper,big;small;old;new;good;bad;other;same;different;red
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Plants,potato,big;small;old;new;good;bad;other;same;different;brown
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Plants,rose,big;small;old;new;good;bad;other;same;different;red
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Plants,tomato,big;small;old;new;good;bad;other;same;different;red
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Plants,tree,big;small;old;new;good;bad;other;same;different;green
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,ally,good;bad;new;other;same;young;old;important;real;strong
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,brother,good;bad;new;other;same;young;old;important;real;strong
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,enemy,bad;new;other;same;young;old;important;real;strong;big
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,father,good;bad;new;other;same;young;old;important;real;strong
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,follower,good;bad;new;other;same;young;old;important;real;many
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,friend,good;bad;new;other;same;young;old;important;real;best
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,leader,good;bad;new;other;same;young;old;important;real;strong
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,mother,good;bad;new;other;same;young;old;important;real;nice
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,partner,good;bad;new;other;same;young;old;important;real;best
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,rival,bad;new;other;same;young;old;important;real;strong;big
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,sister,good;bad;new;other;same;young;old;important;real;nice
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,stranger,bad;new;other;same;young;old;important;real;different;unknown
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,above,high;new;other;same;important;real;different;far;good;big
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,back,big;small;old;new;good;bad;other;same;different;important
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,below,low;new;other;same;important;real;different;far;good;big
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,east,big;new;other;same;important;real;different;far;good;hot
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,front,big;new;other;same;important;real;different;close;good;nice
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,inside,big;small;old;new;good;bad;other;same;different;important
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,left,big;small;old;new;good;bad;other;same;different;important
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,north,big;cold;new;other;same;important;real;different;far;good
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,outside,big;small;old;new;good;bad;other;same;different;important
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,right,good;bad;new;other;same;important;real;different;big;small
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,south,big;hot;new;other;same;important;real;different;far;good
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,west,big;new;other;same;important;real;different;far;good;cold
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,century,big;long;new;other;same;important;real;different;old;hard
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,day,big;small;long;new;other;same;important;real;different;good
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,evening,good;bad;new;other;same;important;real;different;nice;long
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,hour,big;small;long;new;other;same;important;real;different;hard
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,minute,big;small;long;new;other;same;important;real;different;hard
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,month,big;long;new;other;same;important;real;different;good;last
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,morning,good;bad;new;other;same;important;real;different;nice;long
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,night,big;long;new;other;same;important;real;different;dark;good
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,season,big;long;new;other;same;important;real;different;good;cold
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,second,big;small;long;new;other;same;important;real;different;hard
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,week,big;long;new;other;same;important;real;different;hard;good
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,year,big;long;new;other;same;important;real;different;good;hard
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,anger,big;hot;bad;strong;real;sudden;much;easy;human;deep
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,courage,great;strong;real;true;much;little;moral;personal;civil;political
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,fear,big;real;great;much;little;strong;sudden;deep;irrational;new
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,freedom,real;great;much;political;economic;personal;individual;religious;basic;new
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,happiness,real;great;much;little;true;easy;simple;human;personal;new
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,hate,big;real;strong;much;little;true;deep;human;easy;sudden
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,honesty,real;great;true;much;little;public;personal;complete;simple;basic
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,justice,real;great;social;economic;true;criminal;much;little;public;new
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,knowledge,great;much;little;good;bad;real;true;important;new;useful
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,love,real;great;true;much;little;deep;human;strong;new;first
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,peace,real;great;much;little;world;political;true;easy;simple;new
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,wisdom,great;true;much;little;old;real;human;common;new;practical
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,bell,big;small;loud;new;old;church;school;silver;bronze;broken
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,candle,big;small;white;red;new;old;long;short;wax;burning
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,carpet,big;small;red;blue;new;old;wool;nice;soft;expensive
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,coin,old;new;gold;silver;small;big;round;real;fake;rare
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,crown,gold;silver;big;small;new;old;royal;important;beautiful;broken
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,flag,big;small;red;white;blue;new;old;national;important;different
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,mask,big;small;white;black;new;old;important;beautiful;scary;different
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,necklace,gold;silver;big;small;new;old;long;short;beautiful;expensive
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,painting,big;small;new;old;beautiful;famous;important;different;nice;good
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,ring,gold;silver;big;small;new;old;beautiful;important;wedding;diamond
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,statue,big;small;new;old;bronze;marble;famous;important;different;beautiful
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,vase,big;small;new;old;glass;ceramic;beautiful;important;different;nice
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Environmental Phenomena,cloud,big;small;white;black;grey;new;old;high;low;dark
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Environmental Phenomena,earthquake,big;small;strong;new;old;real;bad;important;different;dangerous
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Environmental Phenomena,fog,thick;thin;white;grey;new;old;real;bad;important;dangerous
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Environmental Phenomena,lightning,big;small;strong;new;old;real;bad;important;different;dangerous
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Environmental Phenomena,rain,big;small;heavy;light;new;old;real;bad;important;different
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Environmental Phenomena,rainbow,big;small;new;old;beautiful;colourful;real;nice;good;bright
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Environmental Phenomena,snow,big;small;heavy;light;new;old;white;real;bad;important
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Environmental Phenomena,storm,big;small;strong;new;old;real;bad;important;different;dangerous
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Environmental Phenomena,thunder,big;small;strong;new;old;real;bad;important;different;loud
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Environmental Phenomena,tide,high;low;big;small;new;old;real;bad;important;different
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Environmental Phenomena,volcano,big;small;strong;new;old;real;bad;important;different;dangerous
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Environmental Phenomena,wind,big;small;strong;new;old;real;bad;important;different;cold
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Food Items,apple,big;small;red;green;new;old;sweet;sour;delicious;fresh
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Food Items,banana,big;small;yellow;new;old;sweet;delicious;fresh;good;ripe
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Food Items,beef,big;small;new;old;red;fresh;good;bad;cheap;expensive
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Food Items,bread,big;small;new;old;white;brown;fresh;good;bad;cheap
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Food Items,broccoli,big;small;green;new;old;fresh;good;bad;cheap;expensive
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Food Items,cheese,big;small;new;old;white;yellow;fresh;good;bad;hard
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Food Items,chicken,big;small;new;old;white;fresh;good;bad;cheap;expensive
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Food Items,egg,big;small;new;old;white;fresh;good;bad;cheap;expensive
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Food Items,fish,big;small;new;old;fresh;good;bad;cheap;expensive;salty
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Food Items,pasta,big;small;new;old;white;yellow;fresh;good;cheap;expensive
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Food Items,rice,big;small;new;old;white;brown;fresh;good;cheap;expensive
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Food Items,soup,big;small;new;old;hot;cold;fresh;good;bad;cheap
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Human Roles,artist,good;bad;big;small;new;old;famous;important;different;young
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Human Roles,athlete,good;bad;big;small;new;old;famous;important;different;young
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Human Roles,chef,good;bad;big;small;new;old;famous;important;different;young
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Human Roles,doctor,good;bad;big;small;new;old;famous;important;different;young
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Human Roles,engineer,good;bad;big;small;new;old;famous;important;different;young
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Human Roles,farmer,good;bad;big;small;new;old;famous;important;different;young
gemini-2.0-flash,basic,1.0,VI # Vietnamese,B2,most frequent,Human Roles,lawyer,good;bad;big;small;new;old;famous;important;different;young
