Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,anger,intense;fiery;uncontrollable;deep;burning;fierce;raw;bitter;sudden;suppressed
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Food Items,beef,tender;juicy;lean;grilled;savory;rare;tough;marbled;fresh;seasoned
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Food Items,bread,fresh;crusty;soft;warm;homemade;stale;sliced;hearty;white;toasted
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Food Items,broccoli,green;fresh;crisp;healthy;steamed;raw;tender;bitter;vibrant;nutritious
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Food Items,cheese,sharp;creamy;melted;aged;soft;hard;tangy;mild;stinky;grated
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Food Items,chicken,roasted;grilled;tender;juicy;spicy;fried;lean;savory;moist;seasoned
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Food Items,egg,fresh;boiled;fried;scrambled;white;brown;soft;hard;cracked;raw
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Food Items,fish,fresh;grilled;flaky;raw;smoked;oily;white;tender;salty;delicate
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Food Items,pasta,al dente;creamy;cheesy;fresh;homemade;soft;spicy;saucy;hearty;tender
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Food Items,rice,white;brown;sticky;fluffy;steamed;seasoned;plain;fragrant;soft;long-grain
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Food Items,soup,hot;creamy;hearty;savory;clear;thick;comforting;spicy;homemade;warm
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Human Roles,artist,talented;creative;visionary;eccentric;passionate;skilled;innovative;struggling;famous;inspired
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Human Roles,athlete,strong;dedicated;fast;agile;competitive;disciplined;powerful;determined;skilled;enduring
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Human Roles,chef,skilled;creative;passionate;innovative;experienced;meticulous;busy;renowned;talented;culinary
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Human Roles,doctor,compassionate;skilled;dedicated;knowledgeable;caring;busy;experienced;trusted;professional;wise
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Human Roles,engineer,innovative;skilled;analytical;creative;precise;dedicated;technical;brilliant;practical;resourceful
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Human Roles,farmer,hardworking;dedicated;rugged;patient;knowledgeable;early-rising;resilient;rural;tough;resourceful
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Human Roles,lawyer,sharp;persuasive;dedicated;knowledgeable;aggressive;ethical;experienced;cunning;articulate;professional
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Human Roles,musician,talented;passionate;creative;skilled;expressive;dedicated;versatile;gifted;inspired;charismatic
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Human Roles,scientist,curious;brilliant;dedicated;analytical;innovative;meticulous;knowledgeable;experimental;focused;groundbreaking
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Human Roles,soldier,brave;disciplined;loyal;tough;dedicated;fearless;strong;honorable;resilient;determined
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Human Roles,teacher,patient;inspiring;dedicated;knowledgeable;kind;strict;supportive;wise;encouraging;passionate
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Human Roles,writer,creative;imaginative;eloquent;prolific;insightful;struggling;talented;witty;introspective;dedicated
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Inanimate Objects,book,thick;old;new;engaging;worn;hardcover;fascinating;classic;tattered;insightful
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Inanimate Objects,bridge,old;sturdy;long;narrow;iconic;wooden;suspended;modern;arched;historic
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Inanimate Objects,drums,loud;rhythmic;powerful;deep;tribal;worn;shiny;resonant;energetic;booming
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Inanimate Objects,earth,vast;ancient;fertile;blue;fragile;living;rich;solid;dynamic;nurturing
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Inanimate Objects,flute,delicate;melodic;silver;wooden;soft;high-pitched;elegant;ancient;clear;haunting
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Inanimate Objects,key,old;rusty;small;golden;important;hidden;shiny;heavy;antique;vital
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Inanimate Objects,knife,sharp;dangerous;rusty;small;serrated;shiny;heavy;deadly;useful;worn
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Inanimate Objects,lock,sturdy;old;rusty;secure;broken;heavy;antique;tight;complex;reliable
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Inanimate Objects,moon,full;bright;pale;mysterious;crescent;glowing;distant;silvery;haunting;serene
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Inanimate Objects,pen,black;blue;elegant;cheap;smooth;old;leaky;fine;reliable;fancy
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Inanimate Objects,sun,bright;warm;golden;blazing;radiant;hot;shining;powerful;relentless;comforting
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Inanimate Objects,sword,sharp;ancient;heavy;deadly;ornate;rusty;legendary;gleaming;powerful;forged
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Neutral Animals,cat,fluffy;sneaky;playful;curious;independent;soft;lazy;agile;affectionate;mysterious
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Neutral Animals,dog,loyal;friendly;energetic;protective;playful;obedient;furry;smart;loving;eager
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Neutral Animals,dolphin,playful;intelligent;sleek;friendly;graceful;curious;social;swift;charming;acrobatic
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Neutral Animals,elephant,massive;gentle;wise;strong;gray;majestic;slow;powerful;ancient;protective
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Neutral Animals,hamster,tiny;cute;fluffy;active;curious;small;cuddly;shy;energetic;nocturnal
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Neutral Animals,monkey,playful;mischievous;agile;curious;clever;social;noisy;wild;cheeky;energetic
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Neutral Animals,mouse,small;timid;quick;sneaky;tiny;gray;quiet;skittish;cute;elusive
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Neutral Animals,peacock,colorful;proud;vibrant;majestic;beautiful;elegant;striking;ornate;bold;stunning
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Neutral Animals,rabbit,soft;fluffy;quick;shy;cute;hopping;timid;small;gentle;alert
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Neutral Animals,shark,fierce;powerful;sleek;dangerous;predatory;swift;deadly;silent;massive;terrifying
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Neutral Animals,snake,slithery;venomous;silent;long;dangerous;scaly;sneaky;coiled;deadly;elusive
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Neutral Animals,whale,massive;gentle;majestic;enormous;powerful;graceful;deep-diving;mysterious;singing;ancient
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Places,city,bustling;crowded;modern;vibrant;noisy;sprawling;historic;busy;urban;lively
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Places,desert,vast;arid;hot;barren;sandy;harsh;endless;dry;desolate;quiet
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Places,forest,dense;green;ancient;mysterious;lush;dark;quiet;wild;thick;enchanting
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Places,island,remote;tropical;small;secluded;beautiful;rugged;isolated;sandy;exotic;peaceful
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Places,lake,calm;clear;deep;serene;blue;still;cold;reflective;tranquil;vast
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Places,mountain,tall;rugged;majestic;snowy;steep;ancient;imposing;rocky;grand;breathtaking
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Places,ocean,vast;deep;blue;powerful;endless;wild;mysterious;turbulent;calm;immense
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Places,plain,flat;vast;open;grassy;barren;wide;endless;quiet;fertile;expansive
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Places,plateau,high;flat;vast;rugged;elevated;barren;wide;remote;rocky;expansive
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Places,river,winding;wide;deep;swift;calm;muddy;clear;long;powerful;serene
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Places,valley,deep;green;narrow;fertile;quiet;lush;hidden;steep;peaceful;scenic
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Places,village,small;quiet;quaint;rural;friendly;remote;traditional;peaceful;charming;simple
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Plants,cactus,spiky;tough;green;tall;desert;hardy;prickly;resilient;unique;sturdy
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Plants,eggplant,purple;shiny;smooth;fresh;firm;oval;bitter;tender;ripe;healthy
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Plants,flower,beautiful;colorful;fragrant;delicate;bright;blooming;soft;vibrant;lovely;fresh
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Plants,grass,green;soft;thick;tall;fresh;wet;lush;short;dewy;wild
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Plants,lettuce,crisp;green;fresh;leafy;tender;healthy;light;crunchy;raw;vibrant
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Plants,mushroom,earthy;soft;brown;edible;wild;small;delicate;spongy;fresh;savory
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Plants,onion,sharp;pungent;white;raw;sweet;strong;layered;fresh;chopped;aromatic
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Plants,pepper,spicy;hot;red;green;fresh;bold;fiery;crisp;pungent;vibrant
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Plants,potato,starchy;brown;firm;fresh;versatile;hearty;peeled;baked;soft;earthy
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Plants,rose,red;fragrant;beautiful;delicate;thorny;romantic;elegant;blooming;soft;classic
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Plants,tomato,red;juicy;ripe;fresh;plump;sweet;round;firm;tangy;vibrant
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Plants,tree,tall;old;sturdy;green;leafy;ancient;strong;shady;massive;branching
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Social Relationships,ally,loyal;trusted;supportive;reliable;close;helpful;steadfast;dependable;friendly;committed
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Social Relationships,brother,protective;annoying;loving;supportive;close;older;younger;loyal;funny;caring
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Social Relationships,enemy,dangerous;hostile;bitter;relentless;cunning;powerful;hated;deceptive;ruthless;formidable
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Social Relationships,father,loving;strict;supportive;wise;protective;caring;strong;hardworking;kind;dependable
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Social Relationships,follower,loyal;dedicated;eager;supportive;obedient;enthusiastic;trusting;committed;admiring;devoted
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Social Relationships,friend,close;loyal;funny;kind;supportive;trusted;caring;reliable;honest;dear
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Social Relationships,leader,strong;inspiring;confident;decisive;charismatic;wise;bold;visionary;respected;authoritative
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Social Relationships,mother,loving;nurturing;caring;strict;supportive;gentle;strong;wise;protective;selfless
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Social Relationships,partner,loyal;supportive;loving;equal;trusted;reliable;close;committed;understanding;compatible
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Social Relationships,rival,fierce;competitive;challenging;tough;bitter;determined;aggressive;formidable;persistent;envious
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Social Relationships,sister,loving;annoying;supportive;close;protective;funny;caring;loyal;older;younger
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Social Relationships,stranger,mysterious;unknown;unfamiliar;distant;curious;suspicious;quiet;odd;unexpected;aloof
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Spatial Concepts,above,high;elevated;overhead;superior;lofty;towering;upper;distant;prominent;soaring
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Spatial Concepts,back,rear;hind;behind;posterior;hidden;distant;trailing;secondary;supportive;remote
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Spatial Concepts,below,lower;beneath;under;inferior;submerged;hidden;underground;lesser;deep;sunken
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Spatial Concepts,east,eastern;oriental;rising;distant;cultural;ancient;exotic;remote;traditional;faraway
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Spatial Concepts,front,forward;leading;foremost;primary;visible;prominent;initial;central;main;ahead
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Spatial Concepts,inside,inner;internal;hidden;enclosed;private;deep;secret;confined;sheltered;intimate
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Spatial Concepts,left,western;remaining;liberal;odd;stray;abandoned;unused;sideways;awkward;opposite
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Spatial Concepts,north,cold;polar;upper;distant;remote;harsh;chilly;northern;rugged;isolated
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Spatial Concepts,outside,external;outer;exposed;public;distant;foreign;open;peripheral;surface;detached
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Spatial Concepts,right,correct;eastern;proper;just;accurate;fitting;moral;conservative;immediate;direct
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Spatial Concepts,south,warm;southern;tropical;lower;sunny;distant;exotic;humid;vibrant;relaxed
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Spatial Concepts,west,western;distant;modern;frontier;sunset;remote;pioneering;cultural;expansive;wild
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Time Concepts,century,past;new;old;modern;ancient;long;significant;historic;turning;memorable
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Time Concepts,day,long;short;busy;sunny;rainy;quiet;hectic;special;ordinary;memorable
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Time Concepts,evening,quiet;cool;peaceful;late;dark;relaxing;calm;pleasant;romantic;still
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Time Concepts,hour,long;short;late;early;busy;quiet;critical;fleeting;precious;rushed
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Time Concepts,minute,quick;brief;fleeting;short;crucial;last;passing;tense;exact;precious
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Time Concepts,month,long;short;busy;cold;warm;rainy;quiet;memorable;hectic;passing
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Time Concepts,morning,early;bright;cool;quiet;fresh;sunny;peaceful;busy;crisp;new
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Time Concepts,night,dark;late;quiet;long;cold;still;mysterious;starry;restless;peaceful
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Time Concepts,season,warm;cold;rainy;dry;long;short;festive;harsh;mild;changing
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Time Concepts,second,quick;brief;fleeting;short;critical;passing;instant;precise;vital;momentary
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Time Concepts,week,long;short;busy;quiet;hectic;memorable;stressful;productive;relaxing;ordinary
grok-3,english-monolingual,0.0,UR # Urdu,B1,most frequent,Time Concepts,year,long;short;memorable;tough;successful;challenging;eventful;new;past;significant
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Abstract Concepts,anger,intense;burning;fierce;uncontrollable;deep;raw;sudden;bitter;suppressed;explosive
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Abstract Concepts,courage,bold;fearless;brave;heroic;daring;valiant;resolute;steadfast;gallant;unflinching
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Abstract Concepts,fear,overwhelming;paralyzing;chilling;deep-seated;irrational;haunting;gripping;primal;lingering;acute
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Abstract Concepts,freedom,absolute;cherished;hard-won;liberating;boundless;precious;fundamental;true;personal;enduring
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Abstract Concepts,happiness,pure;radiant;boundless;infectious;genuine;lasting;simple;profound;unexpected;blissful
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Abstract Concepts,hate,intense;venomous;bitter;deep-rooted;consuming;blind;relentless;toxic;unspoken;fierce
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Abstract Concepts,honesty,brutal;refreshing;unwavering;complete;sincere;raw;admirable;rare;steadfast;transparent
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Abstract Concepts,justice,fair;impartial;righteous;overdue;swift;hard-fought;blind;moral;absolute;restorative
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Abstract Concepts,knowledge,vast;deep;profound;extensive;practical;theoretical;hidden;ancient;specialized;invaluable
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Abstract Concepts,love,unconditional;passionate;tender;eternal;selfless;romantic;deep;true;enduring;devoted
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Abstract Concepts,peace,serene;lasting;fragile;inner;quiet;harmonious;elusive;global;tranquil;hard-earned
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Abstract Concepts,wisdom,timeless;profound;practical;ancient;hard-earned;insightful;quiet;deep;invaluable;guiding
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Cultural Artifacts,bell,loud;clear;resonant;melodic;antique;brass;tiny;ceremonial;warning;festive
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Cultural Artifacts,candle,flickering;warm;scented;tall;melted;decorative;soft;glowing;handmade;calming
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Cultural Artifacts,carpet,plush;soft;colorful;worn;thick;patterned;luxurious;oriental;dusty;elegant
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Cultural Artifacts,coin,shiny;old;rare;silver;gold;worn;commemorative;small;valuable;ancient
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Cultural Artifacts,crown,golden;jeweled;royal;heavy;ornate;ancient;ceremonial;majestic;symbolic;glittering
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Cultural Artifacts,flag,national;waving;tattered;proud;colorful;symbolic;historic;bold;official;defiant
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Cultural Artifacts,mask,mysterious;eerie;colorful;tribal;decorative;hidden;creepy;elaborate;traditional;protective
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Cultural Artifacts,necklace,delicate;elegant;beaded;gold;silver;vintage;intricate;precious;long;sparkling
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Cultural Artifacts,painting,beautiful;abstract;realistic;vibrant;old;famous;detailed;expressive;modern;haunting
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Cultural Artifacts,ring,gold;silver;diamond;simple;ornate;engagement;antique;shiny;tight;heirloom
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Cultural Artifacts,statue,marble;bronze;towering;ancient;detailed;majestic;weathered;iconic;commemorative;imposing
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Cultural Artifacts,vase,ceramic;delicate;tall;ornate;antique;floral;cracked;elegant;simple;decorative
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Environmental Phenomena,cloud,fluffy;dark;white;ominous;wispy;thick;drifting;stormy;soft;towering
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Environmental Phenomena,earthquake,devastating;powerful;sudden;terrifying;destructive;massive;violent;unexpected;catastrophic;seismic
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Environmental Phenomena,fog,thick;eerie;dense;mysterious;cold;enveloping;silent;gray;lingering;blinding
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Environmental Phenomena,lightning,bright;jagged;sudden;powerful;electric;striking;dangerous;vivid;intense;fleeting
grok-3,english-monolingual,0.0,UR # Urdu,B2,most frequent,Environmental Phenomena,rain,gentle;heavy;steady;cold;refreshing;torrential;light;persistent;drizzling;warm
