Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,anger,big;bad;hot;strong;real;new;much;same;other;different
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,scientist,big;small;good;new;old;same;other;different;nice;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,soldier,big;small;good;new;old;same;other;different;strong;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,teacher,big;small;good;new;old;same;other;different;nice;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,writer,big;small;good;new;old;same;other;different;nice;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,book,big;small;good;new;old;same;other;different;nice;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,bridge,big;small;good;new;old;same;other;different;long;strong
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,drums,big;small;good;new;old;same;other;different;loud;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,earth,big;small;good;new;old;same;other;different;round;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,flute,big;small;good;new;old;same;other;different;nice;beautiful
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,key,big;small;good;new;old;same;other;different;important;metal
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,knife,big;small;good;new;old;same;other;different;sharp;dangerous
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,lock,big;small;good;new;old;same;other;different;important;strong
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,moon,big;small;good;new;old;same;other;different;white;round
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,pen,big;small;good;new;old;same;other;different;nice;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,sun,big;small;good;new;old;same;other;different;hot;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,sword,big;small;good;new;old;same;other;different;sharp;dangerous
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,cat,big;small;good;new;old;same;other;different;nice;black
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,dog,big;small;good;new;old;same;other;different;nice;black
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,dolphin,big;small;good;new;old;same;other;different;nice;beautiful
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,elephant,big;small;good;new;old;same;other;different;grey;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,hamster,big;small;good;new;old;same;other;different;nice;brown
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,monkey,big;small;good;new;old;same;other;different;nice;brown
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,mouse,big;small;good;new;old;same;other;different;nice;grey
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,peacock,big;small;good;new;old;same;other;different;nice;beautiful
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,rabbit,big;small;good;new;old;same;other;different;nice;white
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,shark,big;small;good;new;old;same;other;different;dangerous;grey
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,snake,big;small;good;new;old;same;other;different;dangerous;green
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,whale,big;small;good;new;old;same;other;different;grey;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,city,big;small;good;new;old;same;other;different;important;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,desert,big;small;good;new;old;same;other;different;hot;dry
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,forest,big;small;good;new;old;same;other;different;green;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,island,big;small;good;new;old;same;other;different;nice;beautiful
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,lake,big;small;good;new;old;same;other;different;nice;beautiful
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,mountain,big;small;good;new;old;same;other;different;high;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,ocean,big;small;good;new;old;same;other;different;blue;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,plain,big;small;good;new;old;same;other;different;green;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,plateau,big;small;good;new;old;same;other;different;high;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,river,big;small;good;new;old;same;other;different;long;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,valley,big;small;good;new;old;same;other;different;green;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,village,big;small;good;new;old;same;other;different;nice;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,cactus,big;small;good;new;old;same;other;different;green;dangerous
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,eggplant,big;small;good;new;old;same;other;different;purple;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,flower,big;small;good;new;old;same;other;different;nice;beautiful
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,grass,big;small;good;new;old;same;other;different;green;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,lettuce,big;small;good;new;old;same;other;different;green;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,mushroom,big;small;good;new;old;same;other;different;nice;brown
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,onion,big;small;good;new;old;same;other;different;white;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,pepper,big;small;good;new;old;same;other;different;red;green
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,potato,big;small;good;new;old;same;other;different;brown;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,rose,big;small;good;new;old;same;other;different;nice;beautiful
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,tomato,big;small;good;new;old;same;other;different;red;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,tree,big;small;good;new;old;same;other;different;green;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,ally,big;small;good;new;old;same;other;different;important;strong
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,brother,big;small;good;new;old;same;other;different;nice;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,enemy,big;small;good;new;old;same;other;different;bad;strong
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,father,big;small;good;new;old;same;other;different;nice;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,follower,big;small;good;new;old;same;other;different;nice;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,friend,big;small;good;new;old;same;other;different;nice;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,leader,big;small;good;new;old;same;other;different;important;strong
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,mother,big;small;good;new;old;same;other;different;nice;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,partner,big;small;good;new;old;same;other;different;nice;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,rival,big;small;good;new;old;same;other;different;bad;strong
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,sister,big;small;good;new;old;same;other;different;nice;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,stranger,big;small;good;new;old;same;other;different;bad;dangerous
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Spatial Concepts,above,big;small;good;new;old;same;other;different;high;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Spatial Concepts,back,big;small;good;new;old;same;other;different;important;strong
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Spatial Concepts,below,big;small;good;new;old;same;other;different;low;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Spatial Concepts,east,big;small;good;new;old;same;other;different;important;far
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Spatial Concepts,front,big;small;good;new;old;same;other;different;important;strong
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Spatial Concepts,inside,big;small;good;new;old;same;other;different;important;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Spatial Concepts,left,big;small;good;new;old;same;other;different;important;strong
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Spatial Concepts,north,big;small;good;new;old;same;other;different;important;far
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Spatial Concepts,outside,big;small;good;new;old;same;other;different;important;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Spatial Concepts,right,big;small;good;new;old;same;other;different;important;strong
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Spatial Concepts,south,big;small;good;new;old;same;other;different;important;far
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Spatial Concepts,west,big;small;good;new;old;same;other;different;important;far
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Time Concepts,century,big;small;good;new;old;same;other;different;long;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Time Concepts,day,big;small;good;new;old;same;other;different;long;short
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Time Concepts,evening,big;small;good;new;old;same;other;different;nice;beautiful
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Time Concepts,hour,big;small;good;new;old;same;other;different;long;short
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Time Concepts,minute,big;small;good;new;old;same;other;different;long;short
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Time Concepts,month,big;small;good;new;old;same;other;different;long;short
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Time Concepts,morning,big;small;good;new;old;same;other;different;nice;beautiful
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Time Concepts,night,big;small;good;new;old;same;other;different;dark;long
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Time Concepts,season,big;small;good;new;old;same;other;different;nice;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Time Concepts,second,big;small;good;new;old;same;other;different;long;short
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Time Concepts,week,big;small;good;new;old;same;other;different;long;short
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Time Concepts,year,big;small;good;new;old;same;other;different;long;short
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Abstract Concepts,anger,big;bad;hot;real;true;much;little;great;sudden;slow
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Abstract Concepts,courage,great;true;real;much;little;big;strong;new;old;brave
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Abstract Concepts,fear,big;great;real;true;much;little;new;old;sudden;strong
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Abstract Concepts,freedom,real;true;much;little;big;great;new;old;political;personal
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Abstract Concepts,happiness,real;true;much;little;big;great;new;old;sudden;simple
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Abstract Concepts,hate,big;great;real;true;much;little;new;old;strong;deep
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Abstract Concepts,honesty,real;true;much;little;big;great;new;old;simple;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Abstract Concepts,justice,real;true;much;little;big;great;new;old;social;fair
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Abstract Concepts,knowledge,real;true;much;little;big;great;new;old;important;useful
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Abstract Concepts,love,real;true;much;little;big;great;new;old;strong;deep
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Abstract Concepts,peace,real;true;much;little;big;great;new;old;world;long
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Abstract Concepts,wisdom,real;true;much;little;big;great;new;old;simple
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Cultural Artifacts,bell,big;small;new;old;loud;soft;church;school;metal;golden
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Cultural Artifacts,candle,big;small;new;old;white;red;long;short;wax;burning
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Cultural Artifacts,carpet,big;small;new;old;red;blue;soft;long;short;wool
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Cultural Artifacts,coin,big;small;new;old;gold;silver;round;metal;valuable;fake
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Cultural Artifacts,crown,big;small;new;old;gold;silver;royal;beautiful;important;heavy
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Cultural Artifacts,flag,big;small;new;old;red;blue;national;white;green;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Cultural Artifacts,mask,big;small;new;old;white;black;scary;funny;plastic;paper
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Cultural Artifacts,necklace,big;small;new;old;gold;silver;long;short;beautiful;expensive
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Cultural Artifacts,painting,big;small;new;old;red;blue;beautiful;famous;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Cultural Artifacts,ring,big;small;new;old;gold;silver;round;beautiful;expensive;wedding
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Cultural Artifacts,statue,big;small;new;old;white;stone;famous;important;bronze
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Cultural Artifacts,vase,big;small;new;old;white;glass;beautiful;expensive;flower
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Environmental Phenomena,cloud,big;small;white;grey;dark;light;rain;storm;high;low
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Environmental Phenomena,earthquake,big;small;strong;weak;new;old;sudden;terrible;dangerous;local
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Environmental Phenomena,fog,big;small;thick;thin;white;grey;new;old;heavy;dangerous
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Environmental Phenomena,lightning,big;bright;new;old;sudden;dangerous;strong;loud;white;yellow
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Environmental Phenomena,rain,big;small;heavy;light;new;old;cold;warm;hard;soft
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Environmental Phenomena,rainbow,big;small;new;old;beautiful;colorful;bright;high;low;long
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Environmental Phenomena,snow,big;small;white;new;old;cold;soft;heavy;light;fresh
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Environmental Phenomena,storm,big;small;strong;weak;new;old;sudden;terrible;dangerous;heavy
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Environmental Phenomena,thunder,big;loud;new;old;sudden;strong;deep;far;near;scary
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Environmental Phenomena,tide,big;small;high;low;new;old;strong;weak;fast;slow
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Environmental Phenomena,volcano,big;small;new;old;active;inactive;dangerous;high;low;hot
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Environmental Phenomena,wind,big;small;strong;weak;new;old;cold;warm;fast;slow
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Food Items,apple,big;small;red;green;yellow;new;old;sweet;sour;fresh
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Food Items,banana,big;small;yellow;green;new;old;sweet;soft;ripe;unripe
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Food Items,beef,big;small;new;old;red;raw;cooked;fresh;frozen;cheap
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Food Items,bread,big;small;new;old;white;brown;fresh;hard;soft;whole
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Food Items,broccoli,big;small;green;new;old;fresh;cooked;raw;healthy;cheap
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Food Items,cheese,big;small;new;old;white;yellow;hard;soft;strong;mild
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Food Items,chicken,big;small;new;old;white;raw;cooked;fresh;frozen;fried
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Food Items,egg,big;small;new;old;white;brown;raw;cooked;hard;soft
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Food Items,fish,big;small;new;old;fresh;frozen;raw;cooked;salty;cheap
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Food Items,pasta,big;small;new;old;white;yellow;long;short;cooked;dry
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Food Items,rice,big;small;new;old;white;brown;long;short;cooked;dry
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Food Items,soup,big;small;new;old;hot;cold;thick;thin;tasty;salty
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Human Roles,artist,big;small;new;old;famous;good;bad;young;talented
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Human Roles,athlete,big;small;new;old;famous;good;bad;young;strong
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Human Roles,chef,big;small;new;old;famous;good;bad;young;experienced
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Human Roles,doctor,big;small;new;old;famous;good;bad;young;experienced
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B2,most frequent,Human Roles,engineer,big;small;new;old;famous;good;bad;young;experienced;civil
