Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,anger,strong;deep;fierce;sudden;wild;hot;bitter;quiet;obvious;burning
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Human Roles,lawyer,good;smart;strong;clear;true;real;fair;neat;brave;kind
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Human Roles,musician,good;smart;true;kind;strong;neat;clear;real;fine;bold
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Human Roles,scientist,good;smart;clear;true;strong;real;neat;kind;deep;brave
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Human Roles,soldier,strong;brave;good;true;firm;real;neat;clear;bold;hard
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Human Roles,teacher,good;kind;smart;clear;true;strong;real;neat;firm;fair
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Human Roles,writer,good;smart;true;clear;neat;real;kind;deep;strong;fine
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Inanimate Objects,book,old;thick;good;clear;real;bright;neat;long;deep;soft
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Inanimate Objects,bridge,long;strong;high;old;good;clear;real;wide;firm;safe
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Inanimate Objects,drums,loud;big;strong;deep;clear;fast;real;bright;wild;good
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Inanimate Objects,earth,big;old;deep;round;true;clear;strong;rich;good;real
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Inanimate Objects,flute,small;clear;soft;bright;fine;real;neat;old;pure;good
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Inanimate Objects,key,small;old;strong;good;real;clear;fine;bright;hard;neat
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Inanimate Objects,knife,sharp;small;old;strong;good;clear;firm;real;bright;hard
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Inanimate Objects,lock,old;strong;small;good;clear;real;tight;firm;neat;safe
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Inanimate Objects,moon,bright;full;round;old;clear;high;real;soft;deep;calm
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Inanimate Objects,pen,small;blue;good;neat;clear;real;fine;dark;long;sharp
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Inanimate Objects,sun,bright;hot;big;clear;real;strong;full;round;high;warm
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Inanimate Objects,sword,sharp;long;strong;old;clear;real;bright;bold;hard;pure
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Neutral Animals,cat,small;cute;fast;soft;neat;good;black;white;wild;calm
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Neutral Animals,dog,good;loyal;small;fast;neat;strong;brave;kind;real;happy
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Neutral Animals,dolphin,smart;friendly;fast;good;clear;neat;real;kind;blue;warm
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Neutral Animals,elephant,big;strong;old;kind;good;slow;brown;real;clear;huge
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Neutral Animals,hamster,small;cute;soft;fast;neat;good;round;kind;real;clear
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Neutral Animals,monkey,funny;smart;small;fast;wild;good;kind;real;brave;neat
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Neutral Animals,mouse,small;quick;soft;neat;good;real;light;clear;calm;shy
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Neutral Animals,peacock,colorful;bright;fine;real;strong;good;pure;neat;bold;royal
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Neutral Animals,rabbit,small;fast;cute;soft;good;neat;real;white;kind;quick
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Neutral Animals,shark,big;strong;fast;dark;deep;real;fierce;wild;good;sharp
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Neutral Animals,snake,long;fast;slim;small;dark;real;cold;clear;old;sly
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Neutral Animals,whale,big;old;strong;deep;real;slow;clear;long;wide;good
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Places,city,big;old;loud;busy;real;neat;clear;strong;bright;new
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Places,desert,hot;dry;big;old;real;clear;deep;wide;harsh;quiet
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Places,forest,green;big;old;deep;quiet;dark;real;wild;calm;neat
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Places,island,small;big;old;clear;real;green;bright;pure;calm;quiet
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Places,lake,big;clear;deep;calm;real;blue;old;pure;still;quiet
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Places,mountain,big;high;old;deep;real;strong;clear;tall;wild;steep
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Places,ocean,big;deep;blue;wild;clear;strong;real;old;high;wide
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Places,plain,big;flat;green;real;clear;wide;old;good;pure;calm
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Places,plateau,high;flat;old;wide;real;strong;clear;good;deep;vast
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Places,river,long;deep;clear;strong;real;fast;wide;old;brown;pure
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Places,valley,deep;green;low;real;long;wide;quiet;old;clear;calm
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Places,village,small;old;quiet;real;good;neat;clear;close;warm;kind
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Plants,cactus,green;sharp;small;old;real;prickly;dry;good;clear;strong
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Plants,eggplant,purple;big;fresh;good;soft;raw;neat;clear;round;real
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Plants,flower,small;pretty;bright;fresh;pure;real;sweet;green;good;fine
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Plants,grass,green;soft;short;neat;fresh;clear;real;good;wild;tall
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Plants,lettuce,green;fresh;crisp;small;neat;raw;good;clear;real;soft
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Plants,mushroom,small;brown;fresh;good;soft;neat;real;clear;old;fine
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Plants,onion,small;brown;white;fresh;strong;raw;good;neat;real;sharp
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Plants,pepper,red;hot;fresh;good;small;clear;neat;real;firm;bright
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Plants,potato,big;brown;small;good;fresh;raw;firm;real;neat;soft
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Plants,rose,red;sweet;soft;pure;real;bright;small;fresh;neat;good
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Plants,tomato,red;ripe;fresh;good;small;round;clear;real;soft;bright
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Plants,tree,big;tall;old;green;strong;deep;real;clear;good;pure
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Social Relationships,ally,true;good;kind;strong;clear;real;brave;neat;loyal;firm
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Social Relationships,brother,good;kind;close;real;strong;true;firm;neat;nice;warm
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Social Relationships,enemy,bad;strong;dark;cold;real;fierce;wild;true;sharp;bitter
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Social Relationships,father,old;strong;good;kind;real;brave;wise;clear;firm;true
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Social Relationships,follower,loyal;true;good;kind;neat;real;close;firm;brave;clear
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Social Relationships,friend,good;kind;true;close;neat;warm;real;brave;nice;clear
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Social Relationships,leader,strong;true;brave;good;firm;clear;real;kind;bold;neat
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Social Relationships,mother,old;kind;good;real;strong;warm;true;neat;brave;clear
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Social Relationships,partner,good;true;kind;close;real;neat;brave;clear;strong;warm
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Social Relationships,rival,strong;real;bold;true;fierce;sharp;keen;good;dark;clear
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Social Relationships,sister,good;kind;close;true;real;neat;warm;brave;strong;clear
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Social Relationships,stranger,new;unknown;real;cold;clear;wild;odd;good;sharp;distant
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Spatial Concepts,above,high;far;clear;real;bright;old;strong;deep;wide;open
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Spatial Concepts,back,strong;wide;clear;good;deep;real;high;neat;thick;firm
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Spatial Concepts,below,deep;low;clear;good;dark;real;strong;neat;small;calm
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Spatial Concepts,east,old;bright;real;clear;good;warm;high;neat;strong;new
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Spatial Concepts,front,clear;strong;good;neat;real;bright;high;wide;true;solid
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Spatial Concepts,inside,deep;warm;clear;real;good;bright;neat;close;small;quiet
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Spatial Concepts,left,small;clear;good;strong;neat;close;real;bright;high;true
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Spatial Concepts,north,cold;clear;real;good;strong;high;bright;true;deep;old
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Spatial Concepts,outside,big;open;clear;real;good;bright;strong;wild;neat;high
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Spatial Concepts,right,true;good;clear;strong;neat;real;fair;high;smart;bold
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Spatial Concepts,south,warm;clear;good;real;strong;bright;high;deep;true;kind
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Spatial Concepts,west,old;clear;good;strong;real;bright;high;wide;deep;true
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Time Concepts,century,long;old;real;clear;good;big;high;strong;deep;true
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Time Concepts,day,long;bright;good;clear;real;warm;strong;high;fresh;true
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Time Concepts,evening,calm;cool;real;clear;good;dark;warm;deep;soft;quiet
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Time Concepts,hour,short;long;good;clear;real;fine;neat;quick;high;true
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Time Concepts,minute,small;short;quick;clear;real;good;neat;fine;high;close
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Time Concepts,month,long;short;old;new;clear;real;good;high;bright;wide
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Time Concepts,morning,bright;fresh;good;clear;real;warm;early;high;calm;sweet
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Time Concepts,night,dark;calm;deep;clear;long;good;real;cool;still;quiet
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Time Concepts,season,cold;warm;good;rich;clear;real;long;short;bright;old
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Time Concepts,second,short;quick;good;clear;real;neat;fine;small;fast;true
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Time Concepts,week,long;short;good;clear;real;old;neat;high;bright;fresh
o3-mini,basic,1.0,FA # Persian,B1,most frequent,Time Concepts,year,long;old;good;clear;real;bright;high;warm;rich;full
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Abstract Concepts,anger,strong;deep;fierce;bitter;hot;wild;sudden;burning;intense;uncontrolled
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Abstract Concepts,courage,brave;firm;bold;daring;true;steady;strong;noble;self-assured;determined
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Abstract Concepts,fear,deep;strong;cold;heavy;sudden;intense;growing;obvious;sharp;wild
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Abstract Concepts,freedom,true;open;simple;clear;pure;high;boundless;secure;real;happy
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Abstract Concepts,happiness,true;deep;warm;bright;calm;kind;pure;simple;real;lasting
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Abstract Concepts,hate,strong;deep;bitter;fierce;hard;wild;intense;sharp;brutal;cold
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Abstract Concepts,honesty,open;true;clear;pure;fair;simple;real;deep;plain;constant
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Abstract Concepts,justice,true;fair;clear;strong;deep;pure;noble;simple;real;proper
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Abstract Concepts,knowledge,deep;broad;clear;true;pure;vast;strong;simple;real;lasting
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Abstract Concepts,love,true;deep;warm;pure;bright;kind;real;gentle;soft;clear
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Abstract Concepts,peace,true;calm;deep;pure;clear;open;still;quiet;simple;warm
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Abstract Concepts,wisdom,deep;true;clear;great;old;strong;pure;calm;real;steady
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,bell,loud;clear;soft;old;new;bright;shiny;heavy;small;round
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,candle,small;bright;soft;warm;old;pure;thin;short;gentle;pale
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,carpet,soft;thick;warm;clean;new;bright;rich;old;deep;plain
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,coin,small;round;shiny;old;new;heavy;bright;flat;pure;clear
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,crown,royal;bright;golden;rich;fine;shiny;ancient;heavy;clear;noble
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,flag,bright;clear;red;blue;neat;simple;bold;proud;old;strong
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,mask,plain;clear;simple;old;new;soft;light;dark;clean;fixed
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,necklace,shiny;bright;fine;pure;old;new;clear;small;rich;light
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,painting,old;new;bright;clear;rich;deep;bold;soft;large;fine
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,ring,small;round;bright;shiny;clear;old;fine;new;pure;elegant
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,statue,old;large;clear;strong;fine;pure;real;still;solid;grand
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Cultural Artifacts,vase,old;fine;clear;bright;small;pure;new;rich;deep;round
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,cloud,white;soft;light;dark;big;high;small;thin;clear;gray
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,earthquake,strong;deep;big;fierce;heavy;sudden;real;sharp;wild;violent
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,fog,thick;low;soft;light;deep;heavy;clear;dense;pale;cold
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,lightning,bright;fast;strong;sharp;sudden;clear;wild;fierce;quick;heavy
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,rain,wet;light;strong;heavy;clear;cool;soft;deep;fine;falling
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,rainbow,bright;clear;vivid;soft;rare;high;deep;pure;rich;lovely
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;light;clear;bright;pure;heavy;fresh
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,storm,strong;dark;heavy;wild;fierce;loud;sudden;rough;intense;violent
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,thunder,loud;deep;strong;fierce;sudden;heavy;clear;wild;dark;booming
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,tide,high;low;strong;deep;wild;clear;cold;warm;rough;steady
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,volcano,hot;strong;deep;fierce;wild;large;dark;heavy;intense;active
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Environmental Phenomena,wind,strong;cold;wild;clear;deep;light;heavy;soft;fast;fresh
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Food Items,apple,red;sweet;small;crisp;fresh;ripe;soft;bright;pure;firm
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Food Items,banana,yellow;sweet;soft;ripe;small;long;fresh;bright;pure;curved
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Food Items,beef,red;fresh;raw;tender;firm;lean;rich;juicy;soft;cooked
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Food Items,bread,fresh;soft;warm;thick;brown;light;tasty;good;small;old
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Food Items,broccoli,green;fresh;crisp;small;healthy;firm;bright;pure;raw;tasty
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Food Items,cheese,yellow;fresh;soft;hard;rich;tasty;old;strong;firm;mild
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Food Items,chicken,fresh;cooked;raw;tender;light;firm;rich;small;good;warm
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Food Items,egg,small;fresh;white;brown;raw;firm;oval;neat;clear;light
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Food Items,fish,fresh;small;lean;raw;firm;light;tasty;good;soft;wild
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Food Items,pasta,hot;soft;fresh;long;tasty;firm;plain;good;light;warm
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Food Items,rice,white;small;clean;fresh;soft;hot;plain;tasty;light;good
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Food Items,soup,hot;warm;fresh;rich;clear;tasty;light;soft;good;deep
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Human Roles,artist,creative;skilled;true;deep;bright;kind;calm;smart;strong;real
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Human Roles,athlete,strong;fast;brave;healthy;true;bold;smart;tough;clear;active
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Human Roles,chef,skilled;fresh;kind;good;smart;strong;true;neat;modern;quick
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Human Roles,doctor,kind;smart;true;strong;good;deep;clear;calm;brave;fair
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Human Roles,engineer,smart;strong;true;deep;good;clear;kind;brave;quick;neat
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Human Roles,farmer,hard;strong;true;fresh;kind;rich;good;clear;old;neat
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Human Roles,lawyer,smart;clear;deep;true;strong;fair;good;kind;brave;firm
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Human Roles,musician,creative;smart;true;deep;clear;kind;brave;rich;good;bold
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Human Roles,scientist,smart;true;deep;clear;good;kind;brave;hard;bright;real
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Human Roles,soldier,brave;strong;true;deep;clear;kind;firm;smart;bold;fierce
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Human Roles,teacher,kind;true;smart;deep;clear;good;strong;bold;calm;patient
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Human Roles,writer,creative;smart;true;deep;clear;kind;good;bright;neat;real
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Inanimate Objects,book,old;new;deep;clear;true;bright;interesting;rich;simple;good
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Inanimate Objects,bridge,strong;long;wide;old;clear;deep;high;neat;firm;real
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Inanimate Objects,drums,loud;strong;deep;clear;bright;fast;real;wild;heavy;bold
o3-mini,basic,1.0,FA # Persian,B2,most frequent,Inanimate Objects,earth,old;big;deep;strong;real;rich;warm;clear;pure;round
