Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,anger,strong;hot;deep;wild;quick;bad;hard;fierce;sudden;red
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Neutral Animals,dolphin,smart;kind;good;fast;strong;neat;clear;pure;deep;blue
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Neutral Animals,elephant,big;strong;old;kind;good;slow;clear;neat;pure;heavy
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Neutral Animals,hamster,small;cute;kind;good;neat;soft;round;fast;pure;tiny
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Neutral Animals,monkey,small;quick;smart;kind;good;neat;clear;pure;funny;bold
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Neutral Animals,mouse,small;cute;fast;good;kind;neat;clear;pure;soft;tiny
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Neutral Animals,peacock,big;bright;beautiful;neat;pure;clear;good;bold;rich;old
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Neutral Animals,rabbit,small;cute;fast;soft;good;kind;neat;clear;pure;quick
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Neutral Animals,shark,big;strong;fast;fierce;deep;dark;wild;good;sharp;clear
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Neutral Animals,snake,small;slim;fast;bold;dark;deep;clear;neat;pure;cold
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Neutral Animals,whale,big;huge;deep;strong;good;calm;clear;pure;old;slow
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Places,city,big;busy;old;new;clean;neat;clear;good;bright;loud
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Places,desert,big;dry;hot;old;clear;neat;pure;vast;deep;hard
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Places,forest,big;green;old;deep;wild;clear;neat;pure;dark;calm
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Places,island,small;big;green;old;clear;neat;pure;warm;calm;close
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Places,lake,big;deep;clear;blue;still;calm;pure;old;good;wide
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Places,mountain,big;tall;old;deep;clear;steep;pure;strong;high;wide
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Places,ocean,big;deep;blue;strong;wild;clear;pure;vast;calm;cold
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Places,plain,big;flat;old;clear;neat;pure;good;wide;deep;soft
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Places,plateau,big;high;flat;old;clear;neat;pure;strong;wide;deep
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Places,river,long;deep;clear;fast;strong;pure;cool;old;big;wild
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Places,valley,big;deep;green;calm;clear;pure;old;wide;neat;soft
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Places,village,small;quiet;old;neat;clear;good;pure;warm;close;kind
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Plants,cactus,small;green;sharp;dry;good;hard;clear;neat;pure;spiky
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Plants,eggplant,big;purple;fresh;good;soft;neat;clear;pure;old;round
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Plants,flower,small;beautiful;red;fresh;neat;pure;good;soft;clear;bright
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Plants,grass,green;soft;small;neat;pure;good;clear;deep;fresh;wild
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Plants,lettuce,green;fresh;small;neat;pure;good;clear;soft;old;light
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Plants,mushroom,small;brown;fresh;good;neat;clear;pure;soft;old;wild
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Plants,onion,small;white;good;fresh;neat;clear;pure;sharp;deep;raw
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Plants,pepper,small;red;green;good;fresh;neat;clear;pure;hot;bold
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Plants,potato,small;brown;old;good;fresh;neat;clear;pure;round;soft
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Plants,rose,small;red;beautiful;good;fresh;neat;clear;pure;soft;bright
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Plants,tomato,small;red;fresh;good;neat;clear;pure;soft;round;sweet
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Plants,tree,big;old;green;tall;clear;neat;pure;deep;good;wide
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Social Relationships,ally,good;true;strong;kind;clear;neat;brave;bold;pure;fair
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Social Relationships,brother,good;kind;true;strong;close;neat;clear;pure;brave;real
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Social Relationships,enemy,bad;strong;mean;dark;cold;wild;deep;fierce;quick;sharp
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Social Relationships,father,old;good;strong;kind;true;neat;clear;pure;brave;real
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Social Relationships,follower,good;kind;true;neat;clear;pure;close;bold;real;firm
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Social Relationships,friend,good;kind;true;close;neat;clear;pure;brave;real;warm
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Social Relationships,leader,strong;good;true;brave;kind;neat;clear;pure;wise;bold
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Social Relationships,mother,old;good;kind;true;close;neat;clear;pure;brave;real
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Social Relationships,partner,good;true;strong;kind;neat;clear;pure;close;warm;real
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Social Relationships,rival,strong;bad;true;mean;close;neat;clear;pure;bold;real
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Social Relationships,sister,good;kind;true;close;neat;clear;pure;brave;real;warm
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Social Relationships,stranger,new;bad;cold;unknown;small;neat;clear;pure;wild;deep
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Spatial Concepts,above,high;clear;true;good;strong;neat;open;bright;pure;deep
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Spatial Concepts,back,strong;clear;good;neat;deep;true;bold;pure;old;hard
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Spatial Concepts,below,low;deep;clear;good;pure;neat;true;bold;strong;high
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Spatial Concepts,east,good;clear;true;warm;neat;old;pure;bright;deep;open
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Spatial Concepts,front,clear;good;neat;bright;strong;deep;pure;true;bold;open
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Spatial Concepts,inside,small;clear;good;neat;deep;true;pure;warm;open;soft
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Spatial Concepts,left,good;strong;clear;neat;pure;true;close;bright;deep;bold
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Spatial Concepts,north,cold;clear;good;neat;pure;deep;bold;true;strong;high
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Spatial Concepts,outside,big;open;clear;good;neat;true;pure;bright;wild;deep
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Spatial Concepts,right,good;true;clear;neat;pure;strong;bold;deep;warm;close
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Spatial Concepts,south,warm;clear;good;neat;pure;deep;strong;bold;true;bright
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Spatial Concepts,west,good;old;clear;neat;pure;strong;deep;bright;bold;true
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Time Concepts,century,long;old;big;clear;true;strong;neat;pure;deep;good
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Time Concepts,day,long;bright;good;clear;warm;neat;pure;strong;deep;fast
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Time Concepts,evening,cool;dark;good;clear;neat;pure;deep;soft;long;calm
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Time Concepts,hour,short;long;good;clear;neat;pure;deep;fast;true;quick
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Time Concepts,minute,short;small;good;clear;neat;pure;deep;fast;true;quick
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Time Concepts,month,long;old;good;clear;neat;pure;deep;true;strong;bright
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Time Concepts,morning,bright;clear;good;fresh;neat;pure;deep;strong;warm;early
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Time Concepts,night,dark;deep;good;clear;calm;neat;pure;long;strong;quiet
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Time Concepts,season,good;long;clear;neat;pure;deep;true;bright;warm;old
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Time Concepts,second,short;small;good;clear;neat;pure;deep;fast;true;quick
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Time Concepts,week,long;good;clear;neat;pure;deep;true;strong;bright;full
o3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Time Concepts,year,long;old;good;clear;neat;pure;deep;strong;bright;full
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Abstract Concepts,anger,intense;strong;sharp;deep;explosive;rising;bitter;wild;seething;sudden
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Abstract Concepts,courage,bold;brave;strong;firm;noble;pure;true;steady;clear;constant
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Abstract Concepts,fear,intense;deep;strong;extreme;constant;rising;growing;sudden;overwhelming;paralyzing
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Abstract Concepts,freedom,absolute;real;true;clear;vast;wide;basic;great;pure;natural
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Abstract Concepts,happiness,true;real;deep;pure;simple;clear;warm;bright;small;great
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Abstract Concepts,hate,intense;deep;strong;bitter;extreme;powerful;overwhelming;raw;pure;lasting
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Abstract Concepts,honesty,true;clear;pure;real;simple;kind;deep;direct;open;sincere
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Abstract Concepts,justice,fair;true;direct;clear;real;strong;firm;equal;proper;basic
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Abstract Concepts,knowledge,deep;real;clear;broad;true;simple;wide;useful;strong;basic
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Abstract Concepts,love,true;real;deep;pure;simple;warm;strong;kind;large;clear
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Abstract Concepts,peace,calm;true;deep;clear;real;still;sweet;quiet;safe;gentle
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Abstract Concepts,wisdom,ancient;deep;true;clear;sound;calm;simple;vast;pure;humble
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Cultural Artifacts,bell,clear;loud;round;old;bright;heavy;smooth;shiny;resonant;plain
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Cultural Artifacts,candle,small;bright;short;pure;old;soft;light;simple;natural;warm
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Cultural Artifacts,carpet,soft;warm;thick;neat;deep;clean;bright;old;smooth;new
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Cultural Artifacts,coin,small;round;old;bright;shiny;real;clear;hard;basic;common
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Cultural Artifacts,crown,royal;bright;fine;golden;noble;rich;precious;grand;elegant;classic
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Cultural Artifacts,flag,bright;bold;clear;strong;simple;neat;waving;high;proud;old
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Cultural Artifacts,mask,old;dark;plain;bright;small;simple;strange;clear;thin;smooth
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Cultural Artifacts,necklace,pretty;small;shining;bright;clear;fine;neat;old;simple;soft
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Cultural Artifacts,painting,beautiful;bright;clear;old;neat;simple;deep;real;creative;interesting
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Cultural Artifacts,ring,round;small;bright;clear;fine;pure;simple;old;neat;golden
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Cultural Artifacts,statue,big;old;real;clear;strong;pure;neat;fine;bold;solid
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Cultural Artifacts,vase,small;fine;clear;neat;old;real;bright;soft;round;pure
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Environmental Phenomena,cloud,white;grey;soft;light;high;thin;deep;calm;small;clear
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Environmental Phenomena,earthquake,strong;big;deep;sudden;fierce;violent;heavy;real;rough;dangerous
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Environmental Phenomena,fog,thick;cold;soft;deep;light;pale;thin;dense;mild;heavy
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Environmental Phenomena,lightning,bright;quick;strong;sharp;deep;high;real;sudden;wild;fierce
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Environmental Phenomena,rain,light;hard;strong;clear;cold;heavy;soft;deep;bright;quick
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Environmental Phenomena,rainbow,bright;clear;bold;rich;deep;pure;old;soft;fine;real
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Environmental Phenomena,snow,white;soft;cold;deep;light;pure;small;thick;fresh;bright
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Environmental Phenomena,storm,strong;wild;dark;clear;heavy;deep;fast;fierce;real;sudden
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Environmental Phenomena,thunder,loud;strong;deep;big;clear;sudden;real;heavy;wild;fierce
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Environmental Phenomena,tide,high;low;strong;deep;clear;real;rough;calm;wet;steady
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Environmental Phenomena,volcano,big;hot;strong;deep;real;old;fierce;active;dark;dangerous
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Environmental Phenomena,wind,strong;cold;clear;deep;soft;light;high;wild;real;fast
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Food Items,apple,red;sweet;small;bright;round;fresh;soft;crisp;green;tasty
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Food Items,banana,yellow;sweet;soft;ripe;long;fresh;small;bright;tasty;smooth
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Food Items,beef,red;raw;fresh;pure;strong;lean;soft;hard;good;rich
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Food Items,bread,fresh;soft;good;brown;small;neat;light;warm;real;new
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Food Items,broccoli,green;fresh;small;soft;raw;bright;neat;good;crisp;natural
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Food Items,cheese,soft;fresh;yellow;good;sweet;neat;small;hard;mild;tasty
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Food Items,chicken,fresh;raw;good;sweet;neat;small;hard;rich;pure;light
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Food Items,egg,small;white;raw;fresh;neat;pure;hard;good;round;new
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Food Items,fish,fresh;raw;good;light;small;neat;firm;soft;clean;tasty
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Food Items,pasta,soft;good;plain;neat;light;fresh;small;tasty;real;simple
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Food Items,rice,white;plain;neat;small;fresh;light;good;soft;raw;tasty
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Food Items,soup,hot;warm;good;fresh;clear;neat;soft;thick;real;tasty
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Human Roles,artist,creative;smart;talented;kind;brave;bold;neat;real;true;strong
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Human Roles,athlete,strong;fast;brave;fit;bold;smart;real;powerful;quick;healthy
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Human Roles,chef,smart;creative;good;neat;kind;brave;bold;real;fine;strong
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Human Roles,doctor,kind;smart;good;real;brave;strong;neat;true;careful;warm
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Human Roles,engineer,smart;creative;real;good;kind;neat;strong;bold;careful;true
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Human Roles,farmer,hard;brave;strong;good;kind;neat;real;honest;true;fresh
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Human Roles,lawyer,smart;firm;kind;strong;good;real;clear;brave;neat;proper
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Human Roles,musician,creative;smart;good;bold;neat;kind;true;real;strong;clear
o3-mini,basic,1.0,PT # Portuguese,B2,most frequent,Human Roles,scientist,smart;clever;real;good;kind;brave;neat;true;clear;strong
