Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,anger,strong;deep;high;sudden;hot;wild;bad;great;fierce;heavy
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,rain,wet;cold;deep;small;big;strong;clear;high;real;soft
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,rainbow,bright;clear;big;real;neat;pure;good;soft;fine;true
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,snow,white;soft;cold;deep;clear;good;pure;neat;real;calm
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,storm,big;strong;dark;deep;wild;high;real;fierce;heavy;fast
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,thunder,loud;deep;strong;big;clear;quick;wild;real;heavy;fierce
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,tide,high;low;strong;deep;big;real;clear;full;wild;good
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,volcano,big;hot;strong;deep;real;clear;dark;wild;fierce;high
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,wind,strong;high;cold;clear;soft;good;deep;wild;real;fast
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,apple,red;big;small;good;fresh;ripe;sweet;crisp;neat;clear
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,banana,yellow;big;small;good;fresh;ripe;sweet;neat;soft;clear
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,beef,red;good;raw;big;small;fresh;lean;thick;neat;firm
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,bread,fresh;good;soft;hard;warm;neat;brown;small;big;clear
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,broccoli,green;good;fresh;small;big;neat;raw;soft;firm;clear
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,cheese,white;good;fresh;soft;hard;neat;pure;real;tasty;firm
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,chicken,good;fresh;raw;small;big;neat;real;warm;soft;firm
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,egg,small;white;good;fresh;raw;neat;round;clear;pure;soft
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,fish,small;good;fresh;raw;neat;clear;deep;real;wild;cold
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,pasta,good;fresh;long;thin;neat;real;clear;big;soft;firm
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,rice,small;white;good;neat;raw;pure;clear;real;plain;soft
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,soup,hot;good;fresh;clear;neat;warm;deep;real;thick;soft
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,artist,creative;good;smart;kind;neat;real;true;brave;clear;bold
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,athlete,strong;fast;good;brave;neat;real;true;big;high;smart
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,chef,good;neat;real;smart;kind;bold;clear;fresh;true;brave
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,doctor,good;kind;smart;neat;real;strong;brave;clear;true;clean
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,engineer,smart;good;neat;real;clear;strong;true;brave;kind;big
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,farmer,good;strong;real;neat;kind;bright;raw;fresh;brave;true
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,lawyer,good;smart;clear;neat;real;strong;brave;true;kind;fair
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,musician,good;creative;neat;smart;real;clear;true;brave;kind;bold
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,scientist,smart;good;clear;neat;real;strong;true;brave;kind;deep
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,soldier,strong;brave;good;real;neat;true;smart;hard;bold;clear
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,teacher,good;kind;smart;neat;real;clear;true;brave;strong;fair
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,writer,good;smart;neat;real;clear;true;kind;brave;strong;deep
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,book,old;good;neat;clear;big;deep;real;plain;long;bright
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,bridge,big;strong;long;old;good;neat;real;clear;high;wide
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,drums,big;loud;strong;clear;good;neat;deep;real;fast;wild
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,earth,big;round;old;good;deep;clear;real;strong;high;pure
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,flute,small;clear;neat;good;soft;real;bright;pure;long;high
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,key,small;old;good;neat;clear;real;bright;pure;sharp;thick
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,knife,sharp;good;strong;real;neat;clear;old;bright;heavy;fine
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,lock,small;strong;good;neat;real;old;clear;tight;dark;heavy
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,moon,round;bright;clear;old;full;high;deep;pure;calm;good
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,pen,small;good;neat;clear;real;bright;thick;fine;long;sharp
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,sun,big;bright;hot;clear;good;strong;high;pure;real;warm
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,sword,long;sharp;strong;good;neat;real;old;bright;clear;heavy
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,cat,small;cute;good;neat;real;soft;quick;kind;calm;smart
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,dog,big;good;neat;real;kind;strong;quick;bright;calm;smart
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,dolphin,smart;good;neat;real;kind;quick;soft;clear;brave;friendly
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,elephant,big;strong;old;good;real;neat;clear;tall;kind;heavy
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,hamster,small;cute;good;neat;real;soft;kind;quick;bright;calm
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,monkey,small;smart;good;neat;real;quick;kind;brave;clear;funny
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,mouse,small;tiny;good;neat;real;quick;soft;kind;clear;calm
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,peacock,big;bright;neat;good;real;clear;proud;fine;true;bold
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,rabbit,small;cute;good;neat;real;soft;quick;kind;bright;calm
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,shark,big;strong;real;good;neat;dark;clear;wild;fast;fierce
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,snake,small;long;good;neat;real;dark;clear;quick;wild;sharp
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,whale,big;huge;strong;good;real;neat;clear;deep;wild;calm
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,city,big;old;clear;good;busy;real;neat;high;wide;bright
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,desert,big;hot;dry;old;real;clear;neat;good;dark;wide
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,forest,big;green;old;real;good;neat;deep;dark;clear;wild
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,island,small;big;clear;good;real;neat;old;high;wide;calm
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,lake,big;deep;clear;real;good;neat;calm;cold;old;pure
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,mountain,big;high;old;strong;clear;real;deep;tall;good;steep
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,ocean,big;deep;blue;strong;real;clear;good;wild;high;vast
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,plain,big;flat;clear;real;good;neat;wide;open;true;soft
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,plateau,big;flat;high;clear;real;good;neat;wide;old;strong
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,river,long;deep;clear;real;good;strong;wide;bright;fast;high
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,valley,deep;low;clear;real;good;wide;old;neat;calm;high
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,village,small;neat;good;old;real;clear;kind;calm;bright;quiet
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,cactus,small;green;sharp;real;good;neat;clear;dry;tough;old
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,eggplant,big;purple;good;neat;real;clear;soft;raw;fresh;dark
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,flower,small;bright;fresh;good;neat;real;pure;clear;soft;sweet
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,grass,green;small;good;neat;real;fresh;clear;pure;soft;tall
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,lettuce,green;fresh;good;neat;real;clear;pure;soft;crisp;small
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,mushroom,small;brown;good;neat;real;clear;dark;fresh;soft;round
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,onion,small;white;good;neat;real;clear;fresh;strong;raw;deep
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,pepper,small;red;good;neat;real;clear;fresh;hot;raw;bright
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,potato,big;brown;good;neat;real;clear;raw;fresh;firm;soft
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,rose,red;beautiful;good;neat;real;bright;pure;clear;soft;sweet
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,tomato,red;big;good;neat;real;fresh;clear;ripe;sweet;soft
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,tree,big;old;green;tall;strong;real;clear;good;neat;deep
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,ally,true;good;strong;kind;clear;neat;real;brave;bold;smart
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,brother,good;strong;kind;true;real;neat;brave;smart;clear;warm
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,enemy,bad;strong;dark;real;clear;neat;fierce;cruel;cold;wild
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,father,good;old;strong;kind;true;real;neat;brave;smart;clear
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,follower,good;true;real;kind;neat;clear;strong;smart;brave;loyal
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,friend,good;kind;true;real;neat;smart;brave;clear;warm;nice
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,leader,strong;true;good;brave;kind;real;neat;smart;bold;clear
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,mother,good;old;strong;kind;true;real;neat;brave;warm;clear
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,partner,good;true;real;kind;neat;smart;brave;clear;close;strong
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,rival,strong;bad;real;clear;neat;fierce;wild;high;deep;bold
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,sister,good;kind;true;real;neat;smart;brave;warm;clear;close
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,stranger,old;new;good;clear;real;weird;neat;kind;strong;bold
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,above,high;clear;good;real;neat;strong;bright;true;wide;long
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,back,strong;real;good;clear;neat;high;deep;old;wide;brave
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,below,low;deep;clear;real;good;neat;small;dark;high;pure
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,east,old;clear;good;real;neat;high;bright;strong;bold;true
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,front,clear;strong;good;real;neat;bright;high;true;bold;sharp
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,inside,clear;neat;good;real;small;deep;tight;strong;bright;warm
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,left,clear;good;real;neat;strong;high;true;bold;deep;quick
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,north,cold;clear;good;real;neat;high;strong;bright;true;deep
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,outside,big;clear;good;real;neat;open;bright;high;strong;wild
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,right,good;neat;clear;real;strong;true;bright;high;bold;smart
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,south,warm;clear;good;real;neat;high;strong;bright;kind;calm
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,west,old;clear;good;real;neat;high;strong;bright;true;bold
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,century,long;old;clear;good;real;neat;great;high;big;proud
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,day,long;bright;good;clear;real;neat;warm;high;big;true
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,evening,cool;old;clear;good;neat;real;calm;deep;dark;warm
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,hour,short;long;clear;good;real;neat;quick;high;true;deep
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,minute,small;short;good;real;neat;quick;clear;deep;high;fine
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,month,long;old;good;clear;real;neat;high;big;true;warm
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,morning,bright;clear;good;real;neat;warm;early;high;calm;fresh
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,night,dark;deep;clear;good;real;neat;calm;cool;long;quiet
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,season,long;cool;good;clear;real;neat;warm;high;deep;true
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,second,short;quick;good;clear;real;neat;fast;high;true;deep
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,week,long;good;clear;real;neat;high;big;warm;true;fair
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,year,long;old;good;clear;real;neat;high;big;true;warm
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,anger,hot;strong;deep;intense;sudden;burning;wild;harsh;explosive;uncontrolled
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,courage,brave;bold;strong;true;noble;fearless;steadfast;determined;confident;heroic
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,fear,intense;deep;strong;sudden;cold;heavy;sharp;silent;overwhelming;obvious
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,freedom,vast;open;true;bright;pure;free;endless;noble;clear;wide
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,happiness,warm;bright;joyful;sweet;deep;gentle;simple;clear;calm;true
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,hate,strong;deep;pure;dark;bitter;cold;hard;sharp;burning;wild
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,honesty,true;pure;clear;real;sincere;frank;open;direct;plain;proper
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,justice,fair;true;equal;balanced;proper;firm;strict;honest;solid;clear
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,knowledge,deep;true;clear;vast;strong;broad;pure;solid;old;sound
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,love,warm;deep;true;pure;strong;sweet;kind;real;gentle;soft
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,peace,calm;true;deep;pure;open;quiet;soft;clear;steady;strong
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,wisdom,old;deep;true;clear;vast;strong;good;calm;pure;sound
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,bell,small;large;old;heavy;bright;clear;soft;smooth;round;loud
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,candle,small;old;bright;soft;warm;clear;round;thin;steady;pure
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,carpet,soft;old;bright;warm;clean;real;fine;neat;thick;smooth
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,coin,small;old;round;bright;metallic;clear;hard;shiny;worn;rare
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,crown,gold;royal;bright;fine;old;rich;heavy;grand;elegant;neat
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,flag,red;blue;bright;bold;clear;strong;true;neat;pure;wide
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,mask,dark;plain;simple;clear;neat;pure;old;cold;firm;soft
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,necklace,small;bright;fine;clear;neat;true;strong;old;rich;pure
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,painting,old;bright;clear;deep;true;soft;fine;neat;strong;calm
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,ring,small;round;bright;clear;neat;pure;fine;rich;old;strong
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,statue,old;big;strong;clear;fine;neat;grand;pure;true;solid
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,vase,old;fine;clear;neat;bright;pure;strong;deep;rich;real
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,cloud,white;soft;light;high;wide;pure;deep;clear;calm;bright
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,earthquake,big;strong;deep;hard;real;sudden;heavy;clear;wild;fierce
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,fog,thick;soft;dark;heavy;real;cold;clear;damp;deep;mild
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,lightning,bright;fast;strong;clear;quick;real;sharp;wild;sudden;intense
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,rain,wet;soft;real;clear;cold;heavy;strong;pure;light;steady
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,rainbow,bright;clear;strong;wide;deep;true;real;neat;fine;pure
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,snow,white;soft;deep;pure;real;light;cold;clear;thick;fresh
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,storm,big;strong;dark;heavy;real;wild;loud;clear;fast;fierce
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,thunder,loud;deep;strong;real;clear;heavy;fierce;sudden;fast;raw
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,tide,strong;high;deep;clear;heavy;real;slow;soft;vast;calm
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,volcano,big;strong;deep;hot;fierce;real;wild;dark;heavy;sudden
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,wind,strong;cold;deep;real;clear;soft;wild;fast;high;steady
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,apple,red;small;sweet;fresh;bright;real;crisp;juicy;fine;round
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,banana,yellow;long;ripe;sweet;soft;fine;fresh;real;neat;plain
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,beef,red;fresh;raw;cooked;lean;fatty;tasty;tender;fine;good
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,bread,fresh;soft;warm;tasty;fine;neat;real;good;light;plain
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,broccoli,green;fresh;fine;raw;good;neat;real;healthy;bright;crisp
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,cheese,yellow;fresh;soft;strong;good;fine;neat;real;tasty;smooth
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,chicken,fresh;cooked;good;fine;neat;real;tender;tasty;warm;strong
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,egg,small;fresh;white;raw;cooked;neat;fine;real;good;plain
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,fish,fresh;cold;raw;good;fine;neat;real;tasty;soft;light
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,pasta,cooked;soft;fine;neat;real;good;warm;tasty;plain;rich
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,rice,white;soft;fine;good;neat;real;warm;plain;light;fresh
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,soup,hot;warm;soft;good;clear;real;fresh;neat;fine;rich
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Human Roles,artist,creative;bold;skilled;neat;true;kind;smart;friendly;calm;open
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Human Roles,athlete,strong;fast;good;real;neat;brave;skilled;quick;fit;tough
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Human Roles,chef,skilled;creative;neat;careful;good;bold;smart;kind;steady;fine
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Human Roles,doctor,smart;kind;good;real;true;calm;neat;strong;careful;warm
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Human Roles,engineer,smart;skilled;good;neat;strong;clear;real;bold;true;careful
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Human Roles,farmer,hard;good;strong;real;neat;old;kind;true;brave;busy
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Human Roles,lawyer,smart;strong;clear;good;real;neat;bold;true;fair;kind
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Human Roles,musician,creative;kind;good;neat;real;strong;bold;smart;true;fine
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Human Roles,scientist,smart;true;good;neat;careful;clear;real;bold;strong;kind
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Human Roles,soldier,brave;strong;bold;true;real;neat;good;tough;steady;loyal
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Human Roles,teacher,kind;smart;good;real;neat;true;calm;patient;strong;clear
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Human Roles,writer,creative;smart;good;neat;clear;real;kind;bold;true;fine
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Inanimate Objects,book,old;thick;neat;clear;good;plain;real;deep;fine;long
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Inanimate Objects,bridge,old;long;strong;clear;neat;true;good;wide;deep;firm
