Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,anger,strong;intense;bad;deep;sudden;hot;wild;extreme;heavy;raw
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Neutral Animals,dolphin,smart;kind;good;fast;clear;pure;real;neat;strong;bright
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Neutral Animals,elephant,big;strong;good;kind;real;old;deep;clear;pure;slow
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Neutral Animals,hamster,small;cute;good;soft;kind;real;neat;fast;pure;old
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Neutral Animals,monkey,smart;funny;good;quick;kind;strong;real;neat;pure;bold
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Neutral Animals,mouse,small;quick;soft;good;real;neat;kind;pure;light;cute
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Neutral Animals,peacock,bright;beautiful;good;clear;real;pure;bold;high;soft;charming
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Neutral Animals,rabbit,small;fast;cute;kind;good;real;neat;soft;pure;quick
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Neutral Animals,shark,big;strong;fast;wild;real;clear;pure;dark;bad;deep
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Neutral Animals,snake,long;slim;wild;strong;real;clear;pure;dark;quick;cold
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Neutral Animals,whale,big;strong;deep;real;clear;pure;old;slow;good;high
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Places,city,big;old;real;clear;neat;good;busy;high;wide;modern
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Places,desert,hot;big;dry;clear;pure;real;wild;old;dark;empty
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Places,forest,big;green;deep;dark;real;wild;old;clear;pure;quiet
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Places,island,small;big;green;clear;pure;good;real;old;high;safe
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Places,lake,deep;clear;big;still;pure;good;real;calm;cold;high
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Places,mountain,high;big;old;steep;deep;clear;pure;strong;real;wild
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Places,ocean,big;deep;blue;strong;real;clear;pure;wild;high;old
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Places,plain,big;wide;clear;good;real;deep;pure;high;flat;open
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Places,plateau,high;flat;big;clear;real;pure;good;old;wide;strong
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Places,river,long;deep;clear;strong;good;pure;real;fast;wide;wild
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Places,valley,deep;green;long;clear;real;wild;good;high;pure;old
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Places,village,small;old;neat;good;real;clear;pure;quiet;wide;safe
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Plants,cactus,green;sharp;small;good;real;pure;clear;hard;dry;old
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Plants,eggplant,big;purple;good;raw;pure;fresh;clear;real;neat;soft
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Plants,flower,small;bright;real;pure;good;fresh;clear;sweet;deep;neat
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Plants,grass,green;small;soft;deep;real;pure;good;clear;wide;neat
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Plants,lettuce,green;fresh;good;pure;real;dark;clear;neat;soft;small
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Plants,mushroom,small;brown;good;fresh;pure;real;soft;clear;neat;old
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Plants,onion,strong;white;good;fresh;pure;clear;real;small;sharp;deep
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Plants,pepper,red;hot;good;fresh;pure;clear;real;small;deep;bold
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Plants,potato,big;brown;good;fresh;real;pure;clear;soft;neat;old
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Plants,rose,red;beautiful;good;deep;pure;real;bright;soft;fresh;sweet
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Plants,tomato,red;big;fresh;good;pure;clear;real;juicy;soft;neat
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Plants,tree,big;old;green;strong;high;pure;real;clear;deep;wide
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Social Relationships,ally,true;good;kind;real;strong;safe;clear;pure;firm;loyal
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Social Relationships,brother,good;kind;true;real;strong;safe;clear;pure;close;young
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Social Relationships,enemy,bad;strong;deep;dark;wild;real;pure;clear;harsh;fierce
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Social Relationships,father,old;good;strong;kind;real;true;wise;clear;pure;safe
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Social Relationships,follower,true;good;kind;strong;real;clear;pure;close;high;bold
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Social Relationships,friend,good;kind;true;real;strong;close;warm;clear;pure;nice
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Social Relationships,leader,strong;true;good;real;kind;bold;clear;pure;high;brave
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Social Relationships,mother,good;kind;true;strong;real;safe;pure;clear;warm;close
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Social Relationships,partner,good;close;kind;true;real;strong;clear;pure;safe;deep
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Social Relationships,rival,strong;bad;clear;real;bold;deep;true;fierce;pure;high
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Social Relationships,sister,good;kind;true;close;real;strong;warm;pure;clear;young
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Social Relationships,stranger,unknown;true;clear;pure;good;deep;kind;real;wild;odd
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Spatial Concepts,above,high;clear;pure;true;strong;real;bright;simple;good;deep
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Spatial Concepts,back,strong;clear;pure;good;deep;real;high;close;true;neat
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Spatial Concepts,below,low;deep;clear;pure;good;real;small;true;soft;neat
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Spatial Concepts,east,bright;clear;pure;good;real;high;true;warm;strong;neat
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Spatial Concepts,front,clear;strong;true;good;real;bright;pure;high;neat;close
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Spatial Concepts,inside,clear;pure;real;good;deep;strong;close;high;true;open
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Spatial Concepts,left,clear;real;good;true;neat;strong;pure;high;close;wide
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Spatial Concepts,north,cold;clear;pure;good;real;high;strong;deep;bright;true
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Spatial Concepts,outside,open;bright;clear;pure;good;real;high;wide;strong;true
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Spatial Concepts,right,clear;true;good;real;neat;strong;pure;high;close;fair
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Spatial Concepts,south,warm;clear;pure;good;real;high;strong;deep;bright;true
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Spatial Concepts,west,clear;pure;good;real;high;strong;deep;bright;true;wide
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Time Concepts,century,long;old;clear;pure;good;real;high;strong;deep;broad
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Time Concepts,day,bright;clear;good;long;real;pure;high;warm;full;fast
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Time Concepts,evening,dark;calm;clear;pure;good;real;deep;quiet;cool;soft
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Time Concepts,hour,short;clear;good;real;pure;high;strong;deep;neat;fast
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Time Concepts,minute,small;short;clear;good;real;pure;deep;neat;high;fast
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Time Concepts,month,long;clear;good;real;pure;high;strong;old;neat;full
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Time Concepts,morning,bright;clear;good;real;pure;warm;high;early;fresh;calm
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Time Concepts,night,dark;calm;deep;quiet;clear;pure;good;real;cool;still
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Time Concepts,season,good;clear;real;pure;high;strong;deep;long;warm;cool
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Time Concepts,second,short;quick;clear;good;real;pure;deep;neat;high;fast
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Time Concepts,week,long;good;clear;real;pure;high;strong;neat;deep;busy
o3-mini,basic,1.0,IT # Italian,B1,most frequent,Time Concepts,year,long;old;clear;good;real;pure;high;strong;deep;full
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Abstract Concepts,anger,intense;strong;deep;sudden;fierce;burning;raw;uncontrolled;noticeable;extreme
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Abstract Concepts,courage,brave;strong;firm;bold;steady;true;clear;noble;calm;active
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Abstract Concepts,fear,deep;strong;real;sudden;cold;dark;hidden;pure;true;sharp
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Abstract Concepts,freedom,free;open;pure;clear;true;bright;natural;vast;simple;safe
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Abstract Concepts,happiness,true;deep;strong;warm;bright;calm;pure;clear;soft;gentle
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Abstract Concepts,hate,strong;deep;bitter;raw;pure;sudden;cold;dark;clear;harsh
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Abstract Concepts,honesty,true;pure;real;clear;firm;honest;simple;open;deep;direct
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Abstract Concepts,justice,fair;true;pure;clear;firm;strong;simple;sure;deep;equal
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Abstract Concepts,knowledge,deep;true;clear;broad;vast;strong;pure;simple;real;wide
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Abstract Concepts,love,deep;true;warm;pure;bright;strong;kind;soft;real;sweet
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Abstract Concepts,peace,calm;deep;pure;true;clear;soft;kind;gentle;quiet;full
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Abstract Concepts,wisdom,deep;true;old;pure;clear;strong;calm;kind;broad;sound
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,bell,bright;clear;strong;soft;simple;pure;old;loud;neat;round
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,candle,small;bright;soft;warm;pure;deep;clear;delicate;fading;gentle
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,carpet,soft;warm;deep;bright;clean;neat;thick;plain;smooth;old
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,coin,small;round;old;pure;clear;bright;real;thin;simple;shiny
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,crown,royal;bright;pure;clear;strong;rich;old;fine;neat;grand
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,flag,bright;bold;clear;strong;pure;wide;neat;plain;true;vivid
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,mask,dark;true;clear;strange;plain;soft;bold;neat;real;old
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,necklace,bright;fine;pure;clear;old;real;strong;simple;neat;shiny
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,painting,bright;clear;bold;deep;real;pure;soft;rich;neat;fine
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,ring,small;round;bright;pure;clear;fine;neat;old;simple;shiny
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,statue,old;strong;pure;clear;deep;fine;real;tall;neat;grand
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Cultural Artifacts,vase,thin;clear;bright;real;pure;neat;old;fine;deep;soft
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,cloud,big;soft;white;light;deep;clear;bright;round;pure;thin
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,earthquake,strong;deep;sudden;fierce;major;wild;hard;massive;violent;raw
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,fog,thick;deep;soft;pale;light;dull;clear;cold;real;heavy
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,lightning,bright;quick;sharp;strong;deep;pure;real;wild;fast;fierce
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,rain,soft;light;deep;strong;cool;pure;real;steady;clear;wet
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,rainbow,bright;clear;vivid;pure;deep;strong;soft;real;neat;colorful
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,snow,white;soft;pure;deep;cold;light;fresh;quiet;neat;still
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,storm,strong;wild;deep;fierce;heavy;rough;sudden;dark;pure;loud
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,thunder,deep;loud;strong;sudden;raw;dark;fierce;broad;pure;mighty
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,tide,strong;high;deep;wild;slow;clear;pure;real;cool;big
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,volcano,hot;strong;deep;wild;raw;fierce;massive;real;active;dangerous
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Environmental Phenomena,wind,strong;cool;deep;wild;soft;clear;pure;fast;fresh;real
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Food Items,apple,red;sweet;fresh;ripe;pure;crisp;soft;small;bright;tasty
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Food Items,banana,yellow;ripe;sweet;fresh;soft;long;pure;small;light;tasty
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Food Items,beef,red;raw;fresh;lean;pure;strong;soft;good;rich;tasty
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Food Items,bread,fresh;soft;warm;pure;good;neat;tasty;old;light;simple
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Food Items,broccoli,green;fresh;pure;good;real;neat;firm;raw;tasty;small
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Food Items,cheese,rich;soft;fresh;pure;good;old;strong;neat;fine;tasty
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Food Items,chicken,fresh;juicy;lean;pure;good;light;soft;neat;warm;tasty
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Food Items,egg,small;fresh;pure;rich;good;neat;white;soft;round;tasty
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Food Items,fish,fresh;lean;pure;blue;good;raw;soft;light;neat;tasty
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Food Items,pasta,hot;soft;good;fresh;neat;pure;warm;fine;bright;tasty
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Food Items,rice,white;soft;good;neat;pure;small;light;fine;warm;tasty
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Food Items,soup,hot;thick;warm;pure;good;deep;soft;clear;light;tasty
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Human Roles,artist,creative;true;bold;kind;deep;strong;quiet;neat;smart;fresh
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Human Roles,athlete,strong;fast;bold;keen;true;smart;firm;brave;healthy;quick
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Human Roles,chef,creative;good;neat;bold;strong;quick;real;kind;smart;fresh
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Human Roles,doctor,kind;smart;serious;true;firm;deep;good;neat;brave;careful
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Human Roles,engineer,smart;logical;true;firm;neat;deep;good;strong;careful;clear
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Human Roles,farmer,hard;true;plain;strong;good;neat;deep;friendly;fresh;simple
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Human Roles,lawyer,smart;true;firm;deep;good;clear;kind;fair;neat;strong
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Human Roles,musician,creative;bold;true;neat;soft;warm;deep;good;smart;fair
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Human Roles,scientist,smart;deep;true;careful;good;clear;firm;brave;neat;logical
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Human Roles,soldier,brave;strong;true;firm;deep;bold;good;quick;disciplined;ready
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Human Roles,teacher,kind;smart;deep;true;good;clear;firm;neat;calm;patient
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Human Roles,writer,creative;deep;true;neat;smart;kind;clear;bold;good;fresh
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Inanimate Objects,book,old;true;deep;clear;neat;plain;real;good;rich;simple
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Inanimate Objects,bridge,long;strong;old;deep;clear;good;wide;neat;firm;solid
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Inanimate Objects,drums,loud;deep;strong;heavy;quick;bold;clear;neat;good;rhythmic
o3-mini,basic,1.0,IT # Italian,B2,most frequent,Inanimate Objects,earth,big;old;deep;round;pure;strong;real;rich;firm;natural
