Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,anger,strong;deep;fierce;hot;sharp;sudden;wild;intense;heavy;burning
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,thunder,loud;deep;strong;fast;clear;wild;big;rough;real;sharp
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,tide,strong;high;deep;full;fast;clear;cold;wild;big;real
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,volcano,big;hot;strong;deep;wild;fierce;old;fast;hard;real
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,wind,strong;wild;fast;cold;deep;clear;soft;full;rough;high
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,apple,red;sweet;small;fresh;crisp;ripe;good;round;juicy;bright
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,banana,yellow;sweet;long;soft;ripe;good;fresh;bright;curved;clean
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,beef,red;fresh;raw;good;strong;thick;lean;tender;rich;hot
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,bread,fresh;soft;warm;good;round;light;thick;brown;neat;tasty
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,broccoli,green;fresh;small;good;bright;clean;firm;crisp;neat;tender
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,cheese,white;yellow;fresh;good;soft;hard;small;rich;clean;old
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,chicken,white;fresh;hot;good;soft;raw;small;neat;tasty;firm
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,egg,white;small;fresh;good;raw;soft;neat;round;clean;light
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,fish,wet;fresh;good;raw;small;clean;bright;soft;firm;wild
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,pasta,hot;soft;good;fresh;long;neat;bright;thick;firm;tasty
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,rice,white;small;good;fresh;soft;neat;light;clean;pure;tasty
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,soup,hot;warm;good;deep;soft;clear;fresh;neat;rich;light
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,artist,creative;good;smart;kind;bright;calm;neat;deep;rich;bold
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,athlete,strong;fast;good;brave;smart;fit;neat;tough;bold;quick
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,chef,good;smart;kind;warm;quick;strong;friendly;neat;bold;calm
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,doctor,good;kind;smart;calm;strong;neat;bright;true;real;brave
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,engineer,smart;good;kind;strong;neat;clear;brave;calm;deep;true
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,farmer,good;hard;strong;kind;smart;neat;real;bright;calm;fresh
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,lawyer,smart;good;kind;strong;neat;clear;brave;calm;true;fair
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,musician,creative;good;smart;kind;bright;neat;calm;soft;deep;real
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,scientist,smart;good;clear;strong;neat;brave;kind;deep;true;bright
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,soldier,brave;strong;good;fast;neat;tough;bold;smart;clear;true
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,teacher,good;kind;smart;neat;clear;brave;calm;deep;true;patient
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,writer,smart;good;kind;neat;deep;clear;brave;calm;true;plain
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,book,old;good;clear;neat;deep;bright;small;real;warm;plain
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,bridge,big;long;strong;clear;neat;old;real;deep;good;wide
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,drums,loud;big;strong;fast;deep;clear;neat;old;rich;wild
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,earth,big;round;old;deep;real;good;clear;strong;rich;warm
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,flute,small;clear;soft;bright;neat;old;real;good;cool;fine
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,key,small;old;neat;clear;good;bright;round;strong;real;fine
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,knife,sharp;small;good;clear;neat;strong;bright;cold;real;hard
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,lock,small;strong;old;clear;neat;good;dark;real;firm;tight
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,moon,bright;full;round;clear;old;big;soft;real;calm;white
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,pen,small;neat;clear;good;blue;red;old;thin;simple;fine
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,sun,bright;hot;big;strong;clear;full;warm;real;good;high
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,sword,sharp;long;strong;clear;good;old;bright;hard;real;neat
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,cat,small;neat;soft;cute;quick;good;sly;calm;bright;warm
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,dog,big;strong;good;neat;fast;kind;soft;brave;loyal;smart
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,dolphin,smart;fast;kind;good;neat;clear;quick;soft;strong;bright
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,elephant,big;strong;old;kind;good;neat;slow;deep;real;tall
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,hamster,small;cute;soft;neat;quick;good;kind;real;bright;little
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,monkey,small;quick;smart;fun;kind;good;neat;brave;real;lively
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,mouse,small;quick;soft;neat;kind;good;shy;real;light;timid
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,peacock,colorful;bright;grand;neat;good;bold;fine;real;shiny;rich
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,rabbit,small;soft;cute;quick;neat;kind;good;real;light;calm
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,shark,big;strong;fast;deep;dark;raw;fierce;sharp;wild;real
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,snake,long;slim;fast;cold;wet;real;strong;quiet;neat;dark
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,whale,big;huge;deep;slow;strong;old;real;calm;quiet;blue
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Places,city,big;busy;clean;bright;old;neat;full;real;tall;good
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Places,desert,hot;dry;big;vast;empty;clear;raw;deep;real;old
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Places,forest,big;green;deep;wild;old;dark;fresh;cool;rich;quiet
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Places,island,small;big;green;calm;clear;neat;old;real;round;good
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Places,lake,big;deep;clear;calm;cold;real;fresh;neat;quiet;blue
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Places,mountain,high;big;steep;old;deep;strong;clear;real;tall;wild
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Places,ocean,big;deep;blue;wild;clear;strong;real;cold;fresh;long
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Places,plain,big;flat;clear;real;good;neat;old;deep;wide;open
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Places,plateau,high;flat;big;old;real;neat;clear;strong;wide;deep
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Places,river,long;deep;clear;fast;big;real;cool;neat;wild;fresh
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Places,valley,deep;green;wide;long;quiet;calm;real;old;neat;cool
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Places,village,small;neat;old;good;quiet;calm;real;kind;clear;warm
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Plants,cactus,green;small;sharp;good;old;neat;real;dry;thick;wild
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Plants,eggplant,purple;fresh;soft;good;neat;small;deep;rich;clean;bright
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Plants,flower,small;bright;pretty;fresh;neat;good;soft;clear;real;nice
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Plants,grass,green;soft;small;neat;fresh;good;deep;pure;clear;light
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Plants,lettuce,green;fresh;small;neat;good;clean;soft;clear;real;crisp
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Plants,mushroom,small;brown;neat;good;dark;clear;fresh;soft;deep;real
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Plants,onion,small;white;good;fresh;strong;neat;clear;raw;deep;sharp
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Plants,pepper,red;hot;small;good;neat;fresh;strong;clear;raw;deep
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Plants,potato,brown;small;good;fresh;round;neat;soft;firm;clear;raw
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Plants,rose,red;bright;fresh;pretty;soft;small;good;neat;pure;sweet
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Plants,tomato,red;fresh;small;good;ripe;neat;soft;bright;round;sweet
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Plants,tree,big;tall;green;old;strong;deep;clear;good;neat;wide
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Social Relationships,ally,good;true;kind;brave;strong;real;neat;loyal;clear;firm
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Social Relationships,brother,good;kind;strong;real;neat;true;brave;calm;close;warm
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Social Relationships,enemy,bad;strong;cruel;fierce;dark;raw;mean;cold;sharp;wild
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Social Relationships,father,old;good;strong;kind;wise;real;brave;neat;true;calm
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Social Relationships,follower,loyal;good;kind;true;strong;neat;real;brave;quick;calm
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Social Relationships,friend,good;kind;true;real;close;neat;brave;smart;warm;nice
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Social Relationships,leader,strong;brave;good;smart;kind;true;neat;real;clear;bold
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Social Relationships,mother,old;good;kind;strong;warm;real;brave;neat;true;calm
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Social Relationships,partner,good;true;kind;strong;real;neat;close;brave;smart;clear
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Social Relationships,rival,strong;bad;sharp;fierce;mean;dark;raw;wild;quick;real
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Social Relationships,sister,good;kind;true;real;close;neat;brave;warm;smart;calm
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Social Relationships,stranger,unknown;new;odd;real;clear;good;kind;small;quick;pure
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Spatial Concepts,above,high;upper;clear;bright;good;neat;deep;real;strong;pure
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Spatial Concepts,back,strong;high;clear;good;deep;real;broad;neat;old;plain
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Spatial Concepts,below,deep;low;small;good;neat;clear;real;dark;cold;plain
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Spatial Concepts,east,bright;clear;good;neat;warm;high;real;old;strong;vast
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Spatial Concepts,front,clear;bright;strong;neat;good;real;high;deep;bold;plain
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Spatial Concepts,inside,deep;clear;neat;small;good;warm;real;quiet;dark;calm
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Spatial Concepts,left,small;good;clear;neat;real;bold;deep;strong;quiet;plain
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Spatial Concepts,north,cold;clear;bright;good;strong;neat;deep;real;high;wild
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Spatial Concepts,outside,big;open;clear;bright;good;real;neat;strong;wild;fresh
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Spatial Concepts,right,good;clear;neat;strong;real;bright;high;deep;just;brave
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Spatial Concepts,south,warm;bright;clear;good;strong;neat;deep;real;high;calm
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Spatial Concepts,west,old;clear;bright;good;strong;neat;deep;real;high;wide
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Time Concepts,century,long;old;clear;real;good;neat;big;deep;strong;true
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Time Concepts,day,bright;long;clear;good;warm;real;neat;strong;full;happy
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Time Concepts,evening,cool;calm;dark;clear;neat;good;soft;real;deep;quiet
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Time Concepts,hour,short;long;clear;good;neat;real;deep;quick;bright;small
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Time Concepts,minute,short;small;quick;neat;good;clear;real;deep;light;fast
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Time Concepts,month,long;old;clear;good;neat;real;deep;bright;warm;full
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Time Concepts,morning,bright;fresh;clear;good;warm;neat;real;early;soft;calm
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Time Concepts,night,dark;quiet;calm;deep;clear;long;soft;cool;real;still
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Time Concepts,season,long;good;clear;neat;real;deep;warm;cool;bright;old
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Time Concepts,second,short;quick;neat;good;clear;real;deep;bright;small;fast
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Time Concepts,week,long;good;clear;neat;real;deep;bright;full;old;happy
o3-mini,basic,1.0,UR # Urdu,B1,most frequent,Time Concepts,year,long;old;good;clear;neat;real;deep;bright;big;happy
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Abstract Concepts,anger,intense;strong;deep;sudden;fierce;burning;uncontrolled;raw;hot;explosive
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Abstract Concepts,courage,brave;bold;strong;fearless;noble;firm;determined;steady;daring;resolute
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Abstract Concepts,fear,intense;deep;strong;overwhelming;constant;sharp;sudden;raw;quiet;dark
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Abstract Concepts,freedom,true;free;open;clear;pure;vast;bright;strong;lasting;complete
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Abstract Concepts,happiness,true;bright;warm;deep;pure;clear;constant;gentle;full;joyful
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Abstract Concepts,hate,strong;deep;bitter;raw;intense;fierce;cruel;harsh;hot;wild
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Abstract Concepts,honesty,true;clear;real;plain;pure;stable;steady;sincere;open;candid
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Abstract Concepts,justice,true;fair;strong;steady;clear;deep;proper;open;firm;equal
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Abstract Concepts,knowledge,deep;vast;strong;true;clear;rich;broad;solid;pure;great
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Abstract Concepts,love,true;deep;pure;strong;warm;kind;real;bright;gentle;endless
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Abstract Concepts,peace,calm;quiet;deep;true;clear;gentle;soft;steady;warm;lasting
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Abstract Concepts,wisdom,deep;true;vast;clear;bright;real;pure;strong;steady;calm
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Cultural Artifacts,bell,small;round;clear;loud;old;metal;bright;simple;traditional;shiny
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Cultural Artifacts,candle,small;thin;bright;soft;warm;old;simple;burning;short;flickering
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Cultural Artifacts,carpet,soft;thick;warm;old;bright;clean;neat;colorful;woven;heavy
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Cultural Artifacts,coin,small;round;old;metal;bright;clean;real;cold;hard;shiny
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Cultural Artifacts,crown,golden;royal;bright;shining;small;old;heavy;noble;elegant;rich
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Cultural Artifacts,flag,red;blue;bold;bright;clear;strong;large;old;simple;striped
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Cultural Artifacts,mask,old;strange;painted;white;dark;simple;colorful;scary;strong;hidden
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Cultural Artifacts,necklace,precious;bright;golden;simple;elegant;old;beautiful;delicate;shiny;lovely
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Cultural Artifacts,painting,old;beautiful;bright;clear;simple;calm;bold;real;strong;soft
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Cultural Artifacts,ring,small;round;golden;bright;old;simple;precious;shiny;elegant;strong
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Cultural Artifacts,statue,old;grand;clear;simple;solid;bright;real;noble;classic;heavy
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Cultural Artifacts,vase,small;clear;bright;ancient;simple;elegant;fragile;old;blue;round
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Environmental Phenomena,cloud,white;soft;light;dark;high;large;thick;gentle;floating;gray
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Environmental Phenomena,earthquake,strong;big;powerful;deep;sudden;violent;heavy;shocking;real;destructive
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Environmental Phenomena,fog,thick;heavy;soft;cold;white;dark;low;deep;eerie;silent
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Environmental Phenomena,lightning,bright;quick;strong;clear;sharp;sudden;fast;wild;hot;dazzling
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Environmental Phenomena,rain,heavy;light;soft;cold;warm;strong;clear;real;falling;steady
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Environmental Phenomena,rainbow,bright;colorful;clear;beautiful;soft;pure;vivid;curved;rare;light
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Environmental Phenomena,snow,white;soft;cold;light;heavy;pure;deep;clear;fresh;silent
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Environmental Phenomena,storm,strong;dark;wild;fierce;heavy;cold;fast;loud;violent;sudden
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Environmental Phenomena,thunder,loud;deep;strong;rolling;booming;sudden;fierce;heavy;dark;clear
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Environmental Phenomena,tide,high;low;strong;changing;clear;steady;smooth;deep;big;calm
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Environmental Phenomena,volcano,hot;active;strong;deep;old;dark;dangerous;big;powerful;rough
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Environmental Phenomena,wind,strong;cold;soft;fast;wild;clear;deep;steady;heavy;gentle
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Food Items,apple,red;green;sweet;small;fresh;juicy;ripe;crisp;round;clean
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Food Items,banana,yellow;ripe;sweet;soft;long;fresh;curved;clean;good;firm
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Food Items,beef,fresh;raw;red;strong;good;thick;tough;lean;soft;rich
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Food Items,bread,fresh;warm;soft;brown;good;thick;tasty;old;light;plain
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Food Items,broccoli,fresh;green;healthy;good;bright;raw;firm;crunchy;tasty;natural
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Food Items,cheese,fresh;soft;hard;rich;good;sweet;salty;strong;aged;yellow
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Food Items,chicken,fresh;cooked;raw;tasty;lean;good;juicy;warm;light;tender
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Food Items,egg,fresh;raw;small;white;brown;soft;good;clear;round;fragile
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Food Items,fish,fresh;raw;small;tasty;good;firm;light;clean;slippery;wild
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Food Items,pasta,cooked;soft;warm;fresh;plain;tasty;light;good;thick;simple
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Food Items,rice,cooked;white;plain;soft;fresh;hot;good;small;light;simple
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Food Items,soup,warm;hot;soft;clear;thick;fresh;good;tasty;rich;light
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Human Roles,artist,creative;smart;talented;kind;bold;real;deep;true;gentle;brave
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Human Roles,athlete,strong;fast;brave;real;smart;bold;healthy;active;tough;firm
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Human Roles,chef,skilled;smart;creative;kind;bold;real;friendly;good;neat;careful
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Human Roles,doctor,kind;smart;caring;gentle;brave;strong;real;friendly;true;polite
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Human Roles,engineer,smart;skilled;strong;bold;real;good;neat;careful;bright;creative
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Human Roles,farmer,hardworking;kind;strong;real;good;tough;simple;patient;friendly;honest
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Human Roles,lawyer,smart;strong;bold;real;true;kind;careful;honest;firm;good
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Human Roles,musician,creative;talented;kind;smart;brave;real;gentle;soft;bold;true
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Human Roles,scientist,smart;curious;brave;real;true;kind;good;careful;neat;strong
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Human Roles,soldier,brave;strong;bold;firm;dedicated;real;tough;loyal;ready;steady
o3-mini,basic,1.0,UR # Urdu,B2,most frequent,Human Roles,teacher,kind;smart;good;gentle;friendly;real;patient;strong;true;careful
