Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Abstract Concepts,anger,bad;big;hot;long;other;sad;same;small;strong;true
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,wind,big;strong;cold;new;old;good;bad;long;hard;real
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Food Items,apple,red;green;big;small;new;good;sweet;long;same;hard
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Food Items,banana,yellow;big;small;new;good;sweet;long;same;nice;hard
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Food Items,beef,good;red;new;old;big;same;nice;hard;little;much
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Food Items,bread,good;white;brown;new;old;big;hard;soft;same;fresh
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Food Items,broccoli,green;new;good;big;small;same;nice;hard;long;fresh
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Food Items,cheese,good;white;yellow;new;old;big;hard;soft;same;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Food Items,chicken,good;new;old;big;white;small;same;nice;hard;fresh
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Food Items,egg,big;white;new;old;good;small;same;nice;hard;fresh
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Food Items,fish,big;new;good;small;old;fresh;same;nice;hard;long
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Food Items,pasta,good;new;big;small;long;same;nice;hard;soft;yellow
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Food Items,rice,good;white;new;big;small;long;same;nice;hard;fresh
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Food Items,soup,good;hot;new;big;small;same;nice;hard;long;much
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Human Roles,artist,good;new;young;old;famous;big;same;right;real;great
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Human Roles,athlete,good;strong;young;old;big;new;same;right;fast;famous
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Human Roles,chef,good;new;big;same;right;famous;young;old;real;best
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Human Roles,doctor,good;new;young;old;big;same;right;important;real;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Human Roles,engineer,good;new;young;old;big;same;right;important;real;hard
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Human Roles,farmer,good;new;old;big;same;right;hard;real;little;poor
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Human Roles,lawyer,good;new;young;old;big;same;right;important;real;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Human Roles,musician,good;new;young;old;big;same;right;famous;real;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Human Roles,scientist,good;new;young;old;big;same;right;important;real;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Human Roles,soldier,good;new;young;old;big;same;right;strong;real;hard
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Human Roles,teacher,good;new;young;old;big;same;right;important;real;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Human Roles,writer,good;new;young;old;big;same;right;famous;real;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Inanimate Objects,book,good;new;old;big;small;long;hard;same;right;interesting
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Inanimate Objects,bridge,big;long;new;old;good;same;right;hard;strong;small
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Inanimate Objects,drums,big;new;old;good;loud;small;hard;same;right;black
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Inanimate Objects,earth,big;round;new;old;good;same;right;hard;real;small
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Inanimate Objects,flute,new;old;good;long;small;silver;same;right;nice;black
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Inanimate Objects,key,new;old;good;big;small;gold;silver;same;right;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Inanimate Objects,knife,new;old;good;big;small;sharp;same;right;nice;hard
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Inanimate Objects,lock,new;old;good;big;small;hard;same;right;nice;silver
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Inanimate Objects,moon,big;white;new;old;good;small;same;right;nice;full
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Inanimate Objects,pen,new;old;good;big;small;black;blue;same;right;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Inanimate Objects,sun,big;hot;new;old;good;bright;same;right;nice;strong
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Inanimate Objects,sword,new;old;good;big;small;sharp;same;right;nice;hard
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Neutral Animals,cat,big;small;new;old;good;black;white;same;right;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Neutral Animals,dog,big;small;new;old;good;black;white;same;right;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Neutral Animals,dolphin,big;new;old;good;small;grey;same;right;nice;black
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Neutral Animals,elephant,big;new;old;good;grey;same;right;nice;hard;strong
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Neutral Animals,hamster,small;new;old;good;brown;white;same;right;nice;little
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Neutral Animals,monkey,big;small;new;old;good;brown;same;right;nice;little
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Neutral Animals,mouse,small;new;old;good;grey;same;right;nice;little;white
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Neutral Animals,peacock,big;new;old;good;nice;same;right;colorful;little;long
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Neutral Animals,rabbit,big;small;new;old;good;white;brown;same;right;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Neutral Animals,shark,big;new;old;good;grey;strong;same;right;nice;hard
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Neutral Animals,snake,big;small;new;old;good;long;same;right;nice;green
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Neutral Animals,whale,big;new;old;good;grey;same;right;nice;hard;strong
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Places,city,big;new;old;good;same;right;nice;important;small;long
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Places,desert,big;hot;dry;new;old;good;same;right;nice;hard
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Places,forest,big;green;new;old;good;same;right;nice;hard;long
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Places,island,big;small;new;old;good;same;right;nice;green;long
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Places,lake,big;new;old;good;blue;same;right;nice;long;small
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Places,mountain,big;new;old;good;high;same;right;nice;hard;long
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Places,ocean,big;new;old;good;blue;same;right;nice;deep;long
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Places,plain,big;new;old;good;green;same;right;nice;long;small
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Places,plateau,big;new;old;good;high;same;right;nice;long;small
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Places,river,big;new;old;good;long;same;right;nice;deep;small
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Places,valley,big;new;old;good;green;same;right;nice;long;small
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Places,village,small;new;old;good;same;right;nice;quiet;little;poor
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Plants,cactus,big;small;new;old;good;green;hard;same;right;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Plants,eggplant,big;new;good;purple;same;right;nice;long;small;hard
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Plants,flower,big;new;old;good;nice;same;right;colorful;little;small
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Plants,grass,green;new;old;good;nice;same;right;long;small;hard
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Plants,lettuce,green;new;good;fresh;same;right;nice;big;small;long
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Plants,mushroom,big;small;new;old;good;same;right;nice;white;brown
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Plants,onion,big;small;new;old;good;white;same;right;nice;yellow
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Plants,pepper,red;green;new;old;good;big;small;same;right;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Plants,potato,big;new;old;good;brown;same;right;nice;hard;small
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Plants,rose,red;new;old;good;nice;same;right;big;small;long
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Plants,tomato,red;new;old;good;big;same;right;nice;long;small
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Plants,tree,big;green;new;old;good;long;same;right;hard;small
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Social Relationships,ally,good;new;old;big;same;right;important;real;strong;best
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Social Relationships,brother,good;new;young;old;big;same;right;real;little;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Social Relationships,enemy,bad;new;old;big;same;right;hard;real;strong;little
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Social Relationships,father,good;new;old;big;same;right;real;little;strong;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Social Relationships,follower,new;old;good;big;same;right;real;little;many;important
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Social Relationships,friend,good;new;old;big;same;right;real;little;long;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Social Relationships,leader,good;new;old;big;same;right;important;real;strong;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Social Relationships,mother,good;new;old;big;same;right;real;little;strong;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Social Relationships,partner,good;new;old;big;same;right;real;little;long;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Social Relationships,rival,big;new;old;same;right;hard;real;strong;little;long
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Social Relationships,sister,good;new;young;old;big;same;right;real;little;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Social Relationships,stranger,new;old;big;same;right;real;little;dangerous;nice;young
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Spatial Concepts,above,high;new;good;same;right;little;big;much;long;real
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Spatial Concepts,back,new;old;good;same;right;left;big;little;long;hard
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Spatial Concepts,below,low;new;good;same;right;little;big;much;long;real
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Spatial Concepts,east,new;old;good;same;right;far;big;little;long;real
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Spatial Concepts,front,new;old;good;same;right;big;little;long;hard;much
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Spatial Concepts,inside,new;old;good;same;right;little;big;much;long;hard
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Spatial Concepts,left,new;old;good;same;right;little;big;long;hard;much
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Spatial Concepts,north,new;old;good;same;right;far;big;little;long;cold
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Spatial Concepts,outside,new;old;good;same;right;little;big;much;long;hard
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Spatial Concepts,right,new;old;good;same;little;big;long;hard;much;real
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Spatial Concepts,south,new;old;good;same;right;far;big;little;long;hot
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Spatial Concepts,west,new;old;good;same;right;far;big;little;long;real
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Time Concepts,century,new;old;good;big;long;same;right;little;much;important
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Time Concepts,day,good;new;old;big;long;same;right;little;bad;hard
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Time Concepts,evening,good;new;old;big;long;same;right;little;nice;quiet
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Time Concepts,hour,new;old;good;big;long;same;right;little;much;short
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Time Concepts,minute,new;old;good;big;long;same;right;little;much;short
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Time Concepts,month,new;old;good;big;long;same;right;little;much;short
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Time Concepts,morning,good;new;old;big;long;same;right;little;nice;early
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Time Concepts,night,good;new;old;big;long;same;right;little;dark;quiet
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Time Concepts,season,new;old;good;big;long;same;right;little;much;cold
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Time Concepts,second,new;old;good;big;long;same;right;little;much;short
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Time Concepts,week,new;old;good;big;long;same;right;little;much;short
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Time Concepts,year,new;old;good;big;long;same;right;little;much;short
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Abstract Concepts,anger,big;strong;bad;hot;real;sudden;cold;slow;dark;long
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Abstract Concepts,courage,great;strong;real;true;good;big;much;enough;little;new
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Abstract Concepts,fear,big;great;strong;much;real;little;dark;deep;true;new
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Abstract Concepts,freedom,real;true;big;great;much;little;new;good;important;own
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Abstract Concepts,happiness,great;big;real;true;much;little;good;long;new;simple
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Abstract Concepts,hate,big;strong;much;real;bad;little;great;true;deep;new
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Abstract Concepts,honesty,real;true;great;good;much;little;new;simple;deep;full
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Abstract Concepts,justice,real;true;great;good;important;fair;much;little;new;social
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Abstract Concepts,knowledge,great;much;big;new;good;important;real;little;deep;useful
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Abstract Concepts,love,big;great;strong;true;real;much;little;new;first;only
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Abstract Concepts,peace,real;true;great;good;long;much;little;new;big;important
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Abstract Concepts,wisdom,great;true;much;real;good;new;little;old;deep;practical
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Cultural Artifacts,bell,big;small;loud;old;church;new;school;metal;golden;silver
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Cultural Artifacts,candle,small;big;white;new;old;wax;long;short;red;yellow
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Cultural Artifacts,carpet,big;small;new;old;red;blue;green;wool;soft;thick
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Cultural Artifacts,coin,small;big;new;old;gold;silver;metal;round;shiny;rare
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Cultural Artifacts,crown,gold;silver;big;small;new;old;royal;important;beautiful;shiny
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Cultural Artifacts,flag,big;small;new;old;red;white;blue;national;country;important
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Cultural Artifacts,mask,big;small;new;old;white;black;colorful;scary;funny;paper
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Cultural Artifacts,necklace,long;short;gold;silver;new;old;beautiful;pretty;simple;expensive
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Cultural Artifacts,painting,big;small;new;old;beautiful;good;famous;colorful;oil;water
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Cultural Artifacts,ring,gold;silver;small;big;new;old;diamond;simple;wedding;pretty
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Cultural Artifacts,statue,big;small;new;old;stone;metal;famous;important;beautiful;tall
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Cultural Artifacts,vase,big;small;new;old;glass;ceramic;pretty;beautiful;flower;colorful
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Environmental Phenomena,cloud,big;small;white;dark;grey;black;high;low;rain;heavy
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Environmental Phenomena,earthquake,big;strong;bad;real;small;new;old;deep;local;national
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Environmental Phenomena,fog,thick;heavy;white;dense;thin;light;new;old;sea;morning
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Environmental Phenomena,lightning,bright;strong;quick;fast;new;old;dangerous;sudden;bad;real
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Environmental Phenomena,rain,heavy;light;hard;soft;new;old;cold;warm;strong;long
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Environmental Phenomena,rainbow,colorful;beautiful;big;bright;new;old;double;small;real;pretty
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Environmental Phenomena,snow,heavy;light;white;soft;new;old;cold;much;little;fresh
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Environmental Phenomena,storm,big;strong;bad;new;old;long;short;heavy;real;wind
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Environmental Phenomena,thunder,loud;strong;big;deep;new;old;far;close;bad;real
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Environmental Phenomena,tide,high;low;big;small;new;old;strong;weak;sea;full
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Environmental Phenomena,volcano,big;tall;active;new;old;dangerous;hot;small;dormant;important
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Environmental Phenomena,wind,strong;weak;cold;warm;hot;new;old;big;small;east
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Food Items,apple,red;green;big;small;new;old;sweet;sour;good;bad
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Food Items,banana,yellow;big;small;new;old;sweet;good;bad;ripe;green
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Food Items,beef,good;bad;new;old;fresh;frozen;cooked;raw;cheap;expensive
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Food Items,bread,white;brown;new;old;fresh;good;bad;soft;hard;big
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Food Items,broccoli,green;new;old;fresh;good;bad;big;small;cooked;raw
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Food Items,cheese,yellow;white;new;old;good;bad;hard;soft;big;small
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Food Items,chicken,new;old;fresh;good;bad;big;small;cooked;raw;fried
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Food Items,egg,big;small;new;old;fresh;good;bad;white;brown;cooked
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Food Items,fish,new;old;fresh;good;bad;big;small;cooked;raw;salt
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Food Items,pasta,new;old;good;bad;long;short;big;small;cooked;dry
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Food Items,rice,white;brown;new;old;good;bad;long;short;big;small
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Food Items,soup,hot;cold;good;bad;new;old;big;small;chicken;vegetable
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Human Roles,artist,good;bad;new;old;famous;young;great;talented;local;international
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Human Roles,athlete,good;bad;new;old;young;strong;fast;professional;amateur;great
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Human Roles,chef,good;bad;new;old;famous;young;great;head;important;professional
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Human Roles,doctor,good;bad;new;old;young;important;great;kind;experienced;local
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Human Roles,engineer,good;bad;new;old;young;great;civil;mechanical;electrical;important
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B2,most frequent,Human Roles,farmer,good;bad;new;old;young;small;big;local;family;important
