Model,SystemPromptType,Temperature,Language,Proficiency,Experiment,ImageFile,TrueEmotionLabel,PredictedEmotion
grok-3,think-in-native,0.0,FR # French,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,FR # French,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,FR # French,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,FR # French,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,FR # French,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,FR # French,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,FR # French,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,FR # French,Perfect,sound_waves,h.png,surprised,
grok-3,think-in-native,0.0,GA # Irish,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,GA # Irish,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,GA # Irish,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,GA # Irish,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,GA # Irish,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,GA # Irish,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,GA # Irish,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,GA # Irish,Perfect,sound_waves,h.png,surprised,
grok-3,think-in-native,0.0,HE # Hebrew,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,HE # Hebrew,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,HE # Hebrew,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,HE # Hebrew,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,HE # Hebrew,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,HE # Hebrew,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,HE # Hebrew,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,HE # Hebrew,Perfect,sound_waves,h.png,surprised,
grok-3,think-in-native,0.0,HI # Hindi,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,HI # Hindi,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,HI # Hindi,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,HI # Hindi,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,HI # Hindi,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,HI # Hindi,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,HI # Hindi,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,HI # Hindi,Perfect,sound_waves,h.png,surprised,
grok-3,think-in-native,0.0,IT # Italian,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,IT # Italian,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,IT # Italian,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,IT # Italian,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,IT # Italian,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,IT # Italian,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,IT # Italian,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,IT # Italian,Perfect,sound_waves,h.png,surprised,
grok-3,think-in-native,0.0,JA # Japanese,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,JA # Japanese,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,JA # Japanese,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,JA # Japanese,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,JA # Japanese,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,JA # Japanese,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,JA # Japanese,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,JA # Japanese,Perfect,sound_waves,h.png,surprised,
grok-3,think-in-native,0.0,KO # Korean,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,KO # Korean,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,KO # Korean,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,KO # Korean,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,KO # Korean,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,KO # Korean,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,KO # Korean,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,KO # Korean,Perfect,sound_waves,h.png,surprised,
grok-3,think-in-native,0.0,LV # Latvian,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,LV # Latvian,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,LV # Latvian,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,LV # Latvian,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,LV # Latvian,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,LV # Latvian,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,LV # Latvian,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,LV # Latvian,Perfect,sound_waves,h.png,surprised,
grok-3,think-in-native,0.0,PL # Polish,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,PL # Polish,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,PL # Polish,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,PL # Polish,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,PL # Polish,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,PL # Polish,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,PL # Polish,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,PL # Polish,Perfect,sound_waves,h.png,surprised,
grok-3,think-in-native,0.0,PS # Pashto,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,PS # Pashto,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,PS # Pashto,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,PS # Pashto,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,PS # Pashto,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,PS # Pashto,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,PS # Pashto,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,PS # Pashto,Perfect,sound_waves,h.png,surprised,
grok-3,think-in-native,0.0,PT # Portuguese,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,PT # Portuguese,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,PT # Portuguese,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,PT # Portuguese,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,PT # Portuguese,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,PT # Portuguese,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,PT # Portuguese,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,PT # Portuguese,Perfect,sound_waves,h.png,surprised,
grok-3,think-in-native,0.0,RU # Russian,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,RU # Russian,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,RU # Russian,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,RU # Russian,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,RU # Russian,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,RU # Russian,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,RU # Russian,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,RU # Russian,Perfect,sound_waves,h.png,surprised,
grok-3,think-in-native,0.0,SQ # Albanian,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,SQ # Albanian,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,SQ # Albanian,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,SQ # Albanian,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,SQ # Albanian,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,SQ # Albanian,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,SQ # Albanian,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,SQ # Albanian,Perfect,sound_waves,h.png,surprised,
grok-3,think-in-native,0.0,SW # Swahili,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,SW # Swahili,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,SW # Swahili,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,SW # Swahili,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,SW # Swahili,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,SW # Swahili,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,SW # Swahili,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,SW # Swahili,Perfect,sound_waves,h.png,surprised,
grok-3,think-in-native,0.0,TH # Thai,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,TH # Thai,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,TH # Thai,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,TH # Thai,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,TH # Thai,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,TH # Thai,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,TH # Thai,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,TH # Thai,Perfect,sound_waves,h.png,surprised,
grok-3,think-in-native,0.0,TR # Turkish,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,TR # Turkish,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,TR # Turkish,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,TR # Turkish,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,TR # Turkish,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,TR # Turkish,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,TR # Turkish,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,TR # Turkish,Perfect,sound_waves,h.png,surprised,
grok-3,think-in-native,0.0,UR # Urdu,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,UR # Urdu,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,UR # Urdu,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,UR # Urdu,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,UR # Urdu,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,UR # Urdu,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,UR # Urdu,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,UR # Urdu,Perfect,sound_waves,h.png,surprised,
grok-3,think-in-native,0.0,VI # Vietnamese,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,VI # Vietnamese,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,VI # Vietnamese,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,VI # Vietnamese,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,VI # Vietnamese,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,VI # Vietnamese,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,VI # Vietnamese,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,VI # Vietnamese,Perfect,sound_waves,h.png,surprised,
grok-3,think-in-native,0.0,ZH # Mandarin,Perfect,sound_waves,a.png,neutral,
grok-3,think-in-native,0.0,ZH # Mandarin,Perfect,sound_waves,b.png,calm,
grok-3,think-in-native,0.0,ZH # Mandarin,Perfect,sound_waves,c.png,happy,
grok-3,think-in-native,0.0,ZH # Mandarin,Perfect,sound_waves,d.png,sad,
grok-3,think-in-native,0.0,ZH # Mandarin,Perfect,sound_waves,e.png,angry,
grok-3,think-in-native,0.0,ZH # Mandarin,Perfect,sound_waves,f.png,fearful,
grok-3,think-in-native,0.0,ZH # Mandarin,Perfect,sound_waves,g.png,disgust,
grok-3,think-in-native,0.0,ZH # Mandarin,Perfect,sound_waves,h.png,surprised,
