Language,Response,Count,Percentage
DE # German,Your Answer: yellow,5,4.17
DE # German,red,4,3.33
DE # German,Your Answer: white,4,3.33
DE # German,Your Answer: happy,4,3.33
DE # German,yellow,3,2.5
DE # German,violet,3,2.5
DE # German,Your Answer: green,3,2.5
DE # German,green,2,1.67
DE # German,indigo,2,1.67
DE # German,Yellow,2,1.67
DE # German,"[#008000,#00FF00]",2,1.67
DE # German,White,2,1.67
DE # German,Your Answer: Yellow,2,1.67
DE # German,orange,2,1.67
DE # German,happy,2,1.67
DE # German,angry,2,1.67
DE # German,white,2,1.67
DE # German,Your Answer: White,1,0.83
DE # German,"[#0000FF, #00B7EB]",1,0.83
DE # German,"[FFFFFF,FEFEFE]",1,0.83
DE # German,"[""#4B0082"", ""#800080""]",1,0.83
DE # German,"[#FF0000, #FF4040]",1,0.83
DE # German,Blue,1,0.83
DE # German,Your Answer: orange,1,0.83
DE # German,"[#FF4500, #FFA500]",1,0.83
DE # German,"[#FFFF00, #FFD700]",1,0.83
DE # German,Green,1,0.83
DE # German,sad,1,0.83
DE # German,"[#4B0082,#800080]",1,0.83
DE # German,"[#800000,#FF0000]",1,0.83
DE # German,"[#FFFFFF,#FFFFFF]",1,0.83
DE # German,"[ #9400D3, #EE82EE ]",1,0.83
DE # German,"[#FF4500,#FFD700]",1,0.83
DE # German,"[#FFD700, #FFFF00]",1,0.83
DE # German,"Your Answer: [#008000, #00FF00]",1,0.83
DE # German,"[ #0000FF, #ADD8E6 ]",1,0.83
DE # German,Your Answer: indigo,1,0.83
DE # German,"[#4B0082,#6959CD]",1,0.83
DE # German,"[#F0F0F0,#FFFFFF]",1,0.83
DE # German,"[800080, EE82EE]",1,0.83
DE # German,Your Answer: angry,1,0.83
DE # German,"[ #FF0000, #800000 ]",1,0.83
DE # German,"[FFA500, FF7F00]",1,0.83
DE # German,"[#FFFF00,#FFFF7F]",1,0.83
DE # German,"[#000080,#ADD8E6]",1,0.83
DE # German,"[4B0082, 6A0DAD]",1,0.83
DE # German,Your Answer: Red,1,0.83
ES # Spanish,Your Answer: blue,10,8.33
ES # Spanish,calm,9,7.5
ES # Spanish,Your Answer: calm,6,5.0
ES # Spanish,Your Answer: white,6,5.0
ES # Spanish,Your Answer: yellow,5,4.17
ES # Spanish,Your Answer: red,5,4.17
ES # Spanish,blue,4,3.33
ES # Spanish,Your Answer: Blue,4,3.33
ES # Spanish,Blue,4,3.33
ES # Spanish,yellow,3,2.5
ES # Spanish,violet,3,2.5
ES # Spanish,White,3,2.5
ES # Spanish,Your Answer: happy,3,2.5
ES # Spanish,green,2,1.67
ES # Spanish,indigo,2,1.67
ES # Spanish,"[#008000,#00FF00]",2,1.67
ES # Spanish,Red,2,1.67
ES # Spanish,Your Answer: Yellow,2,1.67
ES # Spanish,Your Answer: White,2,1.67
ES # Spanish,happy,2,1.67
ES # Spanish,Your Answer: angry,2,1.67
ES # Spanish,white,2,1.67
ES # Spanish,Your Answer: green,2,1.67
ES # Spanish,"[""#4B0082"", ""#800080""]",1,0.83
ES # Spanish,"[#4B0082,#800080]",1,0.83
ES # Spanish,"[#FF0000, #FF4040]",1,0.83
ES # Spanish,Happy,1,0.83
ES # Spanish,Yellow,1,0.83
ES # Spanish,orange,1,0.83
ES # Spanish,Amarillo,1,0.83
ES # Spanish,Green,1,0.83
ES # Spanish,"[#FF4500,#FFA500]",1,0.83
ES # Spanish,Azul,1,0.83
ES # Spanish,"[#FFFF00, #FFFFE0]",1,0.83
ES # Spanish,"[#0000FF,#00B7EB]",1,0.83
ES # Spanish,"[#F0F0F0,#FFFFFF]",1,0.83
ES # Spanish,"[#FFFF00, #FFFF7F]",1,0.83
ES # Spanish,angry,1,0.83
ES # Spanish,"[""#F0F0F0"",""#FFFFFF""]",1,0.83
ES # Spanish,Your Answer: orange,1,0.83
ES # Spanish,"[#FF4500, #FFD700]",1,0.83
ES # Spanish,"Your Answer: [#FFD700,#FFFF00]",1,0.83
ES # Spanish,"[008000,00FF00]",1,0.83
ES # Spanish,"[#00008B,#ADD8E6]",1,0.83
ES # Spanish,Your Answer: indigo,1,0.83
ES # Spanish,"[#4B0082,#663399]",1,0.83
ES # Spanish,"[#4B0082,#EE82EE]",1,0.83
ES # Spanish,Your Answer: Green,1,0.83
ES # Spanish,"[#FFFFFF,#FFFFFF]",1,0.83
ES # Spanish,red,1,0.83
ES # Spanish,"[#800000,#FF0000]",1,0.83
ES # Spanish,Orange,1,0.83
ES # Spanish,"[FFA500, FF7F00]",1,0.83
ES # Spanish,"[ #FF0000, #8B0000 ]",1,0.83
ES # Spanish,"[#000080,#ADD8E6]",1,0.83
ES # Spanish,"[4B0082, 6A0DAD]",1,0.83
ES # Spanish,"[#800080,#EE82EE]",1,0.83
ES # Spanish,Your Answer: Red,1,0.83
FA # Persian,Your Answer: blue,11,9.17
FA # Persian,Your Answer: calm,8,6.67
FA # Persian,calm,7,5.83
FA # Persian,Blue,6,5.0
FA # Persian,Your Answer: yellow,6,5.0
FA # Persian,Your Answer: red,5,4.17
FA # Persian,happy,4,3.33
FA # Persian,Your Answer: white,4,3.33
FA # Persian,red,4,3.33
FA # Persian,Your Answer: green,4,3.33
FA # Persian,Your Answer: Blue,4,3.33
FA # Persian,white,3,2.5
FA # Persian,Your Answer: White,3,2.5
FA # Persian,blue,2,1.67
FA # Persian,"[#008000,#00FF00]",2,1.67
FA # Persian,"[#4B0082,#800080]",2,1.67
FA # Persian,Red,2,1.67
FA # Persian,angry,2,1.67
FA # Persian,violet,2,1.67
FA # Persian,Your Answer: happy,2,1.67
FA # Persian,yellow,2,1.67
FA # Persian,indigo,2,1.67
FA # Persian,Your Answer: orange,2,1.67
FA # Persian,Yellow,2,1.67
FA # Persian,"[#F0F0F0,#FFFFFF]",2,1.67
FA # Persian,Green,1,0.83
FA # Persian,White,1,0.83
FA # Persian,"[#FF0000, #FF4040]",1,0.83
FA # Persian,"[#FF4500, #FFA500]",1,0.83
FA # Persian,"[#FFFF00, #FFFFE0]",1,0.83
FA # Persian,"[#0000FF, #00B7EB]",1,0.83
FA # Persian,Your Answer: Red,1,0.83
FA # Persian,"[#8000FF, #EE82EE]",1,0.83
FA # Persian,"[#FFFF00,#FFFF66]",1,0.83
FA # Persian,"[4B0082, 6A0DAD]",1,0.83
FA # Persian,"[#000080,#ADD8E6]",1,0.83
FA # Persian,"[#FF4500,#FFA500]",1,0.83
FA # Persian,"[ #FFD700, #FFFF00 ]",1,0.83
FA # Persian,"Your Answer: [#008000,#00FF00]",1,0.83
FA # Persian,"[000080,ADD8E6]",1,0.83
FA # Persian,Your Answer: indigo,1,0.83
FA # Persian,"Your Answer: [#4B0082, #8A2BE2]",1,0.83
FA # Persian,Your Answer: violet,1,0.83
FA # Persian,"[7F00FF,EE82EE]",1,0.83
FA # Persian,"[#F0F0F0, #FFFFFF]",1,0.83
FA # Persian,Your Answer: angry,1,0.83
FA # Persian,"[#800000,#FF0000]",1,0.83
FA # Persian,Orange,1,0.83
FA # Persian,"[FFA500, FF7F00]",1,0.83
FA # Persian,"Your Answer: [ #FF0000, #FF8080 ]",1,0.83
FA # Persian,green,1,0.83
FA # Persian,Your Answer: Yellow,1,0.83
FR # French,Your Answer: blue,12,10.0
FR # French,Your Answer: calm,10,8.33
FR # French,Your Answer: yellow,6,5.0
FR # French,Your Answer: white,6,5.0
FR # French,Your Answer: red,5,4.17
FR # French,blue,5,4.17
FR # French,calm,5,4.17
FR # French,Your Answer: happy,4,3.33
FR # French,red,4,3.33
FR # French,Your Answer: green,4,3.33
FR # French,Your Answer: Blue,4,3.33
FR # French,Blue,3,2.5
FR # French,yellow,2,1.67
FR # French,white,2,1.67
FR # French,violet,2,1.67
FR # French,indigo,2,1.67
FR # French,White,2,1.67
FR # French,"[#008000,#00FF00]",2,1.67
FR # French,"[#4B0082,#800080]",2,1.67
FR # French,happy,2,1.67
FR # French,green,2,1.67
FR # French,Your Answer: orange,2,1.67
FR # French,Your Answer: Yellow,2,1.67
FR # French,Your Answer: angry,2,1.67
FR # French,"[FF0000,FF6347]",1,0.83
FR # French,"[""#00008B"", ""#87CEEB""]",1,0.83
FR # French,Your Answer: White,1,0.83
FR # French,"[FFFFFF, F5F5F5]",1,0.83
FR # French,"[ #FF7F00, #FFD700 ]",1,0.83
FR # French,"[#0000FF, #00B7EB]",1,0.83
FR # French,"[#FFFF00, #FFFFE0]",1,0.83
FR # French,"[#FF4500, #FFA500]",1,0.83
FR # French,"[#FF0000, #FF4040]",1,0.83
FR # French,Red,1,0.83
FR # French,"[#FFD700,#FFFF00]",1,0.83
FR # French,Yellow,1,0.83
FR # French,"[ #006400, #90EE90 ]",1,0.83
FR # French,angry,1,0.83
FR # French,Your Answer: indigo,1,0.83
FR # French,Orange,1,0.83
FR # French,"[#FFFFFF,#FFFFFF]",1,0.83
FR # French,"Your Answer: [#4B0082,#663399]",1,0.83
FR # French,"[#800080,#EE82EE]",1,0.83
FR # French,Your Answer: violet,1,0.83
FR # French,"[4B0082, 6A0DAD]",1,0.83
FR # French,"[#9400D3, #EE82EE]",1,0.83
FR # French,"[#000080,#ADD8E6]",1,0.83
FR # French,"[ #F0F0F0, #FFFFFF ]",1,0.83
FR # French,"[ #FF0000, #FF4500 ]",1,0.83
FR # French,"[#FFFF00,#FFFF66]",1,0.83
FR # French,"[FFA500,FF7F00]",1,0.83
FR # French,Your Answer: Red,1,0.83
GA # Irish,Your Answer: blue,11,9.17
GA # Irish,Your Answer: calm,8,6.67
GA # Irish,calm,6,5.0
GA # Irish,Your Answer: Blue,6,5.0
GA # Irish,Your Answer: green,6,5.0
GA # Irish,Your Answer: red,5,4.17
GA # Irish,Your Answer: yellow,5,4.17
GA # Irish,Blue,5,4.17
GA # Irish,white,3,2.5
GA # Irish,Your Answer: happy,3,2.5
GA # Irish,Your Answer: white,3,2.5
GA # Irish,happy,3,2.5
GA # Irish,"[#008000,#00FF00]",3,2.5
GA # Irish,Green,2,1.67
GA # Irish,White,2,1.67
GA # Irish,Red,2,1.67
GA # Irish,Your Answer: Yellow,2,1.67
GA # Irish,blue,2,1.67
GA # Irish,indigo,2,1.67
GA # Irish,Yellow,2,1.67
GA # Irish,red,2,1.67
GA # Irish,Your Answer: angry,2,1.67
GA # Irish,"[#F0F0F0,#FFFFFF]",2,1.67
GA # Irish,"[#4B0082,#800080]",2,1.67
GA # Irish,Your Answer: orange,2,1.67
GA # Irish,violet,2,1.67
GA # Irish,"[#FFFFFF,#F0F0F0]",1,0.83
GA # Irish,"[#FF0000,#FF4040]",1,0.83
GA # Irish,"[#FF4500, #FFA500]",1,0.83
GA # Irish,Gorm,1,0.83
GA # Irish,"[#FFFF00, #FFFFE0]",1,0.83
GA # Irish,"[#0000FF,#00B7EB]",1,0.83
GA # Irish,Your Answer: White,1,0.83
GA # Irish,sad,1,0.83
GA # Irish,angry,1,0.83
GA # Irish,"[FFA500, FF7F00]",1,0.83
GA # Irish,"[#800080,#EE82EE]",1,0.83
GA # Irish,"[ #9400D3, #EE82EE ]",1,0.83
GA # Irish,"[#FF8000, #FFD700]",1,0.83
GA # Irish,"[ #FFD700,#FFFF00 ]",1,0.83
GA # Irish,"[00008B,ADD8E6]",1,0.83
GA # Irish,Your Answer: indigo,1,0.83
GA # Irish,"[ #4B0082, #8700FF ]",1,0.83
GA # Irish,Your Answer: violet,1,0.83
GA # Irish,"[#FF0000,#A00000]",1,0.83
GA # Irish,"[4B0082, 6A0DAD]",1,0.83
GA # Irish,Orange,1,0.83
GA # Irish,"Your Answer: [#8B0000,#FF0000]",1,0.83
GA # Irish,yellow,1,0.83
GA # Irish,"[#FFFF00,#FFFF66]",1,0.83
GA # Irish,green,1,0.83
GA # Irish,"[#000080,#ADD8E6]",1,0.83
GA # Irish,Your Answer: Red,1,0.83
HE # Hebrew,Your Answer: calm,10,8.33
HE # Hebrew,Your Answer: blue,9,7.5
HE # Hebrew,Your Answer: Blue,7,5.83
HE # Hebrew,Your Answer: yellow,6,5.0
HE # Hebrew,Your Answer: white,6,5.0
HE # Hebrew,calm,5,4.17
HE # Hebrew,Blue,5,4.17
HE # Hebrew,Your Answer: red,5,4.17
HE # Hebrew,red,3,2.5
HE # Hebrew,happy,3,2.5
HE # Hebrew,blue,3,2.5
HE # Hebrew,Yellow,3,2.5
HE # Hebrew,White,3,2.5
HE # Hebrew,Your Answer: green,3,2.5
HE # Hebrew,Your Answer: happy,3,2.5
HE # Hebrew,angry,3,2.5
HE # Hebrew,green,3,2.5
HE # Hebrew,indigo,3,2.5
HE # Hebrew,violet,2,1.67
HE # Hebrew,yellow,2,1.67
HE # Hebrew,"[#4B0082,#800080]",2,1.67
HE # Hebrew,"[#FFFFFF,#FAFAFA]",1,0.83
HE # Hebrew,Your Answer: Red,1,0.83
HE # Hebrew,Your Answer: White,1,0.83
HE # Hebrew,"[F0F0F0,FFFFFF]",1,0.83
HE # Hebrew,white,1,0.83
HE # Hebrew,Green,1,0.83
HE # Hebrew,Your Answer: orange,1,0.83
HE # Hebrew,"[#0000FF, #00B7EB]",1,0.83
HE # Hebrew,"[#008000,#00FF00]",1,0.83
HE # Hebrew,"[#FFFF00, #FFD700]",1,0.83
HE # Hebrew,"[#FF4500,#FFA500]",1,0.83
HE # Hebrew,"[#FF0000,#FF4040]",1,0.83
HE # Hebrew,"[#FFA500, #FF8C00]",1,0.83
HE # Hebrew,"[#800080,#EE82EE]",1,0.83
HE # Hebrew,"[4B0082, 6A0DAD]",1,0.83
HE # Hebrew,orange,1,0.83
HE # Hebrew,"[#FF6600, #FFD700]",1,0.83
HE # Hebrew,"[#FFD700, #FFFF00]",1,0.83
HE # Hebrew,"[""#006400"", ""#90EE90""]",1,0.83
HE # Hebrew,"Your Answer: [#00008B, #ADD8E6]",1,0.83
HE # Hebrew,"[#4B0082,#8A2BE2]",1,0.83
HE # Hebrew,Your Answer: violet,1,0.83
HE # Hebrew,"[#4B0082,#EE82EE]",1,0.83
HE # Hebrew,"[#F0F0F0,#FFFFFF]",1,0.83
HE # Hebrew,"[#800000,#FF0000]",1,0.83
HE # Hebrew,Orange,1,0.83
HE # Hebrew,"[ #FF0000, #800000 ]",1,0.83
HE # Hebrew,"[#FFFF00,#FFFF66]",1,0.83
HE # Hebrew,"[#008000, #00FF00]",1,0.83
HE # Hebrew,"[#000080,#ADD8E6]",1,0.83
HE # Hebrew,Your Answer: Yellow,1,0.83
HI # Hindi,Your Answer: calm,9,7.5
HI # Hindi,Your Answer: Blue,8,6.67
HI # Hindi,Your Answer: red,7,5.83
HI # Hindi,Your Answer: blue,6,5.0
HI # Hindi,Blue,5,4.17
HI # Hindi,calm,5,4.17
HI # Hindi,Your Answer: white,4,3.33
HI # Hindi,Your Answer: happy,4,3.33
HI # Hindi,Your Answer: yellow,4,3.33
HI # Hindi,blue,4,3.33
HI # Hindi,Your Answer: Yellow,3,2.5
HI # Hindi,red,3,2.5
HI # Hindi,"[#008000,#00FF00]",3,2.5
HI # Hindi,Your Answer: green,3,2.5
HI # Hindi,Your Answer: Red,3,2.5
HI # Hindi,indigo,3,2.5
HI # Hindi,White,2,1.67
HI # Hindi,Yellow,2,1.67
HI # Hindi,"[#4B0082,#800080]",2,1.67
HI # Hindi,happy,2,1.67
HI # Hindi,green,2,1.67
HI # Hindi,yellow,2,1.67
HI # Hindi,angry,2,1.67
HI # Hindi,violet,2,1.67
HI # Hindi,Your Answer: White,2,1.67
HI # Hindi,"[FFA500, FF7F00]",1,0.83
HI # Hindi,"Your Answer: [#800000, #FF0000]",1,0.83
HI # Hindi,Your Answer: Green,1,0.83
HI # Hindi,orange,1,0.83
HI # Hindi,"[#FF4500,#FFD700]",1,0.83
HI # Hindi,Your Answer: angry,1,0.83
HI # Hindi,"[#F0F0F0,#FFFFFF]",1,0.83
HI # Hindi,Your Answer: violet,1,0.83
HI # Hindi,"Your Answer: [ #FFD700, #FFFF00 ]",1,0.83
HI # Hindi,"[#0000FF, #00B7EB]",1,0.83
HI # Hindi,"[#FFFF00, #FFD700]",1,0.83
HI # Hindi,"[#FF4500, #FFA500]",1,0.83
HI # Hindi,Your Answer: orange,1,0.83
HI # Hindi,"[#FF0000, #FF4040]",1,0.83
HI # Hindi,Red,1,0.83
HI # Hindi,"[#00008B, #ADD8E6]",1,0.83
HI # Hindi,"[#800000,#FF0000]",1,0.83
HI # Hindi,Orange,1,0.83
HI # Hindi,neutral,1,0.83
HI # Hindi,"Your Answer: [#9400D3,#EE82EE]",1,0.83
HI # Hindi,"[#FFFFFF, #FFFFFF]",1,0.83
HI # Hindi,white,1,0.83
HI # Hindi,"[#800080,#EE82EE]",1,0.83
HI # Hindi,"[4B0082, 6A0DAD]",1,0.83
HI # Hindi,"[#000080,#ADD8E6]",1,0.83
HI # Hindi,"[ #F0F0F0, #FFFFFF ]",1,0.83
HI # Hindi,"[#FFFF00,#FFFF66]",1,0.83
HI # Hindi,"[#4B0082,#483D8B]",1,0.83
IT # Italian,Your Answer: blue,10,8.33
IT # Italian,Your Answer: calm,9,7.5
IT # Italian,Your Answer: yellow,6,5.0
IT # Italian,calm,6,5.0
IT # Italian,Your Answer: red,6,5.0
IT # Italian,Your Answer: Blue,5,4.17
IT # Italian,Your Answer: white,5,4.17
IT # Italian,Blue,5,4.17
IT # Italian,blue,5,4.17
IT # Italian,Your Answer: green,4,3.33
IT # Italian,violet,4,3.33
IT # Italian,"[#008000,#00FF00]",3,2.5
IT # Italian,Your Answer: happy,3,2.5
IT # Italian,yellow,3,2.5
IT # Italian,happy,3,2.5
IT # Italian,Red,2,1.67
IT # Italian,Yellow,2,1.67
IT # Italian,Your Answer: angry,2,1.67
IT # Italian,white,2,1.67
IT # Italian,Your Answer: White,2,1.67
IT # Italian,indigo,2,1.67
IT # Italian,"[#4B0082,#800080]",2,1.67
IT # Italian,Your Answer: orange,2,1.67
IT # Italian,"[#FF4500, #FFA500]",1,0.83
IT # Italian,"[#FFFF00, #FFFFE0]",1,0.83
IT # Italian,"[#0000FF,#00B7EB]",1,0.83
IT # Italian,"[#FF0000,#FF4040]",1,0.83
IT # Italian,Black,1,0.83
IT # Italian,Green,1,0.83
IT # Italian,"[FFFFFF, F5F5F5]",1,0.83
IT # Italian,Your Answer: Red,1,0.83
IT # Italian,angry,1,0.83
IT # Italian,"[#FFFFFF,#FFFFFF]",1,0.83
IT # Italian,"[#800000,#FF0000]",1,0.83
IT # Italian,"[#800080,#EE82EE]",1,0.83
IT # Italian,"[4B0082, 6A0DAD]",1,0.83
IT # Italian,"[#000080,#ADD8E6]",1,0.83
IT # Italian,green,1,0.83
IT # Italian,"[#FFFF00,#FFFF66]",1,0.83
IT # Italian,"[FFA500, FF7F00]",1,0.83
IT # Italian,Orange,1,0.83
IT # Italian,"Your Answer: [""#FF0000"", ""#800000""]",1,0.83
IT # Italian,red,1,0.83
IT # Italian,"[#F0F0F0,#FFFFFF]",1,0.83
IT # Italian,"[ #4B0082, #EE82EE ]",1,0.83
IT # Italian,"[#4B0082,#8A2BE2]",1,0.83
IT # Italian,"[""#00008B"", ""#87CEEB""]",1,0.83
IT # Italian,"[#FFD700,#FFFF00]",1,0.83
IT # Italian,"[ #FF4500, #FFA500 ]",1,0.83
IT # Italian,Your Answer: Yellow,1,0.83
JA # Japanese,Your Answer: blue,10,8.33
JA # Japanese,Your Answer: calm,8,6.67
JA # Japanese,Your Answer: red,7,5.83
JA # Japanese,Your Answer: yellow,6,5.0
JA # Japanese,Your Answer: white,5,4.17
JA # Japanese,calm,5,4.17
JA # Japanese,white,4,3.33
JA # Japanese,Blue,4,3.33
JA # Japanese,Your Answer: Blue,4,3.33
JA # Japanese,Your Answer: green,4,3.33
JA # Japanese,blue,4,3.33
JA # Japanese,Your Answer: happy,3,2.5
JA # Japanese,"[#008000,#00FF00]",3,2.5
JA # Japanese,Your Answer: violet,2,1.67
JA # Japanese,Your Answer: orange,2,1.67
JA # Japanese,indigo,2,1.67
JA # Japanese,Green,2,1.67
JA # Japanese,White,2,1.67
JA # Japanese,yellow,2,1.67
JA # Japanese,Your Answer: White,2,1.67
JA # Japanese,red,2,1.67
JA # Japanese,happy,2,1.67
JA # Japanese,Your Answer: angry,2,1.67
JA # Japanese,"[#F0F0F0,#FFFFFF]",2,1.67
JA # Japanese,"[#4B0082,#800080]",1,0.83
JA # Japanese,Your Answer: Red,1,0.83
JA # Japanese,"[#2F0047, #4B0082]",1,0.83
JA # Japanese,"[#FFFF00, #FFFFE0]",1,0.83
JA # Japanese,"[#FF4500, #FFA500]",1,0.83
JA # Japanese,"[#FF0000,#FF4040]",1,0.83
JA # Japanese,Red,1,0.83
JA # Japanese,angry,1,0.83
JA # Japanese,Yellow,1,0.83
JA # Japanese,"[#0000FF,#00B7EB]",1,0.83
JA # Japanese,neutral,1,0.83
JA # Japanese,sad,1,0.83
JA # Japanese,Happy,1,0.83
JA # Japanese,"[FFA500, FF7F00]",1,0.83
JA # Japanese,"[#FFFFFF,#FFFFFF]",1,0.83
JA # Japanese,"[#FF0000,#FF6347]",1,0.83
JA # Japanese,"[#FF4500,#FFD700]",1,0.83
JA # Japanese,"[#FFD700,#FFFF00]",1,0.83
JA # Japanese,"[#0000FF,#87CEEB]",1,0.83
JA # Japanese,Your Answer: indigo,1,0.83
JA # Japanese,"[""#4B0082"",""#663399""]",1,0.83
JA # Japanese,"[ #7F00FF, #EE82EE ]",1,0.83
JA # Japanese,Orange,1,0.83
JA # Japanese,"[#800080,#EE82EE]",1,0.83
JA # Japanese,"[#FF0000,#800000]",1,0.83
JA # Japanese,"[#FFFF00,#FFFF66]",1,0.83
JA # Japanese,green,1,0.83
JA # Japanese,"[#000080,#ADD8E6]",1,0.83
JA # Japanese,"[#4B0082,#6A5ACD]",1,0.83
JA # Japanese,violet,1,0.83
JA # Japanese,Your Answer: Yellow,1,0.83
KO # Korean,Your Answer: blue,10,8.33
KO # Korean,Your Answer: calm,9,7.5
KO # Korean,Your Answer: red,7,5.83
KO # Korean,Your Answer: yellow,6,5.0
KO # Korean,Your Answer: white,5,4.17
KO # Korean,blue,5,4.17
KO # Korean,calm,5,4.17
KO # Korean,white,4,3.33
KO # Korean,Your Answer: Blue,4,3.33
KO # Korean,Blue,4,3.33
KO # Korean,Your Answer: green,4,3.33
KO # Korean,Your Answer: happy,4,3.33
KO # Korean,yellow,3,2.5
KO # Korean,indigo,3,2.5
