Language1,Language2,Language1 Gender System,Language2 Gender System,Gender Pairing,Average Noun Distance,NounCategory,Noun
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.05194200053811069,Cultural Artifacts,carpet
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.05126560106873511,Cultural Artifacts,coin
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04215499944984911,Cultural Artifacts,crown
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.056567400693893405,Cultural Artifacts,flag
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.08428260013461111,Cultural Artifacts,mask
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.057169798761606154,Cultural Artifacts,necklace
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.05240000039339058,Cultural Artifacts,painting
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.0630259998142719,Cultural Artifacts,ring
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.06968600153923028,Cultural Artifacts,statue
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.06008019968867298,Cultural Artifacts,vase
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04744199998676769,Environmental Phenomena,cloud
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.0498440001159906,Environmental Phenomena,earthquake
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.05145519971847531,Environmental Phenomena,fog
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.0546600010246038,Environmental Phenomena,lightning
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04927660115063186,Environmental Phenomena,rain
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.05484040006995197,Environmental Phenomena,rainbow
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.05803759973496193,Environmental Phenomena,snow
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.06409739982336757,Environmental Phenomena,storm
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07726380079984664,Environmental Phenomena,thunder
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07543439939618109,Environmental Phenomena,tide
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.05751860029995438,Environmental Phenomena,volcano
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.06686480045318599,Environmental Phenomena,wind
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.029867800138890697,Food Items,apple
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04285619929432868,Food Items,banana
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.040288799256086326,Food Items,beef
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04089320115745062,Food Items,bread
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04119319953024382,Food Items,broccoli
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.05259319990873332,Food Items,cheese
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04899840094149112,Food Items,chicken
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04755339920520781,Food Items,egg
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.0658274002373218,Food Items,fish
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.06882019820470757,Food Items,pasta
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04931539949029683,Food Items,rice
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04496219917048164,Food Items,soup
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.06208299845457074,Human Roles,artist
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.03514339993555491,Human Roles,athlete
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.05522900111973282,Human Roles,chef
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.065684200823307,Human Roles,doctor
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.059180998802185,Human Roles,engineer
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07916940078139302,Human Roles,farmer
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07221359983086587,Human Roles,lawyer
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.06758199930191039,Human Roles,musician
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.06904760077595706,Human Roles,scientist
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.06914840005338191,Human Roles,soldier
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07347960025072095,Human Roles,teacher
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.08395159989595409,Human Roles,writer
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04892559978027289,Inanimate Objects,book
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.043390998989343614,Inanimate Objects,bridge
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.06449660062789911,Inanimate Objects,drums
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.05915800109505649,Inanimate Objects,earth
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.057304999604821175,Inanimate Objects,flute
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.05068179965019222,Inanimate Objects,key
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.06206320114433761,Inanimate Objects,knife
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.0507675994187593,Inanimate Objects,lock
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04641259983181947,Inanimate Objects,moon
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07738759964704513,Inanimate Objects,pen
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04336660001426932,Inanimate Objects,sun
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.06828260049223894,Inanimate Objects,sword
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.0644048005342483,Neutral Animals,cat
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07511740177869791,Neutral Animals,dog
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07026820033788676,Neutral Animals,dolphin
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07041299846023316,Neutral Animals,elephant
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.06666980087757107,Neutral Animals,hamster
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.09344999790191648,Neutral Animals,monkey
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.08074679896235464,Neutral Animals,mouse
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07897959947586057,Neutral Animals,peacock
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.06785460039973254,Neutral Animals,rabbit
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.0760787986218929,Neutral Animals,shark
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.08956860005855556,Neutral Animals,snake
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.0812951989471912,Neutral Animals,whale
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.0670696001499891,Places,city
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04763519987463948,Places,desert
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.056077000498771616,Places,forest
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.05995920034904425,Places,island
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.0488274004310369,Places,lake
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.050892598927020964,Places,mountain
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04212879985570905,Places,ocean
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04107300043106076,Places,plain
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04668239946324772,Places,plateau
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.05343139991164201,Places,river
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.03676399961113927,Places,valley
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07359059974551195,Places,village
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04878040030598637,Plants,cactus
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.050288599915802465,Plants,eggplant
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04864580072462553,Plants,flower
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.049950401112437225,Plants,grass
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.059010999649763064,Plants,lettuce
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.05270159933716054,Plants,mushroom
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07196760103106495,Plants,onion
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.053377201780676835,Plants,pepper
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.049293001368641766,Plants,potato
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.06200080215930933,Plants,rose
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.0527614008635282,Plants,tomato
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04780820044536537,Plants,tree
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.04910999946296212,Social Relationships,ally
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.076171800494194,Social Relationships,brother
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.05692959874868387,Social Relationships,enemy
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07818180099129672,Social Relationships,father
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.0662006005644798,Social Relationships,follower
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.06785559877753254,Social Relationships,friend
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07975680008530614,Social Relationships,leader
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.0800009999424219,Social Relationships,mother
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07493220008909694,Social Relationships,partner
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.0743680007755756,Social Relationships,rival
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.08100079968571659,Social Relationships,sister
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.055295398831367436,Social Relationships,stranger
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07351739853620523,Spatial Concepts,above
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.080147198587656,Spatial Concepts,back
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07173999939113852,Spatial Concepts,below
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.08415520191192624,Spatial Concepts,east
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.09513880014419554,Spatial Concepts,front
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.071281199157238,Spatial Concepts,inside
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.11052819937467571,Spatial Concepts,left
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.08399519994854925,Spatial Concepts,north
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.09501859992742534,Spatial Concepts,outside
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.08364420160651204,Spatial Concepts,right
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07135980054736132,Spatial Concepts,south
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.08826220035552977,Spatial Concepts,west
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07073279991745944,Time Concepts,century
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.0487259985879063,Time Concepts,day
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.05799660049378862,Time Concepts,evening
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.05409479849040507,Time Concepts,hour
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.08369919955730434,Time Concepts,minute
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.0667739994823932,Time Concepts,month
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.06305099986493581,Time Concepts,morning
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.06018979959189886,Time Concepts,night
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07090999931097026,Time Concepts,season
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.08328440040349956,Time Concepts,second
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.0517634008079767,Time Concepts,week
AR,BN,Dual-Gendered,Minimal-Gendered,Dual-Gendered vs. Minimal-Gendered,0.07263640016317363,Time Concepts,year
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.04553579948842521,Abstract Concepts,anger
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.07906820029020308,Abstract Concepts,courage
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.034693799167871416,Abstract Concepts,fear
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.05159939974546426,Abstract Concepts,freedom
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.04718140028417106,Abstract Concepts,happiness
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.04346860088407992,Abstract Concepts,hate
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.04807180054485796,Abstract Concepts,honesty
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.053561200201511366,Abstract Concepts,justice
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.07359540015459055,Abstract Concepts,knowledge
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.05370460115373132,Abstract Concepts,love
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.0523940004408359,Abstract Concepts,peace
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.05448239967226978,Abstract Concepts,wisdom
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.04859200064092874,Cultural Artifacts,bell
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.051575800403952536,Cultural Artifacts,candle
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.034053198993206,Cultural Artifacts,carpet
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.0292236007750034,Cultural Artifacts,coin
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.044922200217843024,Cultural Artifacts,crown
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.04286820068955419,Cultural Artifacts,flag
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.07465539947152133,Cultural Artifacts,mask
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.041333599761128374,Cultural Artifacts,necklace
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.04902680031955236,Cultural Artifacts,painting
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.05695279985666267,Cultural Artifacts,ring
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.054635998979210856,Cultural Artifacts,statue
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.05498599931597703,Cultural Artifacts,vase
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.04820579998195166,Environmental Phenomena,cloud
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.03462980017065998,Environmental Phenomena,earthquake
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.053252799063920886,Environmental Phenomena,fog
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.03651699945330615,Environmental Phenomena,lightning
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.04711339920759197,Environmental Phenomena,rain
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.04610899984836573,Environmental Phenomena,rainbow
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.042025601491332006,Environmental Phenomena,snow
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.06355880051851269,Environmental Phenomena,storm
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.06515060141682621,Environmental Phenomena,thunder
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.056209400296211236,Environmental Phenomena,tide
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.04939819909632202,Environmental Phenomena,volcano
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.06217340081930158,Environmental Phenomena,wind
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.02715140059590336,Food Items,apple
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.03466519918292756,Food Items,banana
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.030959400348365276,Food Items,beef
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.025584800355136363,Food Items,bread
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.026267800107598282,Food Items,broccoli
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.03224940001964566,Food Items,cheese
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.041958199441432906,Food Items,chicken
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.013952000018548457,Food Items,egg
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.023057600110769242,Food Items,fish
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.06528239995241157,Food Items,pasta
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.055093799903988806,Food Items,rice
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.02410840009965793,Food Items,soup
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.042590600252151424,Human Roles,artist
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.03093619993735498,Human Roles,athlete
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.03399779982864852,Human Roles,chef
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.03572160042822358,Human Roles,doctor
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.04570919945836062,Human Roles,engineer
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.05343059897422785,Human Roles,farmer
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.0337207995355129,Human Roles,lawyer
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.047881000116467426,Human Roles,musician
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.05271580070257182,Human Roles,scientist
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.05468500107526775,Human Roles,soldier
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.0375334002077579,Human Roles,teacher
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.04734099954366677,Human Roles,writer
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.04013699963688843,Inanimate Objects,book
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.0416209999471902,Inanimate Objects,bridge
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.051386400312185256,Inanimate Objects,drums
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.04184940010309215,Inanimate Objects,earth
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.05408900082111355,Inanimate Objects,flute
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.05511140003800389,Inanimate Objects,key
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.060135999321937486,Inanimate Objects,knife
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.04656000025570388,Inanimate Objects,lock
AR,DE,Dual-Gendered,Tri-Gendered,Dual-Gendered vs. Tri-Gendered,0.04072380028665063,Inanimate Objects,moon
