Language,Question,Response,Count,Percentage
BN # Bengali,Which object naturally symbolizes learning and intellectual pursuit?,book,3,2.08
BN # Bengali,Which of these foods would you intuitively associate with abundance and prosperity?,fish,3,2.08
BN # Bengali,Which period best symbolizes rest and introspection?,evening,1,0.69
BN # Bengali,Which period best symbolizes rest and introspection?,night,2,1.39
BN # Bengali,Which phenomenon most naturally symbolizes sudden change or disruption?,earthquake,1,0.69
BN # Bengali,Which phenomenon most naturally symbolizes sudden change or disruption?,lightning,2,1.39
BN # Bengali,Which place is most strongly associated with growth and abundance?,plain,1,0.69
BN # Bengali,Which place is most strongly associated with growth and abundance?,river,2,1.39
BN # Bengali,Which place naturally evokes tranquility and relaxation?,lake,1,0.69
BN # Bengali,Which place naturally evokes tranquility and relaxation?,village,2,1.39
BN # Bengali,Which place symbolizes exploration and adventure?,ocean,3,2.08
BN # Bengali,Which plant is most associated with beauty and emotional significance?,flower,1,0.69
BN # Bengali,Which plant is most associated with beauty and emotional significance?,rose,2,1.39
BN # Bengali,Which plant most naturally symbolizes strength and endurance in harsh conditions?,cactus,3,2.08
BN # Bengali,Which plant symbolizes nourishment and sustenance?,potato,3,2.08
BN # Bengali,Which profession do you feel is most inherently connected to guiding and mentoring others?,teacher,3,2.08
BN # Bengali,Which quality is crucial for deep intellectual understanding of the world?,wisdom,3,2.08
BN # Bengali,Which relationship best symbolizes unfamiliarity and neutrality?,stranger,3,2.08
BN # Bengali,Which relationship intuitively symbolizes guidance and leadership?,father,3,2.08
BN # Bengali,Which relationship naturally conveys trust and reliability?,brother,2,1.39
BN # Bengali,Which relationship naturally conveys trust and reliability?,friend,1,0.69
BN # Bengali,Which role would you naturally associate with creativity and innovation?,artist,2,1.39
BN # Bengali,Which role would you naturally associate with creativity and innovation?,writer,1,0.69
BN # Bengali,Which spatial concept intuitively conveys security and comfort?,inside,3,2.08
BN # Bengali,Which spatial concept symbolizes authority and prominence?,above,3,2.08
BN # Bengali,Which time period naturally symbolizes stability and longevity?,century,3,2.08
BN # Bengali,Which trait is most essential in a fair and balanced leader?,honesty,3,2.08
DE # German,Choose the artifact that you feel best represents personal artistic expression.,painting,3,2.08
DE # German,Choose the food that you feel represents simplicity and universal accessibility.,bread,3,2.08
DE # German,Choose the object you intuitively associate with exploration and discovery.,moon,3,2.08
DE # German,Choose the plant you intuitively associate with simplicity and modesty.,grass,3,2.08
DE # German,Choose the relationship most strongly associated with competition and conflict.,rival,3,2.08
DE # German,Choose the role you believe is foundational for maintaining societal stability.,farmer,3,2.08
DE # German,Select the item you naturally link to security and protection.,lock,3,2.08
DE # German,Select the phenomenon you feel is most strongly associated with power and awe in nature.,volcano,3,2.08
DE # German,Select the role that best represents discipline and resilience.,soldier,3,2.08
DE # German,Which abstract idea is most vital to inspiring widespread social change?,Gerechtigkeit,1,0.69
DE # German,Which abstract idea is most vital to inspiring widespread social change?,freedom,2,1.39
DE # German,Which animal best symbolizes cleverness and adaptability?,monkey,3,2.08
DE # German,Which animal most embodies strength and resilience in challenging environments?,dog,1,0.69
DE # German,Which animal most embodies strength and resilience in challenging environments?,elephant,2,1.39
DE # German,Which animal naturally symbolizes friendliness and companionship?,dog,3,2.08
DE # German,Which animal naturally symbolizes grace and subtlety in its movements?,cat,3,2.08
DE # German,Which artifact best represents the authority and legitimacy of leadership?,crown,3,2.08
DE # German,Which artifact best symbolizes national pride and collective identity?,flag,3,2.08
DE # German,Which concept intuitively conveys urgency and immediacy?,second,3,2.08
DE # German,Which concept naturally symbolizes new beginnings and opportunities?,morning,1,0.69
DE # German,Which concept naturally symbolizes new beginnings and opportunities?,year,2,1.39
DE # German,Which concept would you most associate with someone who consistently takes decisive action in critic,courage,3,2.08
DE # German,Which direction is most associated with openness and exploration?,outside,1,0.69
DE # German,Which direction is most associated with openness and exploration?,west,2,1.39
DE # German,Which direction naturally symbolizes progress and optimism?,east,2,1.39
DE # German,Which direction naturally symbolizes progress and optimism?,front,1,0.69
DE # German,Which environmental phenomenon most effectively symbolizes hope and renewal?,rainbow,3,2.08
DE # German,Which food item would you associate most closely with comfort and homeliness?,bread,1,0.69
DE # German,Which food item would you associate most closely with comfort and homeliness?,soup,2,1.39
DE # German,Which food would you naturally link to vitality and sustained energy?,banana,3,2.08
DE # German,Which item most strongly represents connection or overcoming barriers?,bridge,3,2.08
DE # German,Which item would you most naturally associate with rituals or ceremonies that mark significant life ,candle,3,2.08
DE # German,Which location best represents isolation and introspection?,island,3,2.08
DE # German,Which natural event most evokes a sense of mystery or the unknown?,fog,3,2.08
DE # German,Which object naturally symbolizes learning and intellectual pursuit?,book,3,2.08
DE # German,Which of these foods would you intuitively associate with abundance and prosperity?,beef,3,2.08
DE # German,Which period best symbolizes rest and introspection?,evening,1,0.69
DE # German,Which period best symbolizes rest and introspection?,night,2,1.39
DE # German,Which phenomenon most naturally symbolizes sudden change or disruption?,earthquake,1,0.69
DE # German,Which phenomenon most naturally symbolizes sudden change or disruption?,lightning,2,1.39
DE # German,Which place is most strongly associated with growth and abundance?,forest,1,0.69
DE # German,Which place is most strongly associated with growth and abundance?,river,1,0.69
DE # German,Which place is most strongly associated with growth and abundance?,valley,1,0.69
DE # German,Which place naturally evokes tranquility and relaxation?,lake,3,2.08
DE # German,Which place symbolizes exploration and adventure?,ocean,3,2.08
DE # German,Which plant is most associated with beauty and emotional significance?,rose,3,2.08
DE # German,Which plant most naturally symbolizes strength and endurance in harsh conditions?,cactus,3,2.08
DE # German,Which plant symbolizes nourishment and sustenance?,potato,3,2.08
DE # German,Which profession do you feel is most inherently connected to guiding and mentoring others?,teacher,3,2.08
DE # German,Which quality is crucial for deep intellectual understanding of the world?,Weisheit,1,0.69
DE # German,Which quality is crucial for deep intellectual understanding of the world?,wisdom,2,1.39
DE # German,Which relationship best symbolizes unfamiliarity and neutrality?,stranger,3,2.08
DE # German,Which relationship intuitively symbolizes guidance and leadership?,father,2,1.39
DE # German,Which relationship intuitively symbolizes guidance and leadership?,leader,1,0.69
DE # German,Which relationship naturally conveys trust and reliability?,Freund,1,0.69
DE # German,Which relationship naturally conveys trust and reliability?,brother,2,1.39
DE # German,Which role would you naturally associate with creativity and innovation?,artist,3,2.08
DE # German,Which spatial concept intuitively conveys security and comfort?,inside,3,2.08
DE # German,Which spatial concept symbolizes authority and prominence?,above,3,2.08
DE # German,Which time period naturally symbolizes stability and longevity?,century,3,2.08
DE # German,Which trait is most essential in a fair and balanced leader?,honesty,1,0.69
DE # German,Which trait is most essential in a fair and balanced leader?,justice,2,1.39
ES # Spanish,Choose the artifact that you feel best represents personal artistic expression.,painting,3,2.08
ES # Spanish,Choose the food that you feel represents simplicity and universal accessibility.,bread,2,1.39
ES # Spanish,Choose the food that you feel represents simplicity and universal accessibility.,rice,1,0.69
ES # Spanish,Choose the object you intuitively associate with exploration and discovery.,moon,3,2.08
ES # Spanish,Choose the plant you intuitively associate with simplicity and modesty.,grass,3,2.08
ES # Spanish,Choose the relationship most strongly associated with competition and conflict.,enemy,1,0.69
ES # Spanish,Choose the relationship most strongly associated with competition and conflict.,rival,2,1.39
ES # Spanish,Choose the role you believe is foundational for maintaining societal stability.,farmer,3,2.08
ES # Spanish,Select the item you naturally link to security and protection.,lock,3,2.08
ES # Spanish,Select the phenomenon you feel is most strongly associated with power and awe in nature.,volcano,3,2.08
ES # Spanish,Select the role that best represents discipline and resilience.,soldier,3,2.08
ES # Spanish,Which abstract idea is most vital to inspiring widespread social change?,freedom,2,1.39
ES # Spanish,Which abstract idea is most vital to inspiring widespread social change?,justicia,1,0.69
ES # Spanish,Which animal best symbolizes cleverness and adaptability?,monkey,3,2.08
ES # Spanish,Which animal most embodies strength and resilience in challenging environments?,elephant,3,2.08
ES # Spanish,Which animal naturally symbolizes friendliness and companionship?,dog,3,2.08
ES # Spanish,Which animal naturally symbolizes grace and subtlety in its movements?,cat,3,2.08
ES # Spanish,Which artifact best represents the authority and legitimacy of leadership?,crown,3,2.08
ES # Spanish,Which artifact best symbolizes national pride and collective identity?,flag,3,2.08
ES # Spanish,Which concept intuitively conveys urgency and immediacy?,second,3,2.08
ES # Spanish,Which concept naturally symbolizes new beginnings and opportunities?,morning,2,1.39
ES # Spanish,Which concept naturally symbolizes new beginnings and opportunities?,year,1,0.69
ES # Spanish,Which concept would you most associate with someone who consistently takes decisive action in critic,courage,3,2.08
ES # Spanish,Which direction is most associated with openness and exploration?,outside,3,2.08
ES # Spanish,Which direction naturally symbolizes progress and optimism?,east,1,0.69
ES # Spanish,Which direction naturally symbolizes progress and optimism?,front,2,1.39
ES # Spanish,Which environmental phenomenon most effectively symbolizes hope and renewal?,rainbow,3,2.08
ES # Spanish,Which food item would you associate most closely with comfort and homeliness?,soup,3,2.08
ES # Spanish,Which food would you naturally link to vitality and sustained energy?,banana,3,2.08
ES # Spanish,Which item most strongly represents connection or overcoming barriers?,bridge,3,2.08
ES # Spanish,Which item would you most naturally associate with rituals or ceremonies that mark significant life ,candle,3,2.08
ES # Spanish,Which location best represents isolation and introspection?,island,3,2.08
ES # Spanish,Which natural event most evokes a sense of mystery or the unknown?,fog,3,2.08
ES # Spanish,Which object naturally symbolizes learning and intellectual pursuit?,book,3,2.08
ES # Spanish,Which of these foods would you intuitively associate with abundance and prosperity?,beef,3,2.08
ES # Spanish,Which period best symbolizes rest and introspection?,evening,1,0.69
ES # Spanish,Which period best symbolizes rest and introspection?,night,2,1.39
ES # Spanish,Which phenomenon most naturally symbolizes sudden change or disruption?,earthquake,3,2.08
ES # Spanish,Which place is most strongly associated with growth and abundance?,forest,1,0.69
ES # Spanish,Which place is most strongly associated with growth and abundance?,valley,2,1.39
ES # Spanish,Which place naturally evokes tranquility and relaxation?,lake,3,2.08
ES # Spanish,Which place symbolizes exploration and adventure?,ocean,3,2.08
ES # Spanish,Which plant is most associated with beauty and emotional significance?,rose,3,2.08
ES # Spanish,Which plant most naturally symbolizes strength and endurance in harsh conditions?,cactus,3,2.08
ES # Spanish,Which plant symbolizes nourishment and sustenance?,potato,3,2.08
ES # Spanish,Which profession do you feel is most inherently connected to guiding and mentoring others?,teacher,3,2.08
ES # Spanish,Which quality is crucial for deep intellectual understanding of the world?,sabiduría,1,0.69
ES # Spanish,Which quality is crucial for deep intellectual understanding of the world?,wisdom,2,1.39
ES # Spanish,Which relationship best symbolizes unfamiliarity and neutrality?,stranger,3,2.08
ES # Spanish,Which relationship intuitively symbolizes guidance and leadership?,father,2,1.39
ES # Spanish,Which relationship intuitively symbolizes guidance and leadership?,leader,1,0.69
ES # Spanish,Which relationship naturally conveys trust and reliability?,brother,2,1.39
ES # Spanish,Which relationship naturally conveys trust and reliability?,friend,1,0.69
ES # Spanish,Which role would you naturally associate with creativity and innovation?,artist,3,2.08
ES # Spanish,Which spatial concept intuitively conveys security and comfort?,inside,3,2.08
ES # Spanish,Which spatial concept symbolizes authority and prominence?,above,3,2.08
ES # Spanish,Which time period naturally symbolizes stability and longevity?,century,3,2.08
ES # Spanish,Which trait is most essential in a fair and balanced leader?,honesty,1,0.69
ES # Spanish,Which trait is most essential in a fair and balanced leader?,justice,2,1.39
FA # Persian,Choose the artifact that you feel best represents personal artistic expression.,painting,3,2.08
FA # Persian,Choose the food that you feel represents simplicity and universal accessibility.,bread,2,1.39
FA # Persian,Choose the food that you feel represents simplicity and universal accessibility.,rice,1,0.69
FA # Persian,Choose the object you intuitively associate with exploration and discovery.,moon,3,2.08
FA # Persian,Choose the plant you intuitively associate with simplicity and modesty.,grass,3,2.08
FA # Persian,Choose the relationship most strongly associated with competition and conflict.,enemy,1,0.69
FA # Persian,Choose the relationship most strongly associated with competition and conflict.,rival,2,1.39
FA # Persian,Choose the role you believe is foundational for maintaining societal stability.,farmer,3,2.08
FA # Persian,Select the item you naturally link to security and protection.,lock,3,2.08
FA # Persian,Select the phenomenon you feel is most strongly associated with power and awe in nature.,volcano,3,2.08
FA # Persian,Select the role that best represents discipline and resilience.,soldier,3,2.08
FA # Persian,Which abstract idea is most vital to inspiring widespread social change?,freedom,2,1.39
FA # Persian,Which abstract idea is most vital to inspiring widespread social change?,justice,1,0.69
FA # Persian,Which animal best symbolizes cleverness and adaptability?,monkey,2,1.39
FA # Persian,Which animal best symbolizes cleverness and adaptability?,snake,1,0.69
FA # Persian,Which animal most embodies strength and resilience in challenging environments?,elephant,3,2.08
FA # Persian,Which animal naturally symbolizes friendliness and companionship?,dog,3,2.08
FA # Persian,Which animal naturally symbolizes grace and subtlety in its movements?,cat,2,1.39
FA # Persian,Which animal naturally symbolizes grace and subtlety in its movements?,peacock,1,0.69
FA # Persian,Which artifact best represents the authority and legitimacy of leadership?,crown,3,2.08
FA # Persian,Which artifact best symbolizes national pride and collective identity?,flag,3,2.08
FA # Persian,Which concept intuitively conveys urgency and immediacy?,second,3,2.08
FA # Persian,Which concept naturally symbolizes new beginnings and opportunities?,morning,1,0.69
FA # Persian,Which concept naturally symbolizes new beginnings and opportunities?,year,2,1.39
FA # Persian,Which concept would you most associate with someone who consistently takes decisive action in critic,courage,3,2.08
FA # Persian,Which direction is most associated with openness and exploration?,outside,2,1.39
FA # Persian,Which direction is most associated with openness and exploration?,west,1,0.69
FA # Persian,Which direction naturally symbolizes progress and optimism?,east,1,0.69
FA # Persian,Which direction naturally symbolizes progress and optimism?,front,2,1.39
FA # Persian,Which environmental phenomenon most effectively symbolizes hope and renewal?,rain,1,0.69
FA # Persian,Which environmental phenomenon most effectively symbolizes hope and renewal?,rainbow,2,1.39
FA # Persian,Which food item would you associate most closely with comfort and homeliness?,bread,2,1.39
FA # Persian,Which food item would you associate most closely with comfort and homeliness?,soup,1,0.69
FA # Persian,Which food would you naturally link to vitality and sustained energy?,banana,3,2.08
FA # Persian,Which item most strongly represents connection or overcoming barriers?,bridge,3,2.08
FA # Persian,Which item would you most naturally associate with rituals or ceremonies that mark significant life ,candle,2,1.39
FA # Persian,Which item would you most naturally associate with rituals or ceremonies that mark significant life ,carpet,1,0.69
FA # Persian,Which location best represents isolation and introspection?,desert,2,1.39
FA # Persian,Which location best represents isolation and introspection?,island,1,0.69
FA # Persian,Which natural event most evokes a sense of mystery or the unknown?,fog,3,2.08
FA # Persian,Which object naturally symbolizes learning and intellectual pursuit?,book,3,2.08
FA # Persian,Which of these foods would you intuitively associate with abundance and prosperity?,Fish,1,0.69
FA # Persian,Which of these foods would you intuitively associate with abundance and prosperity?,fish,2,1.39
FA # Persian,Which period best symbolizes rest and introspection?,evening,1,0.69
FA # Persian,Which period best symbolizes rest and introspection?,night,2,1.39
FA # Persian,Which phenomenon most naturally symbolizes sudden change or disruption?,earthquake,3,2.08
FA # Persian,Which place is most strongly associated with growth and abundance?,forest,1,0.69
FA # Persian,Which place is most strongly associated with growth and abundance?,river,1,0.69
FA # Persian,Which place is most strongly associated with growth and abundance?,valley,1,0.69
FA # Persian,Which place naturally evokes tranquility and relaxation?,lake,3,2.08
FA # Persian,Which place symbolizes exploration and adventure?,desert,1,0.69
FA # Persian,Which place symbolizes exploration and adventure?,ocean,2,1.39
FA # Persian,Which plant is most associated with beauty and emotional significance?,flower,1,0.69
FA # Persian,Which plant is most associated with beauty and emotional significance?,rose,2,1.39
FA # Persian,Which plant most naturally symbolizes strength and endurance in harsh conditions?,cactus,3,2.08
FA # Persian,Which plant symbolizes nourishment and sustenance?,onion,1,0.69
FA # Persian,Which plant symbolizes nourishment and sustenance?,potato,2,1.39
FA # Persian,Which profession do you feel is most inherently connected to guiding and mentoring others?,teacher,3,2.08
FA # Persian,Which quality is crucial for deep intellectual understanding of the world?,wisdom,3,2.08
FA # Persian,Which relationship best symbolizes unfamiliarity and neutrality?,stranger,3,2.08
FA # Persian,Which relationship intuitively symbolizes guidance and leadership?,father,3,2.08
FA # Persian,Which relationship naturally conveys trust and reliability?,brother,3,2.08
FA # Persian,Which role would you naturally associate with creativity and innovation?,artist,3,2.08
FA # Persian,Which spatial concept intuitively conveys security and comfort?,inside,3,2.08
FA # Persian,Which spatial concept symbolizes authority and prominence?,above,3,2.08
FA # Persian,Which time period naturally symbolizes stability and longevity?,century,3,2.08
FA # Persian,Which trait is most essential in a fair and balanced leader?,honesty,1,0.69
FA # Persian,Which trait is most essential in a fair and balanced leader?,justice,2,1.39
FR # French,Choose the artifact that you feel best represents personal artistic expression.,painting,3,2.08
FR # French,Choose the food that you feel represents simplicity and universal accessibility.,bread,3,2.08
FR # French,Choose the object you intuitively associate with exploration and discovery.,moon,3,2.08
FR # French,Choose the plant you intuitively associate with simplicity and modesty.,grass,3,2.08
FR # French,Choose the relationship most strongly associated with competition and conflict.,rival,3,2.08
FR # French,Choose the role you believe is foundational for maintaining societal stability.,farmer,3,2.08
FR # French,Select the item you naturally link to security and protection.,lock,3,2.08
FR # French,Select the phenomenon you feel is most strongly associated with power and awe in nature.,volcano,3,2.08
FR # French,Select the role that best represents discipline and resilience.,soldier,3,2.08
FR # French,Which abstract idea is most vital to inspiring widespread social change?,freedom,2,1.39
FR # French,Which abstract idea is most vital to inspiring widespread social change?,justice,1,0.69
FR # French,Which animal best symbolizes cleverness and adaptability?,monkey,3,2.08
FR # French,Which animal most embodies strength and resilience in challenging environments?,elephant,3,2.08
FR # French,Which animal naturally symbolizes friendliness and companionship?,dog,3,2.08
FR # French,Which animal naturally symbolizes grace and subtlety in its movements?,cat,3,2.08
FR # French,Which artifact best represents the authority and legitimacy of leadership?,crown,3,2.08
FR # French,Which artifact best symbolizes national pride and collective identity?,flag,3,2.08
FR # French,Which concept intuitively conveys urgency and immediacy?,second,3,2.08
FR # French,Which concept naturally symbolizes new beginnings and opportunities?,morning,2,1.39
FR # French,Which concept naturally symbolizes new beginnings and opportunities?,year,1,0.69
FR # French,Which concept would you most associate with someone who consistently takes decisive action in critic,courage,3,2.08
FR # French,Which direction is most associated with openness and exploration?,outside,2,1.39
FR # French,Which direction is most associated with openness and exploration?,west,1,0.69
FR # French,Which direction naturally symbolizes progress and optimism?,east,1,0.69
FR # French,Which direction naturally symbolizes progress and optimism?,front,2,1.39
FR # French,Which environmental phenomenon most effectively symbolizes hope and renewal?,rain,1,0.69
FR # French,Which environmental phenomenon most effectively symbolizes hope and renewal?,rainbow,2,1.39
FR # French,Which food item would you associate most closely with comfort and homeliness?,bread,1,0.69
FR # French,Which food item would you associate most closely with comfort and homeliness?,soup,2,1.39
FR # French,Which food would you naturally link to vitality and sustained energy?,banana,3,2.08
FR # French,Which item most strongly represents connection or overcoming barriers?,bridge,3,2.08
FR # French,Which item would you most naturally associate with rituals or ceremonies that mark significant life ,candle,3,2.08
FR # French,Which location best represents isolation and introspection?,island,3,2.08
FR # French,Which natural event most evokes a sense of mystery or the unknown?,fog,3,2.08
FR # French,Which object naturally symbolizes learning and intellectual pursuit?,book,3,2.08
FR # French,Which of these foods would you intuitively associate with abundance and prosperity?,beef,3,2.08
FR # French,Which period best symbolizes rest and introspection?,evening,1,0.69
FR # French,Which period best symbolizes rest and introspection?,night,2,1.39
FR # French,Which phenomenon most naturally symbolizes sudden change or disruption?,earthquake,1,0.69
FR # French,Which phenomenon most naturally symbolizes sudden change or disruption?,lightning,2,1.39
FR # French,Which place is most strongly associated with growth and abundance?,forest,1,0.69
FR # French,Which place is most strongly associated with growth and abundance?,river,1,0.69
FR # French,Which place is most strongly associated with growth and abundance?,valley,1,0.69
FR # French,Which place naturally evokes tranquility and relaxation?,lake,3,2.08
FR # French,Which place symbolizes exploration and adventure?,ocean,3,2.08
FR # French,Which plant is most associated with beauty and emotional significance?,flower,1,0.69
FR # French,Which plant is most associated with beauty and emotional significance?,rose,2,1.39
FR # French,Which plant most naturally symbolizes strength and endurance in harsh conditions?,cactus,3,2.08
FR # French,Which plant symbolizes nourishment and sustenance?,potato,3,2.08
FR # French,Which profession do you feel is most inherently connected to guiding and mentoring others?,teacher,3,2.08
FR # French,Which quality is crucial for deep intellectual understanding of the world?,wisdom,3,2.08
