Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,anger,intense;boiling;sudden;deep;raw;suppressed;righteous;blind;explosive;simmering
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Food Items,fish,fresh;grilled;smoked;wild-caught;flaky;oily;frozen;salted;raw;seasoned
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Food Items,pasta,cooked;al dente;fresh;dried;whole-wheat;stuffed;sauced;homemade;colorful;boiled
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Food Items,rice,steamed;white;brown;cooked;fluffy;sticky;wild;seasoned;raw;aromatic
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Food Items,soup,hot;creamy;vegetable;hearty;spicy;clear;homemade;chilled;thick;flavorful
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Human Roles,artist,talented;creative;struggling;famous;visionary;dedicated;emerging;eccentric;skilled;innovative
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Human Roles,athlete,professional;dedicated;fit;competitive;injured;Olympic;skilled;young;veteran;agile
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Human Roles,chef,skilled;renowned;innovative;professional;amateur;passionate;celebrity;trained;creative;meticulous
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Human Roles,doctor,skilled;experienced;caring;specialist;busy;young;retired;dedicated;emergency;compassionate
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Human Roles,engineer,skilled;innovative;mechanical;electrical;experienced;creative;junior;senior;practical;visionary
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Human Roles,farmer,hardworking;organic;local;experienced;rural;dedicated;modern;struggling;family;sustainable
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Human Roles,lawyer,sharp;experienced;corporate;defense;ambitious;ethical;junior;senior;trial;dedicated
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Human Roles,musician,talented;classical;rock;emerging;famous;versatile;dedicated;indie;skilled;passionate
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Human Roles,scientist,brilliant;dedicated;environmental;innovative;research;theoretical;experimental;young;veteran;curious
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Human Roles,soldier,brave;trained;veteran;elite;wounded;disciplined;young;heroic;deployed;loyal
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Human Roles,teacher,dedicated;experienced;inspiring;patient;strict;young;retired;creative;effective;passionate
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Human Roles,writer,prolific;talented;aspiring;famous;mystery;freelance;dedicated;poetic;novice;imaginative
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Inanimate Objects,book,old;new;hardcover;bestselling;fictional;educational;thick;illustrated;rare;tattered
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Inanimate Objects,bridge,old;sturdy;wooden;modern;arched;suspension;damaged;iconic;long;narrow
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Inanimate Objects,drums,loud;rhythmic;wooden;electronic;tribal;professional;small;vintage;tuned;percussive
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Inanimate Objects,earth,fertile;round;blue;ancient;living;solid;molten;vast;green;fragile
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Inanimate Objects,flute,wooden;silver;melodic;ancient;modern;handheld;tuned;decorative;professional;sweet-sounding
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Inanimate Objects,key,small;metal;rusty;spare;golden;electronic;locked;decorative;ancient;modern
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Inanimate Objects,knife,sharp;dull;kitchen;pocket;rusty;ceremonial;folding;ancient;stainless;dangerous
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Inanimate Objects,lock,sturdy;electronic;rusty;combination;padlock;modern;broken;antique;secure;keyed
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Inanimate Objects,moon,full;crescent;bright;waning;glowing;distant;silver;mysterious;waxing;blood
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Inanimate Objects,pen,black;fountain;ballpoint;cheap;elegant;leaking;colorful;antique;disposable;fine-tipped
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Inanimate Objects,sun,bright;setting;rising;hot;golden;midday;distant;scorching;warm;eclipsed
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Inanimate Objects,sword,sharp;ancient;ceremonial;steel;enchanted;heavy;decorative;medieval;lightweight;curved
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Neutral Animals,cat,fluffy;playful;black;stray;domestic;wild;lazy;curious;striped;affectionate
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Neutral Animals,dog,loyal;playful;big;small;trained;stray;energetic;friendly;barking;furry
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Neutral Animals,dolphin,intelligent;playful;marine;graceful;wild;trained;sleek;endangered;jumping;social
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Neutral Animals,elephant,massive;gray;wild;endangered;gentle;trumpeting;African;Asian;intelligent;majestic
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Neutral Animals,hamster,small;furry;playful;caged;nocturnal;tame;brown;active;pet;quick
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Neutral Animals,monkey,playful;agile;wild;mischievous;intelligent;swinging;tropical;trained;furry;curious
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Neutral Animals,mouse,small;gray;timid;wild;computer;mechanical;scurrying;pet;white;sneaky
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Neutral Animals,peacock,colorful;majestic;wild;strutting;exotic;feathered;proud;garden;male;vibrant
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Neutral Animals,rabbit,fluffy;white;wild;pet;hopping;fast;furry;timid;brown;playful
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Neutral Animals,shark,dangerous;great;white;predatory;marine;fast;sleek;endangered;aggressive;solitary
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Neutral Animals,snake,venomous;slithering;long;wild;pet;colorful;coiled;dangerous;constrictor;elusive
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Neutral Animals,whale,massive;blue;migrating;endangered;marine;singing;graceful;deep-diving;intelligent;ancient
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Places,city,bustling;modern;ancient;crowded;coastal;industrial;historic;sprawling;vibrant;polluted
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Places,desert,vast;sandy;arid;hot;barren;remote;windswept;golden;expansive;unforgiving
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Places,forest,dense;ancient;tropical;green;dark;enchanted;vast;rainy;peaceful;mysterious
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Places,island,tropical;remote;volcanic;deserted;green;sandy;inhabited;rocky;exotic;small
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Places,lake,serene;deep;frozen;clear;mountain;polluted;vast;scenic;freshwater;reflective
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Places,mountain,towering;snowy;rugged;ancient;volcanic;majestic;steep;remote;green;foggy
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Places,ocean,vast;deep;blue;stormy;calm;salty;endless;mysterious;turbulent;expansive
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Places,plain,vast;flat;grassy;fertile;windswept;dry;endless;rolling;open;barren
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Places,plateau,high;flat;rocky;elevated;vast;scenic;arid;ancient;green;remote
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Places,river,wide;flowing;muddy;clear;winding;rapid;ancient;polluted;scenic;frozen
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Places,valley,lush;deep;narrow;fertile;scenic;hidden;mountainous;green;dry;peaceful
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Places,village,quaint;rural;small;ancient;coastal;peaceful;isolated;bustling;traditional;charming
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Plants,cactus,spiky;desert;tall;green;flowering;hardy;prickly;small;exotic;drought-resistant
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Plants,eggplant,purple;fresh;glossy;organic;ripe;grilled;raw;large;seeded;firm
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Plants,flower,beautiful;blooming;wild;colorful;fragrant;wilted;exotic;garden;red;delicate
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Plants,grass,green;lush;tall;dry;mowed;wild;soft;overgrown;fresh;patchy
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Plants,lettuce,fresh;crisp;green;organic;wilted;leafy;chopped;raw;salad;hydroponic
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Plants,mushroom,wild;edible;poisonous;fresh;dried;large;button;flavorful;organic;fungi
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Plants,onion,fresh;red;white;pungent;sliced;organic;raw;caramelized;mild;spicy
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Plants,pepper,spicy;red;green;fresh;bell;ground;hot;organic;sliced;sweet
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Plants,potato,fresh;baked;mashed;organic;raw;fried;large;small;starchy;peeled
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Plants,rose,red;blooming;thorny;fragrant;wild;garden;white;beautiful;hybrid;delicate
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Plants,tomato,ripe;red;fresh;juicy;organic;sliced;cherry;raw;vine-ripened;plump
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Plants,tree,tall;ancient;leafy;fruit-bearing;evergreen;shady;bare;flowering;massive;twisted
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Social Relationships,ally,reliable;strategic;faithful;powerful;secret;international;trusted;supportive;temporary;strong
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Social Relationships,brother,older;younger;protective;loving;estranged;twin;supportive;mischievous;caring;distant
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Social Relationships,enemy,sworn;bitter;formidable;ancient;hidden;powerful;ruthless;declared;foreign;vengeful
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Social Relationships,father,loving;strict;absent;proud;hardworking;biological;adoptive;wise;distant;supportive
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Social Relationships,follower,loyal;devoted;blind;enthusiastic;cult;social;dedicated;misguided;faithful;active
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Social Relationships,friend,close;loyal;old;new;trustworthy;fun;distant;supportive;childhood;reliable
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Social Relationships,leader,charismatic;strong;visionary;elected;authoritarian;inspirational;effective;weak;democratic;influential
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Social Relationships,mother,loving;caring;strict;single;biological;adoptive;nurturing;busy;proud;supportive
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Social Relationships,partner,business;romantic;reliable;equal;supportive;professional;long-term;creative;trusted;committed
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Social Relationships,rival,fierce;corporate;athletic;longstanding;bitter;competitive;worthy;secret;professional;challenging
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Social Relationships,sister,younger;older;protective;loving;estranged;twin;supportive;caring;mischievous;distant
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Social Relationships,stranger,mysterious;helpful;dangerous;unknown;friendly;passing;suspicious;foreign;wandering;enigmatic
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Spatial Concepts,above,high;overhead;superior;elevated;mentioned;floating;upper;celestial;dominant;soaring
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Spatial Concepts,back,rear;hidden;supportive;aching;strong;curved;wooden;distant;lower;straight
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Spatial Concepts,below,lower;underground;submerged;inferior;hidden;deep;beneath;sunken;subordinate;dark
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Spatial Concepts,east,rising;distant;coastal;eastern;sunny;ancient;far;directional;windswept;mysterious
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Spatial Concepts,front,main;forward;leading;decorative;busy;open;prominent;false;battle;stylish
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Spatial Concepts,inside,inner;hidden;cozy;secure;warm;private;enclosed;deep;protected;secret
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Spatial Concepts,left,abandoned;forgotten;unused;directional;weak;remaining;stray;overlooked;solitary;idle
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Spatial Concepts,north,frozen;polar;northern;cold;distant;magnetic;rugged;ancient;directional;vast
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Spatial Concepts,outside,external;cold;bright;exposed;vast;rainy;secure;distant;open;forbidden
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Spatial Concepts,right,correct;moral;directional;absolute;proper;legal;inherent;immediate;straightforward;justified
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Spatial Concepts,south,warm;southern;tropical;distant;humid;directional;coastal;ancient;sunny;vast
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Spatial Concepts,west,wild;western;distant;coastal;setting;directional;rugged;ancient;sunny;expansive
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Time Concepts,century,past;current;upcoming;golden;dark;enlightened;Victorian;modern;ancient;pivotal
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Time Concepts,day,sunny;rainy;long;short;busy;lazy;ordinary;special;clear;foggy
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Time Concepts,evening,quiet;romantic;cool;long;peaceful;golden;busy;starry;relaxing;festive
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Time Concepts,hour,late;early;golden;final;busy;quiet;fleeting;long;productive;dark
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Time Concepts,minute,last;final;fleeting;precise;short;crucial;ticking;exact;waiting;silent
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Time Concepts,month,busy;short;long;festive;quiet;upcoming;past;rainy;sunny;memorable
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Time Concepts,morning,fresh;early;foggy;bright;crisp;lazy;sunny;hectic;cool;peaceful
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Time Concepts,night,dark;starry;long;quiet;restless;moonlit;cold;festive;stormy;peaceful
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Time Concepts,season,busy;festive;mild;harsh;upcoming;past;rainy;dry;warm;cold
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Time Concepts,second,final;fleeting;crucial;last;precise;ticking;quick;extra;silent;vital
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Time Concepts,week,busy;short;long;productive;relaxing;upcoming;past;eventful;quiet;exhausting
grok-3-mini,english-monolingual,0.0,FA # Persian,B1,most frequent,Time Concepts,year,new;old;productive;challenging;memorable;upcoming;past;leap;fiscal;golden
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Abstract Concepts,anger,intense;sudden;deep;blind;righteous;suppressed;explosive;simmering;raw;uncontrolled
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Abstract Concepts,courage,great;true;moral;physical;quiet;heroic;unwavering;bold;innate;fearless
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Abstract Concepts,fear,intense;sudden;deep;irrational;overwhelming;primal;hidden;paralyzing;constant;creeping
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Abstract Concepts,freedom,absolute;true;personal;political;hard-won;unrestricted;basic;individual;economic;spiritual
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Abstract Concepts,happiness,pure;lasting;simple;genuine;fleeting;inner;overwhelming;quiet;shared;radiant
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Abstract Concepts,hate,intense;deep-seated;blind;irrational;bitter;enduring;violent;unspoken;mutual;simmering
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Abstract Concepts,honesty,brutal;complete;unwavering;refreshing;rare;straightforward;absolute;heartfelt;transparent;genuine
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Abstract Concepts,justice,swift;blind;social;poetic;true;equal;restorative;divine;criminal;impartial
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Abstract Concepts,knowledge,vast;ancient;practical;secret;profound;scientific;basic;hidden;universal;acquired
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Abstract Concepts,love,unconditional;passionate;enduring;pure;romantic;selfless;deep;forbidden;familial;intense
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Abstract Concepts,peace,inner;lasting;fragile;global;quiet;absolute;mental;negotiated;spiritual;temporary
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Abstract Concepts,wisdom,ancient;profound;practical;timeless;innate;hard-earned;spiritual;deep;worldly;intuitive
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Cultural Artifacts,bell,ringing;old;golden;church;alarm;silver;tiny;loud;antique;decorative
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Cultural Artifacts,candle,flickering;scented;tall;waxen;aromatic;decorative;melted;colored;slender;festive
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Cultural Artifacts,carpet,soft;woolen;patterned;thick;oriental;worn;colorful;plush;antique;synthetic
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Cultural Artifacts,coin,ancient;shiny;rare;gold;silver;counterfeit;old;foreign;valuable;engraved
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Cultural Artifacts,crown,golden;royal;jeweled;ancient;ceremonial;heavy;ornate;symbolic;imperial;sparkling
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Cultural Artifacts,flag,national;waving;colorful;tattered;symbolic;foreign;proud;striped;historic;fluttering
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Cultural Artifacts,mask,decorative;mysterious;facial;protective;theatrical;ancient;colorful;creepy;elegant;disposable
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Cultural Artifacts,necklace,sparkling;gold;pearl;antique;elegant;beaded;silver;long;delicate;ornate
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Cultural Artifacts,painting,vibrant;abstract;famous;detailed;oil;landscape;modern;portrait;colorful;antique
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Cultural Artifacts,ring,golden;engagement;antique;diamond;silver;simple;engraved;wedding;flashy;ancient
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Cultural Artifacts,statue,towering;bronze;ancient;marble;heroic;modern;decorative;stone;lifelike;monumental
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Cultural Artifacts,vase,ornate;ceramic;antique;glass;decorative;floral;tall;fragile;painted;crystal
grok-3-mini,english-monolingual,0.0,FA # Persian,B2,most frequent,Environmental Phenomena,cloud,fluffy;dark;stormy;white;drifting;cumulus;gray;billowing;high;wispy
