Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,anger,strong;hot;blind;deep;sudden;intense;raw;great;furious;bitter
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;wet;steady;soft;hard;warm;quick;bad
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Environmental Phenomena,rainbow,beautiful;bright;colorful;big;rare;clear;full;simple;natural;wet
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;fresh;heavy;wet;pure;quiet;thick
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Environmental Phenomena,storm,strong;big;wild;dangerous;fast;dark;loud;wet;cold;sudden
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Environmental Phenomena,thunder,loud;strong;deep;sudden;scary;big;rare;wild;hot;bad
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;cold;wet;big;quiet;natural;daily
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Environmental Phenomena,volcano,big;active;dangerous;hot;old;high;rare;wild;deep;black
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Environmental Phenomena,wind,strong;cold;hot;fast;light;wild;quiet;dry;wet;steady
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Food Items,apple,red;green;big;small;fresh;sweet;juicy;ripe;hard;bad
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Food Items,banana,yellow;big;small;fresh;sweet;ripe;soft;long;bad;green
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Food Items,beef,fresh;cooked;red;tough;tender;big;hot;cold;bad;lean
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Food Items,bread,fresh;old;soft;hard;white;brown;warm;big;simple;bad
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Food Items,broccoli,green;fresh;big;small;healthy;raw;cooked;soft;bad;crisp
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;fresh;old;strong;mild;bad;creamy
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Food Items,chicken,fresh;cooked;white;brown;big;small;tender;hot;cold;bad
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Food Items,egg,fresh;big;small;white;brown;hard;soft;raw;cooked;bad
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Food Items,fish,fresh;big;small;wild;cooked;silver;cold;wet;bad;tasty
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Food Items,pasta,hot;cold;soft;hard;fresh;dry;simple;big;small;bad
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Food Items,rice,white;brown;cooked;raw;soft;hard;fresh;dry;simple;bad
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Food Items,soup,hot;cold;thick;thin;fresh;tasty;simple;big;small;bad
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Human Roles,artist,young;old;talented;creative;famous;good;bad;busy;quiet;happy
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Human Roles,athlete,strong;fast;young;old;good;bad;fit;active;famous;tired
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Human Roles,chef,good;bad;young;old;busy;creative;famous;skilled;happy;tired
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Human Roles,doctor,good;bad;young;old;busy;skilled;kind;famous;helpful;tired
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Human Roles,engineer,good;bad;young;old;skilled;busy;creative;smart;helpful;famous
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Human Roles,farmer,old;young;busy;strong;good;bad;simple;hard-working;happy;tired
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Human Roles,lawyer,good;bad;young;old;busy;smart;famous;skilled;helpful;strict
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Human Roles,musician,good;bad;young;old;talented;famous;busy;creative;happy;tired
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Human Roles,scientist,smart;good;bad;young;old;busy;creative;famous;helpful;curious
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Human Roles,soldier,strong;brave;young;old;good;bad;trained;tired;loyal
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Human Roles,teacher,good;bad;young;old;kind;strict;busy;helpful;patient;smart
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Human Roles,writer,good;bad;young;old;creative;famous;busy;talented;happy;quiet
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Inanimate Objects,book,old;new;big;small;interesting;boring;thick;thin;colorful;cheap
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Inanimate Objects,bridge,old;new;big;strong;high;long;metal;stone;broken;safe
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Inanimate Objects,drums,big;small;loud;old;new;wooden;metal;broken;simple;colorful
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Inanimate Objects,earth,big;round;green;blue;old;beautiful;dry;wet;hot;cold
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Inanimate Objects,flute,small;long;old;new;wooden;metal;simple;broken;shiny;sweet
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Inanimate Objects,key,small;old;new;metal;shiny;broken;simple;black;silver;lost
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Inanimate Objects,knife,sharp;dull;small;big;old;new;metal;wooden;broken;clean
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Inanimate Objects,lock,old;new;small;big;metal;broken;simple;strong;shiny;rusty
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Inanimate Objects,moon,big;bright;full;dark;old;beautiful;cold;round;quiet;distant
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Inanimate Objects,pen,small;old;new;black;blue;broken;simple;cheap;shiny;good
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Inanimate Objects,sun,big;bright;hot;yellow;warm;strong;beautiful;daily;high;clear
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Inanimate Objects,sword,sharp;big;old;new;metal;heavy;shiny;broken;simple;strong
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Neutral Animals,cat,small;big;black;white;wild;tame;lazy;active;cute;old
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Neutral Animals,dog,big;small;friendly;wild;old;young;loyal;active;cute;strong
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Neutral Animals,dolphin,big;smart;fast;wild;friendly;gray;playful;active;deep;rare
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Neutral Animals,elephant,big;gray;strong;wild;old;smart;heavy;slow;friendly;rare
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Neutral Animals,hamster,small;cute;fast;wild;tame;brown;active;playful;quiet;young
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Neutral Animals,monkey,small;clever;wild;fast;playful;brown;active;noisy;young;funny
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Neutral Animals,mouse,small;gray;fast;wild;quiet;shy;active;clever;young;dirty
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Neutral Animals,peacock,big;colorful;wild;beautiful;proud;active;rare;noisy;old;shiny
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Neutral Animals,rabbit,small;white;fast;wild;tame;cute;active;shy;young;soft
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Neutral Animals,shark,big;dangerous;fast;wild;gray;strong;scary;deep;rare;hungry
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Neutral Animals,snake,long;dangerous;wild;green;black;fast;scary;quiet;rare;smooth
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Neutral Animals,whale,big;gray;wild;strong;deep;rare;smart;slow;friendly;old
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Places,city,big;small;busy;old;new;noisy;clean;dirty;beautiful;modern
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Places,desert,big;dry;hot;sandy;empty;wild;quiet;yellow;rare;harsh
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Places,forest,big;green;dark;wild;quiet;old;beautiful;dense;wet;cool
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Places,island,small;big;green;tropical;wild;beautiful;quiet;remote;sunny;rocky
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Places,lake,big;small;blue;deep;clear;cold;quiet;beautiful;fresh;wild
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Places,mountain,big;high;rocky;cold;green;wild;beautiful;steep;old;snowy
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Places,ocean,big;deep;blue;wild;cold;wet;beautiful;vast;salty;strong
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Places,plain,big;flat;green;dry;open;wild;quiet;simple;vast;empty
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Places,plateau,high;flat;rocky;dry;big;wild;quiet;beautiful;old;empty
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Places,river,big;small;blue;fast;deep;wild;clear;dirty;long;cold
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Places,valley,deep;green;beautiful;quiet;wide;narrow;wild;sunny;fertile;cool
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Places,village,small;old;quiet;simple;green;beautiful;remote;friendly;poor;rich
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Plants,cactus,big;small;green;spiky;dry;wild;rare;tough;simple;old
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Plants,eggplant,purple;big;small;fresh;soft;raw;cooked;healthy;simple;bad
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Plants,flower,beautiful;small;big;colorful;fresh;wild;simple;red;yellow;sweet
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Plants,grass,green;tall;short;wet;dry;soft;wild;fresh;simple;thick
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Plants,lettuce,green;fresh;crisp;raw;big;small;healthy;simple;wet;bad
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Plants,mushroom,small;big;white;wild;fresh;raw;cooked;simple;rare;bad
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Plants,onion,big;small;white;red;fresh;raw;cooked;strong;simple;bad
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Plants,pepper,red;green;small;big;fresh;hot;raw;cooked;simple;bad
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Plants,potato,big;small;brown;fresh;raw;cooked;soft;hard;simple;bad
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Plants,rose,red;beautiful;fresh;wild;simple;big;small;sweet;thorny;old
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Plants,tomato,red;green;big;small;fresh;juicy;raw;cooked;simple;bad
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Plants,tree,big;small;green;old;tall;wild;strong;beautiful;simple;dead
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Social Relationships,ally,strong;true;good;reliable;helpful;loyal;smart;brave;old;new
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Social Relationships,brother,young;old;strong;kind;funny;helpful;loyal;smart;tall;quiet
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Social Relationships,enemy,strong;bad;dangerous;old;new;clever;fierce;hidden;real;big
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Social Relationships,father,old;young;strong;kind;strict;helpful;smart;tall;busy;loving
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Social Relationships,follower,loyal;strong;young;old;faithful;helpful;brave;smart;quiet;active
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Social Relationships,friend,good;true;loyal;helpful;funny;kind;old;young;smart;reliable
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Social Relationships,leader,strong;good;smart;brave;old;young;loyal;helpful;famous;strict
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Social Relationships,mother,kind;loving;old;young;busy;helpful;smart;strong;patient;caring
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Social Relationships,partner,good;reliable;strong;helpful;smart;loyal;young;old;active;kind
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Social Relationships,rival,strong;tough;smart;bad;fierce;old;young;competitive;dangerous;big
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Social Relationships,sister,young;old;kind;funny;helpful;smart;tall;quiet;loving;active
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Social Relationships,stranger,unknown;strange;new;old;dangerous;friendly;quiet;tall;short;mysterious
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Spatial Concepts,above,high;clear;bright;open;free;safe;warm;cool;simple;direct
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Spatial Concepts,back,strong;weak;straight;curved;old;new;clean;dirty;simple;hidden
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Spatial Concepts,below,low;dark;hidden;deep;cold;wet;quiet;simple;safe;narrow
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Spatial Concepts,east,sunny;warm;distant;open;free;simple;clear;bright;old;new
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Spatial Concepts,front,clear;open;straight;wide;simple;strong;clean;dirty;high;low
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Spatial Concepts,inside,warm;safe;dark;bright;quiet;simple;clean;dirty;small;big
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Spatial Concepts,left,free;open;clear;simple;strong;weak;high;low;clean;dirty
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Spatial Concepts,north,cold;wild;open;free;simple;clear;bright;distant;old;new
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Spatial Concepts,outside,cold;hot;open;free;simple;clear;bright;dirty;clean;wild
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Spatial Concepts,right,correct;strong;clear;simple;free;open;high;low;clean;dirty
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Spatial Concepts,south,warm;sunny;open;free;simple;clear;bright;distant;old;new
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Spatial Concepts,west,wild;open;free;simple;clear;bright;distant;old;new;cool
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Time Concepts,century,long;old;new;great;simple;full;dark;bright;important;forgotten
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Time Concepts,day,long;short;bright;dark;busy;quiet;warm;cold;simple;special
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Time Concepts,evening,quiet;dark;cool;long;short;beautiful;simple;warm;busy;relaxing
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Time Concepts,hour,long;short;busy;quiet;early;late;simple;full;dark;bright
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Time Concepts,minute,short;long;quick;slow;simple;full;early;late;quiet;busy
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Time Concepts,month,long;short;busy;quiet;warm;cold;simple;full;new;old
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Time Concepts,morning,early;fresh;bright;cool;quiet;busy;simple;warm;clear;new
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Time Concepts,night,dark;quiet;long;short;cold;warm;simple;full;scary;beautiful
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Time Concepts,season,long;short;warm;cold;wet;dry;simple;full;beautiful;harsh
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Time Concepts,second,short;quick;simple;full;early;late;quiet;busy;fast;slow
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Time Concepts,week,long;short;busy;quiet;simple;full;new;old;warm;cold
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Time Concepts,year,long;short;new;old;busy;quiet;simple;full;good;bad
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Abstract Concepts,anger,strong;intense;sudden;deep;blind;hot;raw;bitter;quick;furious
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Abstract Concepts,courage,brave;strong;great;true;quiet;bold;sudden;pure;simple;firm
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Abstract Concepts,fear,great;deep;sudden;dark;cold;strong;quiet;real;quick;blind
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Abstract Concepts,freedom,great;true;full;simple;pure;strong;new;quiet;wide;open
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Abstract Concepts,happiness,great;pure;simple;true;deep;quiet;full;warm;bright;real
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Abstract Concepts,hate,strong;deep;blind;bitter;pure;quick;dark;cold;intense;raw
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Abstract Concepts,honesty,true;pure;simple;full;quiet;strong;real;clear;direct;firm
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Abstract Concepts,justice,true;fair;strong;pure;simple;blind;quick;full;real;firm
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Abstract Concepts,knowledge,great;deep;wide;true;simple;pure;strong;real;clear;full
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Abstract Concepts,love,true;deep;pure;strong;warm;simple;great;quiet;real;blind
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Abstract Concepts,peace,quiet;true;deep;full;simple;pure;strong;warm;real;firm
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Abstract Concepts,wisdom,great;deep;true;simple;pure;strong;quiet;clear;full;real
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;clear;metal;round;shiny;broken
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Cultural Artifacts,candle,small;big;old;new;white;red;long;short;warm;soft
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Cultural Artifacts,carpet,big;small;old;new;soft;thick;red;blue;dirty;clean
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Cultural Artifacts,coin,small;old;new;shiny;gold;silver;round;heavy;rare;dirty
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Cultural Artifacts,crown,big;old;new;gold;heavy;shiny;royal;simple;broken;fine
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Cultural Artifacts,flag,big;small;old;new;red;blue;national;high;clean;torn
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Cultural Artifacts,mask,small;big;old;new;black;white;funny;scary;soft;hard
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Cultural Artifacts,necklace,small;big;old;new;gold;silver;shiny;long;short;fine
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Cultural Artifacts,painting,big;small;old;new;beautiful;colorful;dark;bright;simple;fine
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Cultural Artifacts,ring,small;big;old;new;gold;silver;shiny;round;fine;broken
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Cultural Artifacts,statue,big;small;old;new;stone;metal;tall;fine;broken;quiet
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Cultural Artifacts,vase,big;small;old;new;glass;ceramic;tall;fine;broken;colorful
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Environmental Phenomena,cloud,big;small;white;dark;high;low;soft;light;fast;cold
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Environmental Phenomena,earthquake,strong;big;sudden;deep;dangerous;rare;violent;quick;real;bad
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Environmental Phenomena,fog,thick;light;cold;wet;gray;low;quiet;early;dense;soft
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Environmental Phenomena,lightning,bright;fast;sudden;strong;dangerous;white;quick;real;hot;wild
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Environmental Phenomena,rain,heavy;light;cold;warm;steady;sudden;wet;soft;long;hard
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Environmental Phenomena,rainbow,bright;colorful;beautiful;wide;high;clear;rare;full;simple;natural
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;fresh;light;wet;heavy;pure;quiet
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Environmental Phenomena,storm,strong;big;wild;dangerous;sudden;dark;loud;fast;cold;real
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;deep;scary;real;long;quick;dark;wild
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Environmental Phenomena,tide,high;low;strong;fast;cold;wet;full;quiet;deep;wild
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Environmental Phenomena,volcano,big;active;dangerous;hot;old;high;real;wild;deep;rare
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Environmental Phenomena,wind,strong;light;cold;warm;fast;quiet;wild;fresh;dry;wet
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Food Items,apple,red;green;big;small;fresh;sweet;juicy;ripe;hard;sour
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Food Items,banana,yellow;big;small;fresh;sweet;ripe;soft;long;curved;green
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Food Items,beef,fresh;cooked;red;tough;tender;hot;cold;lean;fatty;raw
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Food Items,bread,fresh;old;soft;hard;white;brown;warm;hot;dry;sweet
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Food Items,broccoli,green;fresh;big;small;raw;cooked;healthy;soft;hard;bitter
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Food Items,cheese,yellow;white;soft;hard;fresh;old;strong;mild;creamy;salty
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Food Items,chicken,fresh;cooked;white;brown;tender;juicy;hot;cold;raw;fatty
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Food Items,egg,fresh;old;white;brown;big;small;hard;soft;raw;cooked
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Food Items,fish,fresh;big;small;wild;farmed;salty;sweet;raw;cooked;silver
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Food Items,pasta,hot;cold;fresh;dry;soft;hard;long;short;white;tasty
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Food Items,rice,white;brown;cooked;raw;soft;hard;hot;cold;dry;sticky
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Food Items,soup,hot;cold;thick;thin;fresh;tasty;salty;spicy;clear;creamy
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Human Roles,artist,young;old;talented;creative;famous;good;bad;quiet;busy;skilled
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Human Roles,athlete,strong;fast;young;old;skilled;famous;fit;good;tired;active
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Human Roles,chef,good;young;old;skilled;busy;famous;creative;quick;clean;talented
grok-3-mini,think-in-native,0.0,DE # German,B2,most frequent,Human Roles,doctor,good;young;old;skilled;busy;kind;smart;tired;helpful;professional
