Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,anger,strong;bad;big;quick;deep;hot;bitter;furious;intense;sudden
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,volcano,big;hot;dangerous;active;old;high;dark;strong;deep;scary
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;light;warm;quiet;big;wet;dry;soft
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Food Items,apple,red;green;big;small;sweet;fresh;juicy;hard;ripe;bad
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Food Items,banana,yellow;big;small;sweet;fresh;soft;ripe;long;green;bad
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Food Items,beef,fresh;cooked;big;red;tough;soft;hot;cold;good;bad
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Food Items,bread,fresh;soft;warm;big;small;white;brown;hard;tasty;old
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Food Items,broccoli,green;fresh;big;small;hard;soft;healthy;cooked;raw;bad
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Food Items,cheese,yellow;soft;hard;fresh;tasty;big;small;strong;mild;cold
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Food Items,chicken,fresh;cooked;big;small;white;brown;soft;hot;cold;tasty
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Food Items,egg,fresh;big;small;white;brown;hard;soft;cooked;raw;bad
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Food Items,fish,fresh;big;small;silver;tasty;cooked;raw;cold;wet;good
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Food Items,pasta,hot;soft;fresh;big;small;tasty;cooked;dry;white;simple
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Food Items,rice,white;cooked;hot;soft;fresh;big;small;sticky;dry;tasty
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Food Items,soup,hot;cold;tasty;fresh;thick;thin;clear;creamy;good;bad
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Human Roles,artist,creative;talented;young;old;famous;good;busy;happy;skilled;quiet
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Human Roles,athlete,strong;fast;young;fit;good;famous;active;tall;skilled;competitive
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Human Roles,chef,good;busy;talented;young;old;famous;creative;skilled;happy;fast
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Human Roles,doctor,good;busy;young;old;skilled;helpful;famous;kind;smart;tired
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Human Roles,engineer,smart;busy;young;old;skilled;creative;good;famous;hard-working;technical
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Human Roles,farmer,hard-working;strong;old;young;busy;good;skilled;simple;happy;tired
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Human Roles,lawyer,smart;busy;good;young;old;skilled;famous;helpful;serious;professional
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Human Roles,musician,talented;young;old;famous;good;creative;skilled;happy;busy;energetic
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Human Roles,scientist,smart;curious;young;old;skilled;famous;good;busy;creative;serious
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Human Roles,soldier,strong;brave;young;trained;good;busy;serious;fit;loyal;tough
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Human Roles,teacher,good;patient;young;old;skilled;helpful;busy;kind;smart;creative
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Human Roles,writer,creative;talented;young;old;famous;good;busy;smart;quiet;skilled
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Inanimate Objects,book,old;new;big;small;interesting;thick;thin;colorful;good;bad
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Inanimate Objects,bridge,big;old;new;strong;high;long;metal;wooden;beautiful;broken
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Inanimate Objects,drums,big;small;loud;wooden;new;old;shiny;simple;fast;hard
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Inanimate Objects,earth,big;green;old;beautiful;round;wet;dry;hot;cold;rich
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Inanimate Objects,flute,small;wooden;shiny;old;new;sweet;simple;light;clear;soft
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Inanimate Objects,key,small;metal;old;new;shiny;simple;broken;black;silver;hard
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Inanimate Objects,knife,sharp;small;big;metal;old;new;shiny;simple;broken;clean
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Inanimate Objects,lock,small;metal;old;new;strong;simple;broken;shiny;hard;secure
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Inanimate Objects,moon,big;bright;full;round;white;cold;beautiful;old;dark;quiet
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Inanimate Objects,pen,small;black;new;old;simple;broken;shiny;cheap;good;fast
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Inanimate Objects,sun,big;bright;hot;yellow;warm;strong;beautiful;high;old;clear
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Inanimate Objects,sword,sharp;big;old;new;metal;shiny;strong;long;simple;broken
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Neutral Animals,cat,small;black;white;fast;lazy;cute;wild;old;young;soft
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Neutral Animals,dog,big;small;friendly;fast;loyal;wild;old;young;strong;cute
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Neutral Animals,dolphin,big;smart;fast;playful;wild;gray;beautiful;young;old;friendly
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Neutral Animals,elephant,big;strong;gray;wild;old;young;smart;slow;heavy;friendly
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Neutral Animals,hamster,small;cute;fast;furry;wild;young;old;playful;soft;simple
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Neutral Animals,monkey,small;smart;fast;wild;funny;young;old;playful;brown;active
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Neutral Animals,mouse,small;fast;gray;wild;cute;young;old;quiet;soft;simple
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Neutral Animals,peacock,beautiful;colorful;big;wild;proud;young;old;loud;active;shiny
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Neutral Animals,rabbit,small;fast;white;wild;cute;young;old;soft;playful;simple
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Neutral Animals,shark,big;dangerous;fast;wild;gray;strong;scary;young;old;sharp
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Neutral Animals,snake,long;dangerous;wild;green;fast;scary;young;old;smooth;simple
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Neutral Animals,whale,big;huge;wild;gray;fast;strong;old;young;beautiful;deep
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Places,city,big;busy;old;new;noisy;beautiful;modern;clean;dirty;crowded
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Places,desert,big;hot;dry;sandy;empty;wild;old;beautiful;quiet;harsh
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Places,forest,big;green;wild;dark;beautiful;old;quiet;dense;wet;cool
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Places,island,small;big;beautiful;green;wild;sunny;quiet;old;remote;sandy
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Places,lake,big;small;blue;clear;deep;cold;beautiful;quiet;wild;fresh
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Places,mountain,big;high;old;green;snowy;beautiful;wild;steep;cold;strong
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Places,ocean,big;deep;blue;cold;wild;beautiful;wet;vast;salty;strong
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Places,plain,big;flat;green;dry;open;wild;beautiful;quiet;vast;simple
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Places,plateau,high;flat;big;dry;wild;beautiful;old;green;quiet;rocky
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Places,river,long;wide;deep;fast;clean;wild;beautiful;cold;wet;strong
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Places,valley,deep;green;beautiful;wide;quiet;wild;old;sunny;cool;fertile
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Places,village,small;old;quiet;green;simple;beautiful;remote;clean;friendly;traditional
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Plants,cactus,big;small;green;spiky;dry;wild;old;simple;tough;beautiful
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Plants,eggplant,big;small;purple;fresh;soft;healthy;raw;cooked;shiny;long
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Plants,flower,beautiful;colorful;small;big;fresh;wild;sweet;simple;bright;soft
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Plants,grass,green;soft;fresh;long;short;wet;dry;wild;thick;simple
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Plants,lettuce,green;fresh;crisp;big;small;healthy;raw;soft;wet;simple
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Plants,mushroom,small;big;white;fresh;wild;soft;healthy;raw;cooked;simple
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Plants,onion,big;small;white;fresh;strong;raw;cooked;healthy;dry;simple
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Plants,pepper,red;green;small;big;fresh;hot;sweet;raw;cooked;simple
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Plants,potato,big;small;brown;fresh;hard;soft;raw;cooked;healthy;simple
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Plants,rose,red;beautiful;fresh;big;small;sweet;wild;soft;simple;thorny
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Plants,tomato,red;big;small;fresh;juicy;raw;cooked;healthy;soft;simple
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Plants,tree,big;old;green;tall;strong;wild;beautiful;simple;leafy;wooden
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Social Relationships,ally,strong;good;true;loyal;helpful;smart;brave;reliable;close;active
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Social Relationships,brother,young;old;strong;kind;funny;smart;helpful;loyal;tall;playful
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Social Relationships,enemy,bad;strong;dangerous;old;smart;cruel;powerful;hidden;active;real
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Social Relationships,father,old;strong;kind;smart;busy;loving;tall;helpful;serious;good
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Social Relationships,follower,loyal;active;young;old;strong;smart;helpful;brave;quiet;dedicated
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Social Relationships,friend,good;true;loyal;fun;smart;kind;close;young;old;helpful
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Social Relationships,leader,strong;smart;good;brave;active;famous;young;old;powerful;inspiring
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Social Relationships,mother,kind;loving;busy;smart;strong;young;old;helpful;caring;good
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Social Relationships,partner,good;reliable;smart;strong;loyal;active;close;helpful;young;old
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Social Relationships,rival,strong;smart;tough;active;dangerous;old;young;competitive;real;bad
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Social Relationships,sister,young;old;kind;smart;fun;helpful;loyal;beautiful;playful;caring
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Social Relationships,stranger,unknown;strange;new;scary;quiet;tall;old;young;mysterious;different
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Spatial Concepts,above,high;clear;bright;open;free;safe;warm;big;simple;direct
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Spatial Concepts,back,strong;wide;straight;old;new;clean;dirty;soft;hard;simple
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Spatial Concepts,below,low;dark;hidden;deep;cold;quiet;safe;small;wet;simple
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Spatial Concepts,east,sunny;warm;distant;old;new;big;quiet;beautiful;simple;rising
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Spatial Concepts,front,clear;open;wide;clean;new;old;strong;simple;bright;direct
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Spatial Concepts,inside,warm;safe;dark;quiet;small;big;clean;soft;hidden;simple
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Spatial Concepts,left,free;open;clear;dark;quiet;small;big;simple;hidden;cold
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Spatial Concepts,north,cold;wild;distant;big;quiet;beautiful;simple;high;old;new
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Spatial Concepts,outside,cold;wet;open;free;big;quiet;dark;simple;fresh;wild
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Spatial Concepts,right,correct;strong;clear;direct;good;simple;bright;open;free;true
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Spatial Concepts,south,warm;sunny;distant;big;quiet;beautiful;simple;low;old;new
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Spatial Concepts,west,distant;wild;big;quiet;beautiful;simple;old;new;dark;cool
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Time Concepts,century,long;old;new;great;important;full;simple;big;quiet;fast
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Time Concepts,day,long;short;bright;warm;busy;simple;good;bad;clear;full
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Time Concepts,evening,quiet;cool;long;short;beautiful;dark;simple;warm;relaxing;late
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Time Concepts,hour,long;short;busy;quiet;simple;full;early;late;good;bad
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Time Concepts,minute,short;quick;simple;full;busy;quiet;early;late;small;fast
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Time Concepts,month,long;short;busy;quiet;simple;full;warm;cold;good;bad
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Time Concepts,morning,fresh;bright;early;cool;simple;busy;quiet;clear;good;new
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Time Concepts,night,dark;quiet;long;cold;simple;beautiful;full;late;warm;scary
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Time Concepts,season,long;short;warm;cold;simple;full;beautiful;wet;dry;good
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Time Concepts,second,short;quick;simple;fast;full;quiet;early;late;small;important
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Time Concepts,week,long;short;busy;quiet;simple;full;good;bad;fast;clear
grok-3-mini,think-in-native,0.0,TR # Turkish,B1,most frequent,Time Concepts,year,long;short;new;old;full;simple;good;bad;busy;quiet
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Abstract Concepts,anger,intense;sudden;deep;boiling;blind;raw;bitter;explosive;fierce;uncontrollable
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Abstract Concepts,courage,brave;strong;bold;fearless;heroic;steady;quiet;great;true;inspiring
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Abstract Concepts,fear,deep;sudden;cold;dark;overwhelming;hidden;real;sharp;constant;irrational
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Abstract Concepts,freedom,total;real;sweet;hard-won;absolute;personal;wild;basic;true;unlimited
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Abstract Concepts,happiness,pure;simple;great;lasting;warm;true;sudden;deep;everyday;shared
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Abstract Concepts,hate,bitter;deep;blind;strong;pure;cold;intense;endless;dark;irrational
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Abstract Concepts,honesty,
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Abstract Concepts,justice,fair;true;blind;swift;equal;pure;strong;basic;clear;final
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Abstract Concepts,knowledge,deep;wide;useful;secret;basic;true;practical;ancient;clear;shared
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Abstract Concepts,love,true;deep;pure;strong;blind;warm;endless;simple;passionate;faithful
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Abstract Concepts,peace,quiet;deep;lasting;true;inner;perfect;sweet;total;warm;global
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Abstract Concepts,wisdom,great;ancient;deep;practical;true;simple;clear;old;sharp;natural
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Cultural Artifacts,bell,loud;old;small;clear;ringing;metal;broken;shiny;ancient;simple
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Cultural Artifacts,candle,small;burning;warm;scented;old;white;soft;tall;simple;flickering
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Cultural Artifacts,carpet,soft;old;colorful;thick;woven;dirty;fine;large;patterned;warm
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Cultural Artifacts,coin,old;shiny;small;gold;rare;dirty;metal;ancient;heavy;fake
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Cultural Artifacts,crown,golden;royal;heavy;old;shining;jeweled;big;ancient;simple;broken
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Cultural Artifacts,flag,national;colorful;waving;old;proud;large;torn;bright;simple;red
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Cultural Artifacts,mask,scary;colorful;old;wooden;funny;black;protective;simple;hidden;plastic
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Cultural Artifacts,necklace,shiny;gold;long;beautiful;old;simple;broken;colorful;heavy;cheap
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;large;famous;simple;dark;modern;detailed;bright
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Cultural Artifacts,ring,gold;shiny;small;old;simple;broken;jeweled;heavy;cheap;silver
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Cultural Artifacts,statue,tall;old;stone;broken;famous;large;beautiful;simple;ancient;metal
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Cultural Artifacts,vase,old;beautiful;broken;colorful;tall;simple;glass;decorative;small;fine
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Environmental Phenomena,cloud,white;fluffy;dark;high;moving;light;gray;big;rainy;soft
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Environmental Phenomena,earthquake,strong;sudden;destructive;deep;violent;major;minor;scary;rare;powerful
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Environmental Phenomena,fog,thick;gray;cold;heavy;morning;mysterious;wet;low;dense;silent
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Environmental Phenomena,lightning,bright;fast;dangerous;sudden;powerful;white;scary;electric;rare;wild
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Environmental Phenomena,rain,heavy;light;cold;warm;steady;sudden;soft;hard;fresh;endless
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Environmental Phenomena,rainbow,colorful;bright;beautiful;rare;wide;clear;magical;short;full;fading
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Environmental Phenomena,snow,white;soft;cold;deep;fresh;light;heavy;wet;pure;falling
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Environmental Phenomena,storm,violent;strong;wild;dark;sudden;big;rainy;windy;scary;long
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Environmental Phenomena,thunder,loud;deep;scary;sudden;powerful;distant;rolling;strong;electric;constant
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Environmental Phenomena,tide,high;low;strong;fast;rising;falling;cold;wild;daily;powerful
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Environmental Phenomena,volcano,active;dangerous;huge;sleeping;hot;ancient;explosive;tall;rare;fiery
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Environmental Phenomena,wind,strong;cold;warm;gentle;wild;fast;steady;light;blowing;northern
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Food Items,apple,red;fresh;sweet;juicy;green;big;small;ripe;sour;hard
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Food Items,banana,yellow;ripe;sweet;long;soft;green;fresh;small;curved;tasty
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Food Items,beef,fresh;cooked;tender;lean;red;tough;grilled;cheap;fatty;hot
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Food Items,bread,fresh;soft;warm;white;brown;hard;sliced;tasty;cheap;daily
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Food Items,broccoli,green;fresh;crunchy;healthy;steamed;small;raw;big;cooked;bitter
grok-3-mini,think-in-native,0.0,TR # Turkish,B2,most frequent,Food Items,cheese,yellow;soft;hard;tasty;fresh;melted;sharp;creamy;cheap;strong
