Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,anger,intense;blind;raw;sudden;deep;boiling;righteous;suppressed;explosive;quiet
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,freedom,absolute;personal;political;hard-won;true;limited;economic;spiritual;unrestricted;basic
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,freedom,absolute;personal;political;hard-won;unrestricted;basic;fleeting;true;economic;spiritual
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,freedom,absolute;personal;hard-won;true;unlimited;basic;newfound;restricted;individual;collective
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,freedom,absolute;hard-won;personal;unrestricted;true;basic;newfound;limitless;cherished;democratic
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,freedom,absolute;personal;political;hard-won;unrestricted;basic;economic;spiritual;fleeting;true
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,happiness,pure;lasting;fleeting;genuine;overwhelming;simple;inner;shared;radiant;quiet
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,happiness,pure;lasting;simple;genuine;fleeting;profound;everyday;shared;inner;radiant
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,happiness,pure;lasting;simple;genuine;fleeting;overwhelming;quiet;shared;inner;radiant
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,happiness,pure;lasting;simple;genuine;fleeting;radiant;inner;contagious;profound;everyday
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,happiness,pure;lasting;simple;genuine;fleeting;profound;inner;shared;radiant;unexpected
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,hate,intense;blind;deep;irrational;burning;mutual;simmering;racial;personal;destructive
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,hate,intense;blind;deep;irrational;bitter;enduring;mutual;simmering;violent;unspoken
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,hate,intense;deep-seated;blind;irrational;burning;mutual;simmering;bitter;unfounded;enduring
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,hate,bitter;intense;deep-seated;irrational;burning;blind;festering;mutual;unspoken;destructive
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,hate,intense;deep-seated;irrational;bitter;blind;simmering;destructive;mutual;unspoken;fierce
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,honesty,brutal;complete;refreshing;rare;straightforward;unwavering;painful;absolute;heartfelt;transparent
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,honesty,brutal;complete;refreshing;rare;straightforward;unwavering;painful;absolute;heartfelt;transparent
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,honesty,brutal;unwavering;complete;refreshing;painful;straightforward;rare;absolute;heartfelt;transparent
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,honesty,brutal;unwavering;refreshing;absolute;straightforward;rare;heartfelt;transparent;genuine;uncompromising
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,honesty,brutal;complete;refreshing;rare;straightforward;unwavering;painful;absolute;heartfelt;transparent
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,justice,swift;blind;social;poetic;true;delayed;equal;restorative;criminal;divine
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,justice,swift;blind;social;poetic;true;delayed;equal;restorative;criminal;divine
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,justice,swift;blind;social;poetic;true;delayed;equal;restorative;divine;imperfect
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,justice,swift;blind;social;poetic;true;restorative;equal;divine;impartial;delayed
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,justice,swift;blind;social;poetic;restorative;equal;divine;criminal;moral;imperfect
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,knowledge,vast;practical;theoretical;ancient;hidden;shared;profound;basic;specialized;forbidden
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,knowledge,vast;practical;ancient;secret;theoretical;shared;profound;basic;acquired;forbidden
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,knowledge,vast;practical;ancient;hidden;theoretical;profound;basic;shared;specialized;timeless
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,knowledge,vast;practical;ancient;hidden;theoretical;profound;specialized;shared;innate;cutting-edge
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,knowledge,vast;practical;ancient;secret;theoretical;profound;basic;shared;forbidden;essential
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,love,unconditional;passionate;enduring;platonic;romantic;selfless;forbidden;deep;fleeting;familial
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,love,unconditional;passionate;enduring;platonic;forbidden;pure;romantic;familial;intense;selfless
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,love,unconditional;passionate;enduring;pure;forbidden;deep;fleeting;mutual;selfless;romantic
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,love,unconditional;passionate;enduring;forbidden;pure;romantic;selfless;fleeting;deep;platonic
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,love,unconditional;passionate;enduring;platonic;romantic;selfless;fleeting;deep;familial;intense
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,peace,inner;lasting;fragile;global;quiet;temporary;spiritual;absolute;negotiated;serene
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,peace,inner;lasting;fragile;global;quiet;negotiated;spiritual;temporary;profound;absolute
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,peace,inner;lasting;fragile;global;quiet;temporary;profound;uneasy;spiritual;absolute
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,peace,inner;lasting;fragile;global;quiet;temporary;profound;negotiated;spiritual;absolute
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,peace,inner;lasting;fragile;global;quiet;temporary;spiritual;absolute;negotiated;serene
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,wisdom,ancient;profound;practical;timeless;innate;hard-earned;spiritual;simple;shared;intuitive
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,wisdom,ancient;profound;practical;innate;hard-earned;timeless;intuitive;worldly;shared;quiet
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,wisdom,ancient;profound;practical;timeless;intuitive;hard-earned;simple;deep;worldly;innate
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,wisdom,ancient;profound;practical;timeless;intuitive;hard-earned;innate;worldly;deep;enlightened
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,wisdom,ancient;profound;practical;innate;hard-earned;timeless;intuitive;shared;worldly;quiet
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,bell,loud;ringing;antique;small;golden;cracked;electronic;decorative;handheld;church
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,bell,loud;clear;ringing;antique;small;large;golden;silver;electronic;church
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,bell,loud;ringing;old;golden;antique;small;church;decorative;broken;handheld
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,bell,ringing;antique;loud;small;golden;church;handheld;cracked;electronic;ornate
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,bell,ringing;ancient;small;golden;cracked;loud;decorative;handheld;church;electronic
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,candle,flickering;scented;tall;waxen;decorative;birthday;emergency;colored;melted;aromatic
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,candle,flickering;scented;tall;short;waxen;decorative;aromatic;colored;melted;traditional
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,candle,flickering;scented;tall;waxen;decorative;birthday;melted;aromatic;colored;emergency
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,candle,flickering;scented;tall;beeswax;decorative;melted;birthday;emergency;colored;slender
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,candle,flickering;scented;tall;waxen;decorative;birthday;emergency;aromatic;colored;melted
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,carpet,soft;woolen;patterned;thick;oriental;worn;colorful;synthetic;rolled;antique
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,carpet,soft;woolen;patterned;thick;worn;colorful;oriental;synthetic;plush;antique
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,carpet,soft;woolen;patterned;thick;antique;colorful;worn;oriental;synthetic;plush
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,carpet,plush;patterned;woolen;worn;oriental;thick;colorful;synthetic;rolled;antique
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,carpet,soft;woolen;patterned;thick;antique;colorful;rolled;synthetic;oriental;stained
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,coin,shiny;ancient;rare;gold;silver;counterfeit;foreign;minted;heavy;commemorative
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,coin,ancient;shiny;rare;gold;silver;counterfeit;old;foreign;valuable;engraved
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,coin,ancient;shiny;rare;gold;silver;counterfeit;foreign;old;valuable;engraved
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,coin,shiny;ancient;rare;gold;counterfeit;foreign;tarnished;commemorative;small;silver
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,coin,shiny;ancient;rare;gold;silver;counterfeit;foreign;minted;small;engraved
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,crown,golden;royal;jeweled;ceremonial;ancient;heavy;symbolic;ornate;imperial;simple
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,crown,golden;royal;jeweled;ancient;ceremonial;heavy;ornate;symbolic;imperial;stolen
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,crown,golden;royal;jeweled;ancient;ceremonial;heavy;ornate;symbolic;stolen;imperial
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,crown,golden;royal;jeweled;ceremonial;ancient;ornate;symbolic;heavy;makeshift;imperial
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,crown,golden;royal;jeweled;ceremonial;ancient;heavy;symbolic;ornate;imperial;simple
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,flag,national;waving;colorful;tattered;symbolic;foreign;printed;historical;large;striped
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,flag,national;waving;colorful;tattered;symbolic;foreign;proud;historical;striped;faded
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,flag,national;waving;colorful;tattered;symbolic;foreign;proud;historical;faded;official
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,flag,national;waving;colorful;tattered;symbolic;foreign;printed;large;faded;patriotic
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,flag,national;waving;colorful;tattered;symbolic;foreign;printed;large;historical;striped
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,mask,protective;decorative;theatrical;facial;anonymous;colorful;medical;carved;festive;eerie
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,mask,decorative;protective;mysterious;facial;ancient;colorful;theatrical;disposable;carved;hidden
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,mask,protective;decorative;theatrical;mysterious;facial;ancient;creepy;surgical;painted;disposable
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,mask,protective;decorative;theatrical;facial;anonymous;carved;medical;colorful;traditional;eerie
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,mask,protective;decorative;facial;theatrical;anonymous;colorful;surgical;carved;festive;eerie
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,necklace,pearl;golden;beaded;elegant;antique;simple;layered;sparkling;handmade;choker
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,necklace,sparkling;gold;pearl;antique;simple;elegant;beaded;silver;layered;handmade
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,necklace,golden;pearl;antique;beaded;elegant;simple;diamond;handmade;long;silver
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,necklace,pearl;gold;beaded;elegant;antique;simple;layered;diamond;handmade;choker
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,necklace,golden;beaded;elegant;simple;antique;pearl;layered;sparkling;handmade;delicate
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,painting,vibrant;abstract;detailed;landscape;portrait;modern;faded;oil;watercolor;framed
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,painting,vibrant;abstract;detailed;famous;modern;antique;landscape;portrait;colorful;framed
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,painting,vibrant;abstract;detailed;antique;modern;landscape;portrait;colorful;faded;masterful
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,painting,vibrant;abstract;detailed;landscape;modern;oil;framed;portrait;faded;impressionist
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,painting,vibrant;abstract;detailed;famous;landscape;modern;oil;portrait;faded;impressive
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,ring,golden;engagement;simple;diamond;antique;silver;oversized;engraved;wedding;signet
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,ring,golden;diamond;engagement;antique;simple;engraved;silver;oversized;wedding;magical
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,ring,golden;engagement;antique;simple;diamond;silver;oversized;engraved;wedding;magical
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,ring,engagement;golden;silver;diamond;simple;antique;oversized;wedding;etched;signet
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,ring,golden;engagement;simple;antique;diamond;silver;decorative;oversized;engraved;plain
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,statue,marble;towering;ancient;bronze;heroic;modern;weathered;decorative;lifelike;stone
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,statue,towering;bronze;ancient;marble;heroic;damaged;modern;commemorative;lifelike;forgotten
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,statue,ancient;towering;bronze;marble;historical;damaged;modern;heroic;decorative;forgotten
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,statue,towering;bronze;ancient;marble;heroic;modern;weathered;commemorative;lifelike;decorative
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,statue,towering;bronze;ancient;marble;heroic;modern;damaged;lifelike;commemorative;elegant
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,vase,ornate;ceramic;glass;antique;floral;tall;decorative;cracked;colorful;crystal
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,vase,ornate;ceramic;antique;tall;decorative;glass;floral;cracked;elegant;painted
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,vase,antique;ceramic;decorative;tall;fragile;floral;glass;painted;ornate;broken
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,vase,ceramic;antique;floral;tall;glass;decorative;cracked;ornate;colorful;crystal
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,vase,ornate;ceramic;tall;decorative;antique;floral;glass;simple;painted;fragile
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,cloud,fluffy;dark;wispy;stormy;white;drifting;low;cumulus;rainy;high
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Environmental Phenomena,cloud,fluffy;dark;wispy;stormy;white;drifting;low;cumulus;rainy;expansive
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Environmental Phenomena,cloud,fluffy;dark;wispy;stormy;white;drifting;low;cumulus;rainy;high
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Environmental Phenomena,cloud,fluffy;dark;drifting;stormy;wispy;low-hanging;cumulus;billowing;gray;puffy
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Environmental Phenomena,cloud,fluffy;dark;wispy;stormy;white;drifting;low;cumulus;rainy;expansive
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,earthquake,massive;destructive;shallow;powerful;sudden;minor;tectonic;devastating;underground;seismic
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Environmental Phenomena,earthquake,devastating;sudden;powerful;minor;seismic;destructive;underground;frequent;shallow;tectonic
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Environmental Phenomena,earthquake,massive;destructive;sudden;shallow;powerful;minor;tectonic;devastating;frequent;underground
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Environmental Phenomena,earthquake,devastating;minor;seismic;sudden;powerful;underground;destructive;shallow;frequent;tectonic
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Environmental Phenomena,earthquake,massive;sudden;destructive;shallow;powerful;minor;tectonic;devastating;frequent;underground
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,fog,thick;dense;morning;eerie;coastal;rolling;light;persistent;chilly;mysterious
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Environmental Phenomena,fog,thick;dense;misty;morning;chilling;rolling;persistent;light;coastal;eerie
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Environmental Phenomena,fog,thick;dense;misty;rolling;early;chilling;persistent;light;coastal;mysterious
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Environmental Phenomena,fog,thick;dense;morning;eerie;rolling;coastal;persistent;light;mysterious;chilling
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Environmental Phenomena,fog,thick;dense;morning;mysterious;coastal;chilling;persistent;light;rolling;eerie
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,lightning,bright;forked;sudden;electrical;distant;striking;powerful;nighttime;heat;vivid
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Environmental Phenomena,lightning,bright;forked;sudden;electrical;distant;striking;powerful;nighttime;dangerous;vivid
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Environmental Phenomena,lightning,bright;forked;sudden;striking;electrical;distant;powerful;heat;nighttime;dangerous
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Environmental Phenomena,lightning,jagged;bright;forked;sudden;distant;electrical;spectacular;frequent;silent;intense
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Environmental Phenomena,lightning,bright;forked;sudden;electrical;distant;powerful;striking;nighttime;frequent;dramatic
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,rain,heavy;light;steady;torrential;gentle;seasonal;cold;warm;persistent;refreshing
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Environmental Phenomena,rain,heavy;light;steady;pouring;gentle;seasonal;cold;tropical;refreshing;relentless
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Environmental Phenomena,rain,heavy;light;steady;pouring;gentle;seasonal;cold;tropical;relentless;misty
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Environmental Phenomena,rain,heavy;light;steady;torrential;gentle;seasonal;cold;refreshing;monsoon;drizzling
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Environmental Phenomena,rain,heavy;light;steady;pouring;gentle;seasonal;cold;tropical;relentless;misty
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,rainbow,vibrant;colorful;double;faint;arched;post-rain;spectacular;fleeting;wide;natural
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Environmental Phenomena,rainbow,vibrant;colorful;double;faint;arched;post-rain;spectacular;fleeting;natural;full
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Environmental Phenomena,rainbow,vibrant;colorful;double;faint;arched;post-rain;spectacular;fleeting;wide;natural
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Environmental Phenomena,rainbow,vibrant;double;faint;colorful;arched;post-rain;spectacular;fleeting;full;hazy
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Environmental Phenomena,rainbow,vibrant;colorful;double;faint;arched;post-rain;spectacular;fleeting;wide;natural
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,snow,fresh;powdery;heavy;melting;deep;fluffy;wet;seasonal;pristine;drifting
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Environmental Phenomena,snow,fresh;powdery;heavy;melting;deep;fluffy;wet;seasonal;pristine;drifting
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Environmental Phenomena,snow,fresh;heavy;powdery;melting;deep;fluffy;wet;seasonal;drifting;icy
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Environmental Phenomena,snow,fresh;powdery;heavy;melting;deep;fluffy;wet;drifting;pristine;compacted
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Environmental Phenomena,snow,fresh;deep;fluffy;melting;powdery;heavy;seasonal;wet;drifting;pristine
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,storm,violent;brewing;tropical;fierce;electrical;sudden;winter;raging;coastal;mild
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Environmental Phenomena,storm,violent;brewing;fierce;tropical;sudden;electrical;howling;massive;approaching;relentless
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Environmental Phenomena,storm,violent;brewing;fierce;tropical;sudden;electrical;howling;massive;winter;approaching
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Environmental Phenomena,storm,violent;approaching;fierce;tropical;electrical;sudden;howling;massive;winter;brewing
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Environmental Phenomena,storm,violent;approaching;fierce;tropical;electrical;sudden;howling;massive;winter;relentless
