Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,anger,strong;bad;quick;hot;sudden;deep;great;wild;bitter;fierce
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,rainbow,beautiful;bright;colorful;big;clear;happy;real;high;soft;long
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;light;wet;fresh;big;quiet;pure
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,storm,strong;big;wild;dangerous;fast;dark;loud;cold;long;bad
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;deep;wild;bad;big;real;fast;scary
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;deep;cold;big;wild;quiet;clear
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,volcano,big;active;dangerous;hot;deep;wild;real;strong;old;new
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;wild;light;warm;quiet;bad;big;soft
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,apple,red;green;big;small;fresh;sweet;juicy;hard;clean;old
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,banana,yellow;big;small;fresh;sweet;soft;long;clean;ripe;bad
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,beef,fresh;cooked;red;big;soft;hot;good;bad;dry;rare
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,bread,fresh;soft;white;brown;big;hot;good;dry;old;simple
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,broccoli,green;fresh;big;small;hard;good;raw;cooked;clean;bad
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,cheese,yellow;soft;hard;fresh;good;bad;big;small;hot;cold
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,chicken,fresh;cooked;white;big;small;hot;good;bad;soft;dry
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,egg,big;small;white;fresh;hard;soft;broken;clean;good;bad
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,fish,fresh;big;small;silver;wet;good;bad;cooked;raw;wild
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,pasta,hot;soft;long;fresh;good;bad;simple;colored;dry;big
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,rice,white;cooked;hot;soft;fresh;good;bad;dry;long;clean
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Food Items,soup,hot;warm;good;bad;thick;thin;fresh;simple;clear;colored
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,artist,good;young;old;talented;creative;famous;happy;busy;new;simple
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,athlete,strong;fast;young;good;famous;big;healthy;active;smart;quick
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,chef,good;busy;young;old;talented;famous;happy;skilled;clean;fast
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,doctor,good;busy;young;old;helpful;smart;famous;kind;tired;new
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,engineer,smart;busy;young;old;good;skilled;creative;famous;strong;new
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,farmer,strong;busy;old;young;good;hard-working;happy;poor;rich;simple
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,lawyer,smart;busy;young;old;good;famous;helpful;strong;rich;new
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,musician,good;talented;young;old;famous;happy;busy;creative;smart;new
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,scientist,smart;busy;young;old;good;famous;creative;helpful;strong;new
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,soldier,strong;brave;young;old;good;famous;busy;smart;new
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,teacher,good;kind;young;old;helpful;smart;busy;famous;patient;new
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Human Roles,writer,good;talented;young;old;famous;creative;smart;busy;happy;new
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,book,old;new;big;small;interesting;boring;thick;thin;colored;simple
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,bridge,big;old;new;strong;high;long;metal;broken;simple;beautiful
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,drums,big;small;loud;new;old;wooden;simple;broken;fast;colorful
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,earth,big;green;round;old;beautiful;dry;wet;hard;soft;new
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,flute,small;old;new;wooden;simple;shiny;soft;long;broken;beautiful
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,key,small;old;new;metal;simple;shiny;broken;long;hard;black
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,knife,sharp;old;new;metal;big;small;simple;broken;clean;strong
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,lock,old;new;metal;simple;strong;broken;small;big;shiny;hard
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,moon,big;bright;full;old;beautiful;dark;cold;round;new;high
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,pen,small;old;new;black;simple;broken;cheap;expensive;clean;long
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,sun,big;bright;hot;yellow;strong;beautiful;warm;high;round;new
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,sword,sharp;old;new;big;metal;strong;simple;broken;long;shiny
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,cat,small;black;white;wild;lazy;fast;cute;old;young;soft
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,dog,big;small;friendly;wild;fast;strong;cute;old;young;smart
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,dolphin,big;smart;fast;wild;friendly;strong;beautiful;gray;young;old
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,elephant,big;strong;gray;wild;smart;slow;old;young;friendly;heavy
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,hamster,small;cute;fast;soft;wild;friendly;young;old;brown;simple
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,monkey,small;smart;wild;fast;funny;brown;young;old;strong;cute
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,mouse,small;gray;fast;wild;cute;smart;young;old;quiet;simple
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,peacock,big;beautiful;colorful;wild;proud;fast;strong;young;old;rare
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,rabbit,small;white;fast;cute;wild;soft;young;old;smart;simple
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,shark,big;dangerous;wild;fast;strong;gray;scary;young;old;smart
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,snake,long;dangerous;wild;fast;green;scary;strong;young;old;simple
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Neutral Animals,whale,big;strong;wild;smart;gray;fast;beautiful;young;old;rare
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,city,big;busy;old;new;beautiful;dirty;clean;modern;quiet;full
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,desert,big;hot;dry;empty;sandy;wild;beautiful;old;quiet;hard
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,forest,big;green;dark;wild;beautiful;old;quiet;full;wet;deep
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,island,small;big;beautiful;green;wild;quiet;sunny;old;new;empty
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,lake,big;small;blue;deep;calm;clean;cold;beautiful;wild;fresh
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,mountain,big;high;old;green;snowy;strong;beautiful;wild;hard;tall
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,ocean,big;deep;blue;wild;cold;beautiful;strong;full;wet;dark
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,plain,big;flat;green;empty;wild;beautiful;dry;quiet;old;simple
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,plateau,big;high;flat;rocky;wild;beautiful;old;dry;quiet;strong
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,river,long;deep;wild;blue;fast;beautiful;clean;old;full;wet
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,valley,deep;green;beautiful;wild;quiet;long;old;full;wet;simple
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Places,village,small;old;quiet;green;simple;beautiful;clean;full;new;poor
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,cactus,big;small;green;spiky;wild;dry;old;hard;simple;beautiful
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,eggplant,big;small;purple;fresh;soft;good;raw;cooked;clean;bad
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,flower,beautiful;small;big;colorful;fresh;wild;simple;red;sweet;soft
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,grass,green;soft;fresh;long;wild;wet;dry;simple;big;clean
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,lettuce,green;fresh;soft;big;small;good;raw;clean;wet;simple
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,mushroom,small;big;white;fresh;soft;wild;good;bad;clean;simple
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,onion,big;small;white;fresh;strong;good;raw;cooked;clean;bad
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,pepper,red;green;small;big;fresh;hot;good;raw;clean;simple
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,potato,big;small;brown;fresh;hard;good;raw;cooked;clean;bad
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,rose,red;beautiful;fresh;soft;wild;simple;big;small;sweet;full
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,tomato,red;big;small;fresh;soft;good;raw;cooked;clean;bad
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Plants,tree,big;old;green;tall;strong;wild;beautiful;full;simple;new
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,ally,good;strong;true;helpful;faithful;new;old;smart;brave;quiet
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,brother,young;old;good;strong;smart;helpful;funny;kind;new;simple
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,enemy,bad;strong;dangerous;old;wild;smart;real;new;quiet;dark
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,father,old;strong;good;kind;smart;helpful;busy;new;simple;quiet
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,follower,faithful;strong;good;young;old;smart;helpful;new;quiet;true
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,friend,good;true;young;old;kind;helpful;smart;funny;new;quiet
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,leader,strong;good;smart;brave;famous;young;old;helpful;new;true
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,mother,good;kind;old;young;helpful;smart;busy;loving;new;simple
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,partner,good;strong;helpful;smart;faithful;young;old;true;new;quiet
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,rival,strong;bad;smart;young;old;dangerous;real;new;wild;quiet
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,sister,young;old;good;kind;smart;helpful;funny;beautiful;new;simple
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Social Relationships,stranger,unknown;new;strange;young;old;quiet;dangerous;real;simple;dark
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,above,high;clear;bright;full;new;old;simple;strong;good;quiet
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,back,strong;old;new;big;small;simple;clean;broken;hard;soft
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,below,deep;dark;low;quiet;old;new;simple;strong;good;full
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,east,sunny;warm;old;new;beautiful;quiet;full;strong;good;simple
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,front,big;clean;new;old;simple;strong;good;quiet;full;bright
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,inside,warm;dark;safe;full;new;old;simple;strong;good;quiet
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,left,small;old;new;simple;strong;good;quiet;full;dark;clean
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,north,cold;wild;old;new;beautiful;quiet;full;strong;good;simple
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,outside,cold;wet;dark;big;new;old;simple;strong;good;quiet
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,right,strong;correct;old;new;simple;good;quiet;full;bright;clean
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,south,warm;sunny;old;new;beautiful;quiet;full;strong;good;simple
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,west,wild;old;new;beautiful;quiet;full;strong;good;simple;dark
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,century,long;old;new;big;full;simple;strong;good;quiet;dark
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,day,long;short;bright;warm;new;old;simple;good;quiet;full
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,evening,quiet;cool;long;short;beautiful;new;old;simple;good;dark
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,hour,long;short;busy;quiet;new;old;simple;good;full;dark
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,minute,short;quick;long;simple;new;old;good;full;quiet;dark
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,month,long;short;busy;quiet;new;old;simple;good;full;dark
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,morning,fresh;bright;early;quiet;new;old;simple;good;full;cool
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,night,dark;quiet;long;cold;new;old;simple;good;full;scary
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,season,long;short;warm;cold;new;old;simple;good;full;quiet
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,second,short;quick;fast;simple;new;old;good;full;quiet;dark
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,week,long;short;busy;quiet;new;old;simple;good;full;dark
grok-3-mini,basic,1.0,TR # Turkish,B1,most frequent,Time Concepts,year,long;new;old;big;full;simple;good;quiet;dark;busy
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,anger,intense;sudden;deep;blind;raw;violent;quiet;growing;explosive;suppressed
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,courage,brave;strong;bold;heroic;fearless;great;true;quiet;sudden;inspiring
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,fear,deep;sudden;great;intense;irrational;dark;hidden;constant;overwhelming;basic
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,freedom,true;great;personal;full;basic;new;hard-won;absolute;limited;equal
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,happiness,great;true;simple;pure;sudden;lasting;inner;shared;deep;everyday
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,hate,deep;strong;blind;intense;pure;growing;bitter;cold;racial;personal
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,honesty,complete;true;simple;brutal;absolute;clear;basic;rare;deep;straightforward
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,justice,fair;true;social;quick;blind;equal;basic;harsh;perfect;divine
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,knowledge,deep;wide;basic;useful;general;secret;scientific;practical;ancient;modern
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,love,true;deep;pure;strong;blind;romantic;eternal;sudden;unconditional;simple
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,peace,true;lasting;inner;world;quiet;perfect;global;sudden;deep;fragile
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,wisdom,great;ancient;true;deep;simple;practical;old;common;hidden;natural
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,bell,old;big;small;loud;clear;ringing;ancient;metal;golden;broken
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,candle,small;burning;old;white;red;scented;wax;long;simple;flickering
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,carpet,soft;old;big;colorful;woolen;dirty;clean;patterned;thick;cheap
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,coin,old;small;shiny;gold;silver;rare;ancient;fake;heavy;dirty
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,crown,golden;royal;heavy;ancient;big;jeweled;simple;old;shining;fake
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,flag,national;old;colorful;waving;red;blue;large;small;torn;proud
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,mask,black;scary;old;plastic;protective;funny;simple;white;hidden;colorful
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,necklace,gold;beautiful;old;simple;pearl;shiny;cheap;long;heavy;elegant
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,painting,beautiful;old;famous;large;small;colorful;abstract;simple;modern;dark
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,ring,gold;simple;old;shiny;diamond;cheap;heavy;small;ancient;wedding
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,statue,big;old;stone;bronze;famous;broken;tall;simple;ancient;beautiful
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,vase,old;beautiful;glass;ceramic;broken;large;small;colorful;simple;ancient
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,cloud,white;dark;big;fluffy;low;high;stormy;fast-moving;gray;light
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,earthquake,strong;sudden;destructive;major;minor;rare;deep;violent;local;frightening
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,fog,thick;heavy;dense;cold;morning;gray;mysterious;wet;low;sudden
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,lightning,bright;fast;sudden;dangerous;electric;powerful;dramatic;white;rare;striking
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,rain,heavy;light;cold;steady;sudden;warm;pouring;gentle;seasonal;fresh
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,rainbow,beautiful;colorful;bright;rare;double;faint;full;natural;wide;perfect
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,snow,white;heavy;light;fresh;cold;deep;falling;wet;fluffy;seasonal
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,storm,strong;violent;sudden;big;dark;windy;rainy;fierce;tropical;winter
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,thunder,loud;sudden;rolling;distant;powerful;frightening;deep;constant;electric;dramatic
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,tide,high;low;strong;rising;falling;fast;daily;calm;rough;incoming
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,volcano,active;dormant;huge;dangerous;smoking;ancient;explosive;fiery;tall;remote
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,wind,strong;cold;gentle;warm;blowing;fast;steady;northern;southern;harsh
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,apple,red;green;fresh;sweet;juicy;big;small;ripe;organic;sour
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,banana,yellow;ripe;fresh;sweet;big;small;green;organic;soft;peeled
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,beef,fresh;cooked;lean;tender;grilled;rare;fatty;cheap;organic;tasty
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,bread,fresh;soft;white;whole-wheat;warm;sliced;toasted;cheap;homemade;dry
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,broccoli,green;fresh;steamed;raw;organic;big;small;healthy;frozen;cooked
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,cheese,yellow;soft;hard;fresh;melted;strong-flavored;cheap;organic;sliced;creamy
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,chicken,fresh;cooked;grilled;roasted;organic;small;big;tender;frozen;spicy
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,egg,fresh;boiled;raw;large;small;organic;white;brown;cracked;fried
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,fish,fresh;cooked;big;small;wild;farmed;salty;frozen;tasty;raw
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,pasta,cooked;dry;fresh;Italian;cheap;soft;long;short;homemade;spicy
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,rice,white;cooked;brown;steamed;dry;long-grain;short-grain;organic;cheap;sticky
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Food Items,soup,hot;cold;thick;thin;vegetable;chicken;tasty;homemade;spicy;fresh
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Human Roles,artist,talented;young;famous;creative;skilled;modern;old;local;dedicated;passionate
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Human Roles,athlete,strong;fast;young;professional;skilled;dedicated;Olympic;fit;competitive;injured
grok-3-mini,basic,1.0,TR # Turkish,B2,most frequent,Human Roles,chef,skilled;famous;young;professional;creative;busy;talented;local;experienced;passionate
