Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,anger,strong;hot;sudden;deep;blind;great;fierce;quick;raw;bad
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Food Items,apple,red;green;big;small;fresh;sweet;juicy;ripe;hard;good
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Food Items,banana,yellow;big;small;fresh;sweet;ripe;soft;long;good;healthy
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Food Items,beef,fresh;cooked;big;red;tough;soft;good;hot;simple;lean
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Food Items,bread,fresh;soft;warm;big;small;white;brown;good;simple;tasty
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Food Items,broccoli,green;fresh;big;small;healthy;good;soft;crunchy;raw;cooked
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Food Items,cheese,yellow;soft;hard;fresh;tasty;good;big;small;creamy;simple
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Food Items,chicken,fresh;cooked;big;small;white;healthy;tasty;good;soft;hot
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Food Items,egg,fresh;big;small;white;brown;healthy;good;soft;hard;simple
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Food Items,fish,fresh;big;small;silver;healthy;tasty;good;wild;cooked;wet
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Food Items,pasta,cooked;soft;hot;simple;tasty;good;long;short;fresh;yellow
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Food Items,rice,cooked;white;hot;soft;good;simple;fresh;dry;big;healthy
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Food Items,soup,hot;tasty;good;thick;simple;fresh;warm;clear;healthy;soft
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Human Roles,artist,creative;good;talented;young;old;famous;skilled;simple;big;real
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Human Roles,athlete,strong;fast;good;young;old;skilled;big;fit;active;brave
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Human Roles,chef,good;skilled;young;old;talented;busy;simple;creative;big;real
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Human Roles,doctor,good;skilled;busy;young;old;kind;helpful;simple;big;real
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Human Roles,engineer,skilled;good;busy;young;old;smart;simple;big;real;strong
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Human Roles,farmer,hard-working;good;busy;young;old;simple;strong;big;real;kind
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Human Roles,lawyer,good;skilled;busy;young;old;smart;simple;big;real;fair
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Human Roles,musician,talented;good;young;old;skilled;famous;simple;big;real;creative
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Human Roles,scientist,smart;good;skilled;young;old;busy;simple;big;real;curious
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Human Roles,soldier,brave;strong;good;young;old;skilled;simple;big;real;tough
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Human Roles,teacher,good;kind;young;old;skilled;helpful;simple;big;real;patient
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Human Roles,writer,creative;good;talented;young;old;skilled;simple;big;real;famous
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,book,big;small;old;new;interesting;simple;good;thick;colorful;real
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,bridge,big;old;new;strong;long;simple;good;high;metal;wooden
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,drums,big;small;loud;new;old;simple;good;wooden;metal;fast
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,earth,big;old;green;round;good;simple;real;wet;dry;hard
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,flute,small;old;new;wooden;simple;good;soft;clear;light;beautiful
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,key,small;old;new;metal;simple;good;shiny;strong;real;black
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,knife,sharp;small;big;old;new;metal;simple;good;strong;clean
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,lock,small;old;new;metal;simple;good;strong;secure;real;black
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,moon,big;bright;full;old;simple;good;white;round;real;cold
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,pen,small;new;old;black;simple;good;cheap;strong;real;blue
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,sun,big;bright;hot;yellow;simple;good;real;strong;warm;high
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,sword,sharp;big;old;new;metal;simple;good;strong;long;heavy
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Neutral Animals,cat,small;big;black;white;good;fast;playful;old;young;soft
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Neutral Animals,dog,big;small;friendly;good;fast;strong;old;young;loyal;brown
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Neutral Animals,dolphin,big;smart;fast;good;playful;wild;simple;real;wet;gray
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Neutral Animals,elephant,big;strong;gray;good;wild;old;young;simple;real;heavy
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Neutral Animals,hamster,small;cute;fast;good;playful;brown;simple;real;soft;young
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Neutral Animals,monkey,small;fast;playful;good;wild;brown;simple;real;smart;young
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Neutral Animals,mouse,small;fast;gray;good;simple;real;soft;young;quiet;wild
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Neutral Animals,peacock,beautiful;big;colorful;good;wild;simple;real;proud;blue;tall
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Neutral Animals,rabbit,small;fast;white;good;playful;wild;simple;real;soft;young
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Neutral Animals,shark,big;fast;scary;good;wild;gray;simple;real;strong;dangerous
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Neutral Animals,snake,long;fast;green;good;wild;simple;real;smooth;dangerous;small
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Neutral Animals,whale,big;huge;blue;good;wild;simple;real;strong;wet;old
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Places,city,big;busy;old;new;modern;simple;good;clean;crowded;tall
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Places,desert,big;hot;dry;sandy;simple;good;real;empty;wide;old
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Places,forest,big;green;wild;dense;simple;good;real;dark;quiet;old
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Places,island,small;big;tropical;simple;good;real;green;remote;beautiful;sandy
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Places,lake,big;small;blue;calm;simple;good;real;deep;cold;clear
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Places,mountain,big;tall;high;rocky;simple;good;real;cold;green;old
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Places,ocean,big;deep;blue;wild;simple;good;real;wet;cold;vast
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Places,plain,big;flat;green;simple;good;real;dry;wide;open;quiet
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Places,plateau,high;flat;big;simple;good;real;rocky;dry;wide;old
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Places,river,big;long;blue;fast;simple;good;real;deep;cold;wild
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Places,valley,deep;green;big;simple;good;real;beautiful;quiet;wide;old
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Places,village,small;old;simple;good;quiet;real;green;peaceful;clean;rural
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Plants,cactus,tall;green;spiky;simple;good;real;dry;big;small;wild
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Plants,eggplant,purple;big;small;fresh;simple;good;healthy;soft;raw;cooked
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Plants,flower,beautiful;colorful;small;big;simple;good;fresh;real;soft;wild
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Plants,grass,green;soft;short;long;simple;good;real;fresh;wet;dry
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Plants,lettuce,green;fresh;big;small;simple;good;healthy;crunchy;raw;soft
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Plants,mushroom,small;white;fresh;simple;good;healthy;soft;wild;cooked;big
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Plants,onion,small;white;fresh;simple;good;strong;raw;cooked;healthy;big
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Plants,pepper,red;green;small;fresh;simple;good;spicy;healthy;raw;big
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Plants,potato,big;small;brown;fresh;simple;good;healthy;cooked;raw;soft
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Plants,rose,red;beautiful;fresh;simple;good;real;soft;wild;big;small
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Plants,tomato,red;fresh;big;small;simple;good;healthy;juicy;raw;soft
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Plants,tree,big;tall;green;old;simple;good;real;strong;wild;wooden
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Social Relationships,ally,strong;true;good;reliable;simple;real;big;helpful;brave;loyal
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Social Relationships,brother,young;old;good;strong;kind;simple;real;helpful;brave;loyal
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Social Relationships,enemy,bad;strong;dangerous;old;simple;real;big;fierce;quick;dark
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Social Relationships,father,old;good;strong;kind;simple;real;helpful;wise;brave;loyal
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Social Relationships,follower,loyal;good;strong;simple;real;big;helpful;brave;young;old
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Social Relationships,friend,good;true;kind;simple;real;helpful;loyal;young;old;strong
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Social Relationships,leader,strong;good;wise;simple;real;big;helpful;brave;young;old
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Social Relationships,mother,good;kind;loving;simple;real;helpful;wise;young;old;strong
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Social Relationships,partner,good;reliable;simple;real;helpful;strong;loyal;young;old;true
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Social Relationships,rival,strong;bad;tough;simple;real;big;quick;fierce;young;old
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Social Relationships,sister,young;old;good;kind;simple;real;helpful;wise;loyal;strong
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Social Relationships,stranger,unknown;simple;real;big;quick;dark;quiet;young;old;mysterious
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,above,high;clear;simple;real;big;bright;quiet;open;safe;warm
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,back,old;simple;real;big;strong;quiet;dark;hidden;safe;warm
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,below,low;dark;simple;real;big;quiet;hidden;cold;deep;safe
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,east,sunny;warm;simple;real;big;quiet;open;high;green;distant
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,front,clear;open;simple;real;big;bright;quiet;safe;warm;new
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,inside,warm;safe;simple;real;big;quiet;dark;hidden;dry;clean
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,left,free;simple;real;big;quiet;open;safe;warm;green;distant
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,north,cold;simple;real;big;quiet;open;high;green;distant;wild
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,outside,open;simple;real;big;bright;quiet;cold;wet;green;free
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,right,correct;simple;real;big;quiet;open;safe;warm;strong;true
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,south,warm;simple;real;big;quiet;open;sunny;green;distant;wild
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,west,distant;simple;real;big;quiet;open;high;green;cold;wild
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Time Concepts,century,long;old;simple;real;big;quiet;full;new;past;great
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Time Concepts,day,long;short;bright;simple;real;big;quiet;warm;cold;good
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Time Concepts,evening,cool;quiet;simple;real;big;dark;warm;peaceful;long;short
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Time Concepts,hour,long;short;simple;real;big;quiet;full;new;fast;slow
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Time Concepts,minute,short;simple;real;big;quiet;full;new;fast;slow;last
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Time Concepts,month,long;short;simple;real;big;quiet;full;new;cold;warm
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Time Concepts,morning,fresh;bright;simple;real;big;quiet;cool;early;good;new
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Time Concepts,night,dark;quiet;simple;real;big;long;cold;peaceful;short;warm
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Time Concepts,season,long;short;simple;real;big;quiet;cold;warm;wet;dry
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Time Concepts,second,short;simple;real;big;quiet;full;new;fast;slow;last
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Time Concepts,week,long;short;simple;real;big;quiet;full;new;busy;free
grok-3-mini,basic,1.0,PS # Pashto,B1,most frequent,Time Concepts,year,long;new;old;simple;real;big;quiet;full;good;bad
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,anger,hot;blind;intense;sudden;deep;quiet;raw;suppressed;violent;explosive
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,courage,great;true;physical;moral;quiet;heroic;brave;outstanding;personal;inner
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,fear,great;deep;sudden;constant;dark;strong;hidden;real;irrational;overwhelming
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,freedom,great;true;personal;full;new;basic;hard-won;limited;total;absolute
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,happiness,great;pure;true;simple;lasting;deep;sudden;shared;inner;everyday
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,hate,deep;strong;blind;intense;pure;bitter;hidden;racial;personal;growing
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,honesty,true;complete;simple;brutal;rare;total;plain;straightforward;absolute;basic
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,justice,true;fair;social;blind;quick;equal;moral;legal;perfect;swift
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,knowledge,great;deep;basic;practical;useful;wide;secret;common;new;ancient
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,love,true;great;deep;pure;strong;blind;romantic;lasting;simple;unconditional
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,peace,true;lasting;inner;world;quiet;perfect;global;deep;simple;eternal
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,wisdom,great;ancient;deep;true;practical;inner;common;simple;eternal;hidden
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,bell,big;small;old;loud;shiny;broken;golden;church;school;electric
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,candle,small;big;wax;scented;burning;old;white;red;long;simple
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,carpet,big;soft;old;new;colorful;dirty;clean;woolen;cheap;thick
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,coin,old;new;shiny;gold;silver;rare;foreign;small;heavy;ancient
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,crown,golden;royal;big;old;jeweled;heavy;simple;fake;ceremonial;beautiful
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,flag,national;old;new;colorful;waving;large;small;torn;proud;foreign
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,mask,scary;funny;old;new;protective;black;white;plastic;full-face;simple
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,necklace,beautiful;gold;silver;long;short;cheap;expensive;pearl;shiny;simple
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,painting,beautiful;old;new;large;small;colorful;famous;modern;abstract;detailed
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,ring,gold;silver;big;small;diamond;simple;old;new;wedding;engagement
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,statue,big;old;new;stone;bronze;famous;broken;beautiful;ancient;modern
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,vase,beautiful;old;new;glass;ceramic;tall;small;broken;colorful;simple
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,cloud,white;dark;big;small;fluffy;stormy;fast-moving;high;low;gray
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,earthquake,strong;big;sudden;destructive;mild;rare;deep;shallow;recent;old
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,fog,thick;light;cold;morning;dense;wet;gray;early;heavy;mysterious
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,lightning,bright;fast;dangerous;sudden;powerful;white;forked;rare;distant;frequent
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,rain,heavy;light;cold;warm;steady;sudden;soft;hard;seasonal;daily
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,rainbow,beautiful;colorful;bright;double;faint;full;rare;high;low;perfect
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,snow,white;fresh;heavy;light;cold;deep;soft;wet;falling;old
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,storm,big;strong;violent;sudden;wild;rainy;windy;long;short;dangerous
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,thunder,loud;deep;sudden;distant;powerful;rolling;frightening;constant;light;heavy
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,tide,high;low;strong;weak;fast;rising;falling;ocean;daily;rough
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,volcano,active;dormant;big;dangerous;smoking;ancient;high;explosive;nearby;far
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,wind,strong;light;cold;warm;blowing;steady;gusty;northern;southern;gentle
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Food Items,apple,red;green;fresh;sweet;big;small;juicy;ripe;sour;organic
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Food Items,banana,yellow;ripe;green;sweet;big;small;fresh;soft;long;organic
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Food Items,beef,fresh;cooked;lean;fatty;red;tender;tough;grilled;cheap;organic
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Food Items,bread,fresh;soft;white;whole-wheat;warm;dry;sliced;homemade;cheap;tasty
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Food Items,broccoli,green;fresh;raw;cooked;big;small;organic;steamed;frozen;healthy
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Food Items,cheese,yellow;white;soft;hard;fresh;aged;strong;mild;grated;creamy
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Food Items,chicken,fresh;cooked;roasted;grilled;fried;organic;big;small;tender;spicy
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Food Items,egg,fresh;boiled;fried;large;small;white;brown;organic;cracked;raw
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Food Items,fish,fresh;cooked;big;small;wild;farmed;salty;grilled;frozen;tasty
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Food Items,pasta,cooked;dry;fresh;Italian;long;short;cheesy;saucy;hot;simple
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Food Items,rice,white;brown;cooked;dry;steamed;hot;sticky;long-grain;short-grain;organic
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Food Items,soup,hot;cold;thick;thin;vegetable;chicken;creamy;spicy;homemade;tasty
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Human Roles,artist,talented;young;old;famous;creative;skilled;local;modern;traditional;dedicated
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Human Roles,athlete,strong;fast;young;professional;skilled;fit;famous;dedicated;competitive;talented
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Human Roles,chef,great;skilled;famous;young;experienced;creative;professional;local;talented;busy
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Human Roles,doctor,good;experienced;young;old;skilled;busy;local;famous;caring;professional
grok-3-mini,basic,1.0,PS # Pashto,B2,most frequent,Human Roles,engineer,skilled;experienced;young;old;creative;professional;local;talented;busy;smart
