Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,anger,strong;big;hot;sudden;quick;bad;deep;wild;silent;hidden
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;soft;colorful;thick;clean;dirty;simple
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,coin,small;old;new;metal;shiny;round;heavy;light;gold;simple
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,crown,big;old;new;gold;shiny;heavy;royal;simple;broken;round
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;colorful;national;high;clean;dirty;simple
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,mask,small;big;old;new;black;white;protective;simple;broken;light
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,necklace,small;big;old;new;gold;silver;shiny;simple;broken;long
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;beautiful;colorful;simple;broken;bright;dark
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,ring,small;big;old;new;gold;silver;shiny;simple;broken;round
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;stone;tall;broken;simple;heavy;beautiful
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;glass;broken;simple;tall;short;colorful
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,cloud,big;small;white;dark;high;light;fast;simple;wet;cold
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,earthquake,strong;big;sudden;bad;deep;quick;wild;old;new;hot
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,fog,thick;white;cold;heavy;quiet;dark;wet;simple;low;fast
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,lightning,bright;fast;sudden;strong;wild;hot;quick;big;simple;dangerous
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;wet;fast;strong;quiet;simple;long;short
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,rainbow,beautiful;big;colorful;bright;simple;high;clear;wet;full;fast
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;light;wet;simple;big;small;quiet
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,storm,strong;big;wild;fast;loud;dark;wet;simple;sudden;cold
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;big;wild;deep;fast;simple;hot;dark
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;big;simple;wet;cold;quiet;full
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,volcano,big;hot;active;old;new;tall;wild;simple;deep;strong
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,wind,strong;fast;cold;light;quiet;hot;simple;big;wild;dry
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Food Items,apple,red;green;big;small;fresh;sweet;juicy;simple;hard;round
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Food Items,banana,yellow;big;small;fresh;sweet;long;simple;soft;ripe;green
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Food Items,beef,red;fresh;big;cooked;simple;hot;cold;tender;tough;lean
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Food Items,bread,fresh;old;soft;hard;white;brown;simple;big;small;warm
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Food Items,broccoli,green;fresh;big;small;crunchy;simple;healthy;raw;cooked;wet
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;fresh;simple;strong;mild;big;small
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Food Items,chicken,fresh;cooked;big;small;white;brown;simple;tender;dry;hot
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Food Items,egg,white;brown;big;small;fresh;simple;hard;soft;broken;raw
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Food Items,fish,fresh;big;small;silver;simple;cooked;raw;fast;wild;cold
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Food Items,pasta,long;short;cooked;simple;hot;soft;dry;white;fresh;big
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Food Items,rice,white;cooked;simple;hot;soft;dry;fresh;big;small;sticky
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Food Items,soup,hot;cold;simple;thick;thin;fresh;tasty;big;small;clear
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,artist,creative;talented;young;old;famous;simple;good;bad;busy;happy
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,athlete,strong;fast;young;old;fit;simple;good;bad;tall;short
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,chef,skilled;young;old;busy;good;bad;creative;simple;famous;happy
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,doctor,skilled;busy;young;old;good;bad;kind;simple;helpful;smart
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,engineer,skilled;busy;young;old;good;bad;creative;simple;smart;helpful
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,farmer,hard-working;young;old;simple;good;bad;strong;busy;happy;poor
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,lawyer,skilled;busy;young;old;good;bad;smart;simple;helpful;famous
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,musician,talented;young;old;good;bad;creative;simple;famous;busy;happy
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,scientist,smart;busy;young;old;good;bad;creative;simple;helpful;famous
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,soldier,strong;brave;young;old;good;bad;simple;busy;loyal
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,teacher,good;bad;young;old;kind;simple;helpful;busy;patient;smart
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,writer,creative;young;old;good;bad;famous;simple;busy;happy;skilled
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,book,old;new;big;small;interesting;simple;thick;thin;colorful;hard
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,bridge,big;old;new;strong;simple;long;high;broken;metal;wooden
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,drums,big;small;loud;old;new;wooden;simple;broken;heavy;round
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,earth,big;round;green;blue;simple;old;wet;dry;hot;cold
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,flute,small;long;wooden;metal;simple;old;new;shiny;broken;light
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,key,small;metal;old;new;simple;shiny;broken;long;short;black
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,knife,sharp;small;big;metal;simple;old;new;broken;long;short
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,lock,small;metal;old;new;simple;broken;strong;tight;black;shiny
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,moon,big;bright;round;old;simple;full;new;white;cold;quiet
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,pen,small;black;blue;simple;old;new;broken;long;short;cheap
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,sun,big;bright;hot;yellow;simple;high;old;warm;strong;red
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,sword,long;sharp;metal;old;new;simple;heavy;broken;shiny;big
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,cat,small;big;black;white;simple;wild;tame;fast;lazy;cute
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,dog,big;small;friendly;wild;simple;fast;strong;lazy;cute;old
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,dolphin,big;smart;fast;simple;wild;friendly;gray;playful;wet;strong
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,elephant,big;strong;gray;simple;wild;tame;old;slow;heavy;smart
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,hamster,small;cute;fast;simple;wild;tame;brown;furry;active;young
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,monkey,small;smart;fast;simple;wild;playful;brown;funny;active;young
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,mouse,small;gray;fast;simple;wild;tame;quiet;cute;active;young
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,peacock,big;colorful;beautiful;simple;wild;tame;loud;proud;active;old
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,rabbit,small;white;fast;simple;wild;tame;cute;furry;active;young
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,shark,big;strong;fast;simple;wild;gray;dangerous;sharp;active;old
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,snake,long;thin;green;simple;wild;tame;fast;dangerous;active;old
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,whale,big;strong;gray;simple;wild;fast;huge;active;old;wet
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Places,city,big;busy;old;new;crowded;simple;clean;dirty;modern;quiet
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Places,desert,big;hot;dry;simple;sandy;empty;old;wild;quiet;yellow
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Places,forest,big;green;dense;simple;wild;dark;quiet;old;wet;full
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Places,island,small;big;green;simple;tropical;quiet;wild;old;beautiful;remote
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Places,lake,big;small;blue;simple;deep;quiet;clean;cold;wild;frozen
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Places,mountain,big;high;rocky;simple;old;green;snow-covered;wild;steep;cold
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Places,ocean,big;deep;blue;simple;wild;cold;wet;vast;quiet;stormy
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Places,plain,flat;big;green;simple;open;dry;wild;quiet;old;empty
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Places,plateau,flat;high;big;simple;rocky;dry;wild;quiet;old;green
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Places,river,long;wide;blue;simple;deep;fast;quiet;wild;clean;dirty
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Places,valley,deep;green;wide;simple;quiet;wild;beautiful;old;low;full
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Places,village,small;old;simple;quiet;green;clean;dirty;remote;peaceful;busy
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Plants,cactus,small;big;green;simple;spiky;dry;wild;old;tall;short
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Plants,eggplant,purple;big;small;simple;fresh;round;long;shiny;raw;cooked
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Plants,flower,beautiful;small;big;simple;colorful;fresh;wild;red;yellow;white
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Plants,grass,green;tall;short;simple;wet;dry;wild;soft;fresh;thick
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Plants,lettuce,green;fresh;big;small;simple;crunchy;raw;wet;clean;leafy
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Plants,mushroom,small;big;white;simple;fresh;wild;cooked;raw;soft;round
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Plants,onion,white;big;small;simple;fresh;strong;raw;cooked;dry;round
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Plants,pepper,red;green;big;small;simple;fresh;hot;sweet;raw;cooked
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Plants,potato,brown;big;small;simple;fresh;raw;cooked;hard;soft;round
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Plants,rose,red;beautiful;small;big;simple;fresh;wild;thorny;sweet;full
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Plants,tomato,red;big;small;simple;fresh;juicy;raw;cooked;round;sweet
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Plants,tree,big;tall;green;simple;old;wild;strong;leafy;fruit;shady
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Social Relationships,ally,strong;true;good;reliable;simple;loyal;helpful;close;old;new
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Social Relationships,brother,young;old;good;bad;simple;strong;helpful;kind;loyal;funny
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Social Relationships,enemy,bad;strong;dangerous;old;new;simple;fierce;hidden;powerful;cruel
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Social Relationships,father,old;young;good;bad;simple;strong;kind;helpful;wise;busy
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Social Relationships,follower,loyal;faithful;simple;strong;young;old;good;bad;dedicated;active
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Social Relationships,friend,good;true;close;simple;young;old;helpful;loyal;kind;funny
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Social Relationships,leader,strong;good;bad;simple;young;old;powerful;wise;helpful;famous
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Social Relationships,mother,good;kind;simple;young;old;caring;helpful;busy;wise;strong
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Social Relationships,partner,good;reliable;simple;strong;close;young;old;helpful;loyal;smart
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Social Relationships,rival,strong;tough;simple;bad;competitive;young;old;fierce;smart;dangerous
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Social Relationships,sister,young;old;good;bad;simple;kind;helpful;funny;close;smart
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Social Relationships,stranger,unknown;strange;simple;young;old;mysterious;dangerous;new;quiet;tall
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Spatial Concepts,above,high;clear;simple;bright;full;deep;strong;quiet;wide;old
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Spatial Concepts,back,strong;wide;simple;old;new;straight;bent;big;small;soft
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Spatial Concepts,below,low;dark;simple;deep;hidden;quiet;cold;wet;full;old
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Spatial Concepts,east,sunny;warm;simple;distant;quiet;old;new;green;high;low
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Spatial Concepts,front,clear;open;simple;big;small;straight;clean;dirty;new;old
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Spatial Concepts,inside,warm;dark;simple;full;empty;quiet;safe;hidden;big;small
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Spatial Concepts,left,free;simple;open;clear;hidden;quiet;dark;big;small;old
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Spatial Concepts,north,cold;snowy;simple;distant;quiet;old;new;high;low;green
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Spatial Concepts,outside,fresh;open;simple;big;cold;hot;quiet;busy;clean;dirty
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Spatial Concepts,right,correct;simple;straight;clear;big;small;strong;weak;new;old
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Spatial Concepts,south,warm;sunny;simple;distant;quiet;old;new;green;high;low
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Spatial Concepts,west,windy;cool;simple;distant;quiet;old;new;green;high;low
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Time Concepts,century,long;old;simple;great;new;full;busy;quiet;big;small
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Time Concepts,day,long;short;sunny;simple;busy;quiet;hot;cold;new;old
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Time Concepts,evening,cool;quiet;simple;long;short;dark;peaceful;busy;warm;old
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Time Concepts,hour,long;short;simple;busy;quiet;full;empty;late;early;new
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Time Concepts,minute,short;long;simple;quick;slow;full;empty;last;first;small
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Time Concepts,month,long;short;simple;busy;quiet;new;old;full;warm;cold
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Time Concepts,morning,fresh;early;simple;bright;quiet;busy;cool;warm;new;old
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Time Concepts,night,dark;long;simple;quiet;cold;warm;full;empty;late;old
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Time Concepts,season,long;short;simple;warm;cold;wet;dry;new;old;full
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Time Concepts,second,short;quick;simple;last;first;full;empty;new;old;fast
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Time Concepts,week,long;short;simple;busy;quiet;full;new;old;fast;slow
grok-3-mini,basic,1.0,AR # Arabic,B1,most frequent,Time Concepts,year,long;short;simple;new;old;full;busy;quiet;good;bad
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Abstract Concepts,anger,intense;sudden;great;deep;blind;hot;raw;explosive;quiet;bitter
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Abstract Concepts,courage,brave;strong;great;moral;physical;true;heroic;quiet;foolish;inspiring
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Abstract Concepts,fear,great;sudden;deep;dark;strong;cold;real;intense;unknown;basic
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Abstract Concepts,freedom,great;true;full;basic;new;real;complete;personal;strong;equal
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Abstract Concepts,happiness,great;pure;real;simple;true;deep;sudden;full;lasting;warm
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Abstract Concepts,hate,strong;deep;blind;intense;bitter;pure;real;cold;sudden;endless
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Abstract Concepts,honesty,true;simple;real;full;basic;strong;pure;clear;deep;direct
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Abstract Concepts,justice,fair;true;real;full;strong;blind;equal;moral;basic;quick
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Abstract Concepts,knowledge,great;deep;basic;true;real;wide;simple;strong;pure;clear
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Abstract Concepts,love,true;deep;strong;pure;great;blind;real;warm;sudden;endless
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Abstract Concepts,peace,true;great;real;full;quiet;deep;strong;lasting;pure;warm
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Abstract Concepts,wisdom,great;deep;true;old;strong;real;pure;clear;simple;wise
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Cultural Artifacts,bell,old;big;small;loud;clear;shiny;broken;golden;ringing;ancient
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Cultural Artifacts,candle,small;bright;old;warm;scented;burning;simple;white;tall;colored
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Cultural Artifacts,carpet,old;big;soft;colorful;clean;dirty;thick;new;red;woven
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Cultural Artifacts,coin,old;small;shiny;gold;silver;rare;new;dirty;heavy;ancient
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Cultural Artifacts,crown,golden;big;old;royal;shiny;heavy;simple;broken;jeweled;ancient
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Cultural Artifacts,flag,big;old;national;colorful;waving;torn;simple;red;blue;green
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Cultural Artifacts,mask,old;scary;simple;black;colorful;broken;wooden;new;funny;tight
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Cultural Artifacts,necklace,beautiful;old;shiny;gold;simple;long;broken;colorful;heavy;cheap
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Cultural Artifacts,painting,beautiful;old;large;colorful;simple;famous;broken;bright;dark;modern
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Cultural Artifacts,ring,gold;small;shiny;old;simple;broken;expensive;plain;jeweled;tight
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Cultural Artifacts,statue,large;old;stone;beautiful;broken;famous;tall;simple;golden;ancient
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Cultural Artifacts,vase,old;beautiful;large;broken;colorful;simple;glass;tall;cheap;decorative
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Environmental Phenomena,cloud,white;big;dark;fluffy;light;low;moving;rainy;soft;high
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Environmental Phenomena,earthquake,strong;big;sudden;deep;destructive;real;minor;major;rare;powerful
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Environmental Phenomena,fog,thick;white;heavy;cold;dense;morning;light;wet;mysterious;early
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Environmental Phenomena,lightning,bright;fast;sudden;strong;dangerous;white;powerful;rare;loud;dramatic
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Environmental Phenomena,rain,heavy;light;cold;warm;steady;sudden;soft;hard;wet;constant
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Environmental Phenomena,rainbow,beautiful;bright;colorful;rare;big;clear;full;natural;simple;wet
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Environmental Phenomena,snow,white;cold;fresh;deep;light;wet;soft;heavy;pure;falling
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Environmental Phenomena,storm,big;strong;sudden;wild;dark;powerful;rainy;cold;long;fierce
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;deep;frightening;distant;powerful;real;low;rolling
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Environmental Phenomena,tide,high;low;strong;fast;calm;rising;falling;big;cold;clear
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Environmental Phenomena,volcano,big;active;dangerous;old;sleeping;erupting;tall;hot;fiery;ancient
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Environmental Phenomena,wind,strong;cold;warm;light;fast;gentle;blowing;wild;dry;fresh
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Food Items,apple,red;green;fresh;sweet;big;small;ripe;juicy;sour;hard
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Food Items,banana,yellow;long;fresh;sweet;ripe;soft;big;small;green;curved
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Food Items,beef,fresh;cooked;tender;juicy;red;lean;tough;hot;grilled;rare
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Food Items,bread,fresh;soft;warm;white;brown;sliced;dry;hard;tasty;baked
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Food Items,broccoli,green;fresh;raw;cooked;big;small;crunchy;healthy;steamed;frozen
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Food Items,cheese,yellow;soft;hard;fresh;tasty;sharp;melted;creamy;sliced;strong
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Food Items,chicken,fresh;cooked;white;grilled;roasted;tender;juicy;raw;fried;small
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Food Items,egg,fresh;white;brown;boiled;fried;large;small;cracked;raw;hard
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Food Items,fish,fresh;big;small;cooked;raw;silver;tasty;fried;wild;frozen
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Food Items,pasta,cooked;soft;hot;dry;fresh;long;short;tasty;plain;cheesy
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Food Items,rice,cooked;white;brown;hot;dry;fresh;sticky;plain;steamed;fluffy
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Food Items,soup,hot;cold;thick;thin;tasty;fresh;creamy;vegetable;chicken;spicy
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Human Roles,artist,talented;young;famous;creative;skilled;old;poor;rich;dedicated;modern
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Human Roles,athlete,strong;fast;young;skilled;famous;fit;tall;dedicated;professional;competitive
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Human Roles,chef,skilled;famous;young;talented;creative;busy;experienced;professional;good;passionate
grok-3-mini,basic,1.0,AR # Arabic,B2,most frequent,Human Roles,doctor,skilled;young;experienced;busy;good;famous;caring;professional;smart;dedicated
