Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,anger,strong;hot;deep;sudden;bad;quick;personal;hidden;intense;blind
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Food Items,apple,red;green;big;small;fresh;sweet;juicy;simple;hard;ripe
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Food Items,banana,yellow;big;small;fresh;sweet;soft;simple;ripe;long;curved
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Food Items,beef,fresh;cooked;red;big;simple;tender;dry;hot;lean;raw
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Food Items,bread,fresh;soft;warm;simple;white;brown;big;dry;sweet;hard
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Food Items,broccoli,green;fresh;big;small;simple;healthy;raw;cooked;soft;bitter
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;fresh;simple;strong;melted;creamy;dry
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Food Items,chicken,fresh;cooked;white;big;small;simple;tender;dry;hot;raw
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Food Items,egg,fresh;big;small;white;brown;simple;cooked;raw;hard;soft
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Food Items,fish,fresh;big;small;simple;cooked;raw;silver;oily;wild;salty
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Food Items,pasta,cooked;soft;simple;dry;hot;white;long;small;fresh;cheesy
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Food Items,rice,white;cooked;soft;simple;dry;hot;long;small;fresh;sticky
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Food Items,soup,hot;simple;thick;thin;fresh;cold;creamy;salty;tasty;clear
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,artist,young;old;talented;simple;creative;good;famous;quiet;busy;skilled
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,athlete,strong;fast;young;old;good;simple;fit;tall;skilled;active
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,chef,good;young;old;busy;skilled;simple;creative;famous;quick;clean
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,doctor,good;busy;young;old;simple;skilled;kind;smart;careful;helpful
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,engineer,smart;young;old;busy;simple;skilled;creative;good;careful;strong
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,farmer,old;young;simple;busy;strong;good;hardworking;poor;skilled;kind
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,lawyer,smart;busy;young;old;simple;good;skilled;careful;serious;rich
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,musician,talented;young;old;good;simple;famous;creative;busy;skilled;quiet
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,scientist,smart;young;old;simple;careful;good;skilled;creative;busy;serious
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,soldier,strong;brave;young;old;simple;good;trained;busy;skilled;loyal
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,teacher,good;young;old;simple;kind;busy;skilled;helpful;patient;smart
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,writer,good;young;old;simple;creative;famous;busy;skilled;quiet;serious
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,book,old;new;big;small;interesting;simple;thick;colorful;good;educational
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,bridge,old;new;big;strong;simple;long;high;wooden;metal;broken
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,drums,big;small;loud;simple;old;new;wooden;metal;colorful;broken
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,earth,big;round;green;blue;simple;old;wet;dry;hot;cold
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,flute,small;simple;old;new;wooden;metal;loud;soft;shiny;broken
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,key,small;simple;old;new;metal;shiny;broken;long;heavy;safe
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,knife,sharp;small;simple;old;new;metal;clean;broken;long;useful
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,lock,small;simple;old;new;metal;broken;strong;safe;shiny;tight
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,moon,big;round;bright;simple;full;white;cold;dark;beautiful;old
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,pen,small;simple;old;new;black;blue;broken;cheap;useful;colorful
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,sun,big;bright;hot;simple;yellow;warm;strong;beautiful;high;daily
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,sword,sharp;big;old;new;metal;simple;heavy;broken;long;shiny
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,cat,small;black;white;old;young;simple;lazy;fast;wild;cute
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,dog,big;small;old;young;simple;loyal;fast;friendly;wild;strong
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,dolphin,big;smart;fast;simple;wild;friendly;gray;playful;strong;free
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,elephant,big;gray;strong;simple;old;wild;slow;heavy;friendly;smart
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,hamster,small;cute;fast;simple;brown;wild;friendly;soft;young;playful
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,monkey,small;smart;fast;simple;wild;brown;playful;young;noisy;funny
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,mouse,small;gray;fast;simple;wild;quiet;young;soft;shy;dirty
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,peacock,big;colorful;beautiful;simple;wild;proud;loud;blue;green;fancy
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,rabbit,small;white;fast;simple;wild;cute;soft;young;quiet;friendly
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,shark,big;dangerous;fast;simple;wild;gray;strong;scary;sharp;hungry
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,snake,long;dangerous;simple;wild;green;small;fast;scary;smooth;quiet
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,whale,big;huge;simple;wild;gray;strong;fast;smart;deep;old
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Places,city,big;busy;old;new;crowded;simple;clean;dirty;modern;noisy
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Places,desert,big;hot;dry;simple;sandy;empty;wild;yellow;quiet;harsh
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Places,forest,big;green;dense;simple;wild;dark;quiet;old;fresh;cool
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Places,island,small;big;beautiful;simple;wild;green;sandy;quiet;remote;tropical
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Places,lake,big;small;blue;simple;deep;clean;wild;quiet;fresh;cold
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Places,mountain,big;high;old;simple;green;snowy;wild;steep;cold;beautiful
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Places,ocean,big;deep;blue;simple;wild;cold;wet;vast;salty;strong
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Places,plain,big;flat;green;simple;wild;dry;empty;open;quiet;wide
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Places,plateau,high;flat;simple;wild;dry;big;rocky;open;quiet;cold
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Places,river,big;small;blue;simple;wild;fast;deep;clean;wide;cold
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Places,valley,deep;green;simple;wild;beautiful;quiet;wide;fertile;cool;long
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Places,village,small;quiet;old;simple;green;poor;friendly;clean;remote;traditional
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Plants,cactus,big;small;green;simple;spiky;wild;dry;tall;tough;strange
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Plants,eggplant,purple;big;small;simple;fresh;soft;juicy;dark;raw;healthy
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Plants,flower,beautiful;small;colorful;simple;fresh;red;wild;sweet;bright;soft
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Plants,grass,green;short;long;simple;fresh;wild;soft;wet;dry;thick
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Plants,lettuce,green;fresh;big;small;simple;crunchy;raw;healthy;wet;soft
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Plants,mushroom,small;white;simple;fresh;wild;soft;raw;tasty;strange;dry
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Plants,onion,big;small;white;simple;fresh;strong;raw;healthy;dry;hot
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Plants,pepper,red;green;small;simple;fresh;hot;spicy;raw;healthy;sweet
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Plants,potato,big;small;brown;simple;fresh;raw;cooked;soft;healthy;dry
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Plants,rose,red;beautiful;simple;fresh;wild;soft;sweet;big;small;full
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Plants,tomato,red;big;small;simple;fresh;juicy;raw;healthy;soft;sweet
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Plants,tree,big;old;green;simple;tall;wild;strong;fresh;wide;leafy
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,ally,strong;true;good;simple;loyal;helpful;close;smart;brave;reliable
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,brother,young;old;good;simple;strong;funny;kind;smart;caring;protective
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,enemy,strong;bad;dangerous;simple;old;sneaky;powerful;hidden;fierce;cruel
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,father,old;good;strong;simple;kind;smart;caring;busy;protective;wise
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,follower,loyal;good;simple;young;old;faithful;strong;quiet;helpful;dedicated
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,friend,good;true;simple;close;funny;kind;loyal;young;old;helpful
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,leader,strong;good;simple;smart;brave;old;young;powerful;kind;popular
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,mother,good;kind;simple;caring;busy;strong;wise;old;young;loving
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,partner,good;reliable;simple;strong;smart;close;helpful;loyal;young;old
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,rival,strong;tough;simple;bad;fierce;smart;old;young;competitive;dangerous
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,sister,young;old;good;simple;kind;funny;smart;caring;helpful;close
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,stranger,unknown;simple;mysterious;new;scary;quiet;tall;short;friendly;odd
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,above,high;clear;simple;bright;full;blue;open;vast;safe;warm
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,back,strong;simple;wide;straight;old;new;clean;dirty;firm;flat
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,below,low;dark;simple;deep;hidden;cold;wet;quiet;empty;safe
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,east,far;simple;sunny;warm;open;green;busy;quiet;rising;golden
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,front,big;simple;clean;open;wide;straight;new;old;bright;empty
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,inside,warm;dark;simple;safe;quiet;full;empty;clean;dirty;hidden
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,left,free;simple;open;dark;quiet;empty;clear;wide;straight;hidden
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,north,cold;simple;far;wild;green;quiet;open;high;long;fresh
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,outside,cold;simple;open;bright;wet;dry;free;empty;quiet;wild
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,right,correct;simple;straight;clear;strong;true;pure;firm;good;direct
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,south,warm;simple;sunny;open;green;busy;quiet;far;hot;fresh
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,west,far;simple;wild;open;quiet;golden;red;setting;cool;empty
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,century,long;old;simple;past;great;new;full;short;dark;bright
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,day,long;short;sunny;simple;hot;cold;busy;quiet;clear;dark
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,evening,long;quiet;simple;cool;dark;beautiful;warm;short;peaceful;red
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,hour,long;short;simple;full;busy;quiet;dark;bright;early;late
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,minute,short;simple;quick;full;busy;quiet;last;first;small;fast
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,month,long;short;simple;busy;quiet;warm;cold;new;old;full
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,morning,early;simple;fresh;bright;cool;quiet;busy;new;clear;short
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,night,dark;long;simple;quiet;cold;beautiful;full;short;warm;starry
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,season,long;short;simple;warm;cold;wet;dry;full;green;bright
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,second,short;simple;quick;last;first;full;fast;quiet;small;final
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,week,long;short;simple;busy;quiet;full;new;old;fast;slow
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,year,long;short;simple;new;old;full;busy;quiet;good;bad
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,anger,intense;sudden;deep;blind;raw;great;violent;suppressed;righteous;explosive
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,courage,great;true;moral;physical;quiet;heroic;brave;sudden;foolish;innate
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,fear,great;sudden;deep;irrational;constant;overwhelming;hidden;primal;dark;intense
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,freedom,great;true;personal;absolute;basic;limited;hard-won;complete;social;individual
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,happiness,great;pure;simple;lasting;inner;sudden;true;shared;deep;everyday
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,hate,deep;intense;blind;pure;strong;irrational;bitter;endless;personal;cold
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,honesty,complete;simple;true;basic;straightforward;rare;absolute;genuine;deep;pure
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,justice,true;blind;social;fair;absolute;basic;quick;moral;complete;harsh
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,knowledge,deep;basic;wide;simple;true;practical;secret;ancient;personal;great
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,love,true;deep;pure;strong;blind;simple;eternal;sudden;great;personal
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,peace,true;deep;inner;lasting;simple;global;quiet;absolute;fragile;basic
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,wisdom,great;ancient;deep;practical;simple;true;inner;rare;shared;timeless
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,bell,big;small;loud;old;shiny;ringing;metal;clear;broken;antique
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,candle,small;tall;lit;old;waxen;bright;simple;colored;melted;warm
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,carpet,soft;old;big;colorful;dirty;thick;woven;new;patterned;red
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,coin,small;old;shiny;gold;rare;metal;foreign;valuable;dirty;round
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,crown,golden;royal;big;old;shiny;jeweled;heavy;ancient;simple;ornate
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,flag,national;big;colorful;old;waving;torn;bright;simple;foreign;red
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,mask,scary;old;simple;colorful;wooden;black;protective;funny;decorative;tight
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,necklace,shiny;gold;long;simple;old;beaded;elegant;broken;valuable;colorful
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,painting,beautiful;old;large;colorful;famous;simple;abstract;dark;modern;detailed
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,ring,gold;small;shiny;old;simple;engraved;broken;valuable;decorative;silver
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,statue,tall;old;stone;large;famous;broken;beautiful;ancient;simple;metal
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,vase,tall;old;glass;broken;colorful;simple;decorative;large;antique;clay
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,cloud,white;big;dark;fluffy;low;moving;gray;light;stormy;thin
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,earthquake,strong;sudden;violent;major;minor;destructive;deep;rare;shaking;underground
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,fog,thick;dense;cold;gray;morning;heavy;light;wet;mysterious;low
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,lightning,bright;fast;dangerous;sudden;powerful;forked;electrical;white;rare;dramatic
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,rain,heavy;light;cold;steady;pouring;gentle;warm;sudden;wet;seasonal
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,rainbow,colorful;bright;beautiful;rare;double;fading;clear;natural;full;arched
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,snow,white;deep;soft;fresh;cold;heavy;wet;light;falling;pure
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,storm,strong;violent;sudden;heavy;dark;windy;electrical;tropical;fierce;long
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,thunder,loud;rolling;sudden;deep;distant;powerful;frightening;constant;rumbling;sharp
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,tide,high;low;strong;rising;falling;fast;gentle;incoming;outgoing;cold
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,volcano,active;dormant;large;explosive;dangerous;ancient;smoking;fiery;tall;remote
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,wind,strong;gentle;cold;hot;blowing;steady;gusty;light;northern;eastern
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Food Items,apple,red;green;fresh;sweet;ripe;big;juicy;sour;small;organic
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Food Items,banana,yellow;ripe;fresh;long;sweet;green;soft;small;peeled;organic
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Food Items,beef,fresh;cooked;lean;tender;red;grilled;tough;ground;rare;juicy
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Food Items,bread,fresh;soft;warm;white;sliced;hard;toasted;whole;sweet;plain
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Food Items,broccoli,green;fresh;steamed;raw;crunchy;healthy;small;cooked;organic;tender
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Food Items,cheese,yellow;soft;hard;fresh;melted;sharp;creamy;grated;mild;aged
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Food Items,chicken,fresh;cooked;grilled;roasted;tender;spicy;small;organic;fried;boneless
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Food Items,egg,fresh;boiled;fried;large;small;white;brown;cracked;raw;organic
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Food Items,fish,fresh;cooked;grilled;small;big;wild;frozen;salty;oily;tasty
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Food Items,pasta,cooked;hot;soft;dry;fresh;long;short;cheesy;spicy;simple
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Food Items,rice,cooked;white;hot;fluffy;steamed;brown;sticky;dry;fried;plain
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Food Items,soup,hot;thick;cold;tasty;creamy;vegetable;spicy;clear;homemade;rich
grok-3-mini,basic,1.0,ES # Spanish,B2,most frequent,Human Roles,artist,talented;young;famous;creative;skilled;local;modern;dedicated;passionate;unknown
