Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,anger,strong;deep;red;hot;wild;bitter;quick;dark;fierce;loud
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Food Items,pasta,soft;tasty;hot;long;yellow;fresh;cooked;simple;creamy;spicy
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Food Items,rice,white;soft;tasty;hot;fresh;small;cooked;sticky;light;plain
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Food Items,soup,hot;tasty;warm;thick;fresh;clear;creamy;salty;light;spicy
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Human Roles,artist,creative;talented;famous;young;old;skilled;passionate;unique;busy;clever
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Human Roles,athlete,strong;fast;young;fit;tall;powerful;active;skilled;tough;brave
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Human Roles,chef,skilled;famous;busy;creative;talented;friendly;experienced;young;careful;clever
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Human Roles,doctor,kind;smart;busy;helpful;experienced;friendly;careful;young;wise;patient
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Human Roles,engineer,smart;skilled;young;clever;busy;talented;creative;experienced;careful;innovative
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Human Roles,farmer,hard-working;strong;kind;busy;old;friendly;patient;simple;tough;dedicated
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Human Roles,lawyer,smart;busy;strict;clever;experienced;strong;serious;helpful;young;confident
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Human Roles,musician,talented;famous;young;creative;skilled;passionate;loud;happy;unique;artistic
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Human Roles,scientist,smart;curious;busy;clever;young;talented;serious;careful;innovative;wise
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Human Roles,soldier,brave;strong;young;tough;loyal;tall;fearless;serious;dedicated;proud
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Human Roles,teacher,kind;patient;smart;helpful;strict;friendly;wise;busy;experienced;caring
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Human Roles,writer,creative;talented;famous;young;clever;busy;passionate;unique;quiet;thoughtful
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,book,old;thick;interesting;new;small;heavy;colorful;useful;boring;famous
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,bridge,long;strong;old;high;wide;beautiful;wooden;narrow;big;modern
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,drums,loud;big;heavy;round;wooden;noisy;colorful;old;shiny;strong
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,earth,big;round;beautiful;green;blue;vast;old;warm;rich;alive
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,flute,small;wooden;sweet;light;old;shiny;long;delicate;beautiful;clear
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,key,small;shiny;old;silver;golden;heavy;cold;useful;tiny;important
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,knife,sharp;small;heavy;shiny;dangerous;silver;long;useful;cold;hard
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,lock,strong;heavy;small;old;shiny;silver;tight;secure;broken;cold
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,moon,bright;white;round;big;beautiful;pale;quiet;magical;cold;distant
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,pen,small;black;blue;shiny;light;useful;cheap;long;pretty;simple
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,sun,bright;hot;big;yellow;warm;powerful;shining;beautiful;golden;strong
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Inanimate Objects,sword,sharp;long;heavy;shiny;old;strong;dangerous;silver;cold;powerful
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Neutral Animals,cat,small;soft;cute;black;white;lazy;quiet;fast;furry;playful
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Neutral Animals,dog,loyal;friendly;big;small;brown;loud;active;cute;strong;happy
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Neutral Animals,dolphin,smart;friendly;fast;blue;big;playful;beautiful;smooth;happy;graceful
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Neutral Animals,elephant,big;heavy;gray;strong;tall;slow;kind;old;huge;wise
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Neutral Animals,hamster,small;cute;soft;tiny;brown;fast;furry;shy;active;sweet
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Neutral Animals,monkey,funny;small;fast;brown;clever;noisy;active;playful;wild;smart
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Neutral Animals,mouse,small;tiny;gray;fast;shy;quiet;cute;little;sneaky;soft
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Neutral Animals,peacock,beautiful;colorful;proud;big;bright;tall;shiny;rare;elegant;loud
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Neutral Animals,rabbit,small;white;cute;fast;soft;furry;shy;little;sweet;quiet
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Neutral Animals,shark,big;dangerous;fast;gray;scary;strong;sharp;cold;hungry;fierce
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Neutral Animals,snake,long;dangerous;green;scary;fast;cold;slippery;thin;quiet;poisonous
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Neutral Animals,whale,huge;big;blue;heavy;slow;kind;deep;beautiful;strong;rare
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Places,city,big;busy;noisy;modern;crowded;bright;tall;old;dirty;lively
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Places,desert,hot;dry;vast;empty;sandy;quiet;yellow;dangerous;wide;lonely
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Places,forest,green;thick;dark;big;quiet;deep;wild;beautiful;old;mysterious
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Places,island,small;beautiful;green;quiet;remote;tropical;blue;lonely;warm;sandy
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Places,lake,blue;calm;deep;big;quiet;clear;cold;beautiful;still;fresh
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Places,mountain,tall;high;big;rocky;cold;beautiful;strong;steep;green;snowy
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Places,ocean,vast;blue;deep;wide;cold;powerful;dangerous;beautiful;salty;endless
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Places,plain,wide;flat;green;vast;empty;quiet;big;open;yellow;peaceful
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Places,plateau,high;flat;wide;big;rocky;cold;empty;open;dry;quiet
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Places,river,long;blue;deep;wide;fast;clear;cold;beautiful;calm;flowing
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Places,valley,green;deep;narrow;beautiful;quiet;long;wide;cool;peaceful;fertile
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Places,village,small;quiet;old;peaceful;green;friendly;simple;beautiful;remote;calm
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Plants,cactus,green;spiky;tall;dry;tough;small;sharp;hard;desert;strange
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Plants,eggplant,purple;long;fresh;soft;tasty;smooth;small;cooked;healthy;shiny
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Plants,flower,beautiful;colorful;small;bright;soft;sweet;pretty;delicate;fresh;red
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Plants,grass,green;soft;thick;fresh;short;tall;wet;cool;light;wild
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Plants,lettuce,green;fresh;light;soft;healthy;crisp;raw;cool;tasty;small
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Plants,mushroom,small;brown;soft;tasty;white;strange;round;wet;wild;edible
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Plants,onion,strong;white;round;small;sharp;tasty;fresh;raw;yellow;spicy
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Plants,pepper,spicy;red;green;hot;small;fresh;tasty;sharp;colorful;raw
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Plants,potato,brown;round;hard;fresh;tasty;small;cooked;soft;healthy;plain
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Plants,rose,red;beautiful;soft;sweet;delicate;pretty;thorny;bright;small;fragrant
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Plants,tomato,red;juicy;fresh;round;tasty;small;soft;ripe;healthy;sweet
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Plants,tree,tall;green;old;big;strong;thick;beautiful;shady;wide;leafy
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Social Relationships,ally,loyal;helpful;kind;strong;true;friendly;close;trusted;supportive;good
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Social Relationships,brother,kind;strong;close;helpful;young;tall;funny;caring;protective;friendly
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Social Relationships,enemy,dangerous;strong;bad;angry;cold;fierce;dark;hateful;tough;evil
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Social Relationships,father,kind;strong;old;wise;caring;tall;strict;loving;helpful;protective
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Social Relationships,follower,loyal;young;quiet;supportive;kind;dedicated;eager;close;obedient;faithful
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Social Relationships,friend,kind;close;funny;helpful;loyal;sweet;good;caring;happy;true
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Social Relationships,leader,strong;wise;brave;kind;tall;smart;powerful;strict;confident;inspiring
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Social Relationships,mother,kind;loving;caring;soft;warm;sweet;strong;gentle;patient;beautiful
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Social Relationships,partner,kind;loyal;helpful;close;strong;funny;caring;sweet;trusted;supportive
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Social Relationships,rival,strong;tough;competitive;angry;fast;smart;dangerous;cold;fierce;challenging
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Social Relationships,sister,kind;sweet;close;funny;caring;young;helpful;loving;pretty;friendly
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Social Relationships,stranger,unknown;quiet;tall;cold;strange;shy;distant;weird;dark;silent
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,above,high;clear;bright;wide;open;blue;far;big;empty;distant
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,back,strong;wide;straight;sore;tired;broad;hidden;dark;cold;heavy
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,below,low;deep;dark;cold;hidden;quiet;small;close;silent;narrow
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,east,far;bright;warm;distant;open;clear;beautiful;quiet;wide;ancient
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,front,clear;wide;open;big;bright;strong;straight;close;clean;visible
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,inside,warm;dark;quiet;small;hidden;cozy;safe;tight;soft;secret
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,left,close;near;small;quiet;hidden;sharp;quick;soft;cold;empty
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,north,cold;far;dark;quiet;snowy;distant;wide;open;harsh;beautiful
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,outside,cold;bright;wide;open;noisy;fresh;big;clear;green;windy
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,right,close;clear;straight;quick;strong;near;sharp;small;open;correct
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,south,warm;bright;far;open;green;distant;hot;beautiful;wide;sunny
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Spatial Concepts,west,far;open;bright;distant;warm;beautiful;wide;quiet;golden;sunny
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Time Concepts,century,old;long;past;new;great;important;ancient;famous;historical;different
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Time Concepts,day,bright;long;warm;busy;happy;sunny;short;cold;clear;tired
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Time Concepts,evening,calm;quiet;cool;dark;beautiful;peaceful;soft;relaxing;late;pleasant
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Time Concepts,hour,long;short;busy;quiet;late;early;fast;slow;important;happy
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Time Concepts,minute,quick;short;fast;busy;quiet;important;slow;precious;passing;small
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Time Concepts,month,long;short;busy;cold;warm;rainy;happy;quiet;fast;slow
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Time Concepts,morning,bright;early;fresh;cool;quiet;beautiful;sunny;calm;clear;peaceful
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Time Concepts,night,dark;quiet;long;cold;late;beautiful;silent;scary;deep;peaceful
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Time Concepts,season,warm;cold;wet;dry;long;short;beautiful;green;colorful;harsh
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Time Concepts,second,quick;fast;short;small;passing;important;busy;quiet;tiny;precious
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Time Concepts,week,long;busy;short;fast;happy;tired;slow;quiet;important;exciting
grok-3,think-in-native,1.0,PS # Pashto,B1,most frequent,Time Concepts,year,long;new;old;busy;happy;short;fast;important;great;past
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,anger,strong;deep;sudden;burning;fierce;wild;hot;bitter;intense;uncontrolled
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,courage,great;true;bold;amazing;fearless;brave;powerful;heroic;daring;solid
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,fear,dark;cold;heavy;hidden;terrible;real;sharp;growing;silent;deep
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,freedom,pure;sweet;complete;precious;hard;new;open;endless;beautiful;desired
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,happiness,bright;warm;full;genuine;simple;big;joyful;lasting;true;shared
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,hate,strong;blind;cruel;dark;bitter;cold;deep;hidden;fierce;painful
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,honesty,clear;pure;strong;real;true;simple;open;brave;rare;valuable
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,justice,fair;strict;true;equal;strong;honest;clear;moral;right;necessary
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,knowledge,vast;deep;useful;broad;powerful;important;clear;rich;practical;essential
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,love,true;deep;warm;sweet;pure;strong;endless;caring;gentle;passionate
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,peace,calm;quiet;sweet;lasting;true;inner;beautiful;soft;deep;perfect
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Abstract Concepts,wisdom,great;ancient;true;deep;practical;rare;clear;powerful;quiet;valuable
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,bell,loud;clear;small;shiny;old;heavy;golden;ringing;bright;metal
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,candle,small;bright;warm;flickering;white;tall;soft;burning;simple;scented
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,carpet,soft;colorful;thick;warm;old;beautiful;patterned;red;handmade;large
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,coin,old;shiny;small;round;silver;golden;rare;heavy;valuable;ancient
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,crown,golden;heavy;royal;shiny;beautiful;old;precious;grand;jeweled;majestic
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,flag,colorful;national;proud;waving;big;bright;symbolic;red;white;bold
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,mask,scary;black;funny;strange;painted;hidden;mysterious;wooden;small;dark
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,necklace,beautiful;shiny;long;golden;silver;expensive;delicate;elegant;simple;precious
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;famous;large;detailed;realistic;abstract;amazing;artistic
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,ring,golden;small;shiny;precious;simple;beautiful;silver;round;expensive;elegant
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,statue,tall;old;stone;beautiful;ancient;grand;heavy;white;famous;carved
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Cultural Artifacts,vase,delicate;beautiful;tall;old;ceramic;painted;fragile;elegant;small;decorative
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,cloud,white;fluffy;dark;heavy;big;soft;gray;moving;high;rainy
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,earthquake,strong;sudden;scary;powerful;dangerous;destructive;terrible;violent;unexpected;massive
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,fog,thick;cold;white;heavy;mysterious;gray;silent;wet;dense;early
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,lightning,bright;quick;sharp;powerful;dangerous;white;sudden;loud;scary;flashing
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,rain,heavy;light;cold;soft;wet;endless;sudden;warm;gray;refreshing
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,rainbow,colorful;beautiful;bright;rare;magical;curved;amazing;clear;vivid;happy
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;pure;beautiful;thick;falling;icy;silent
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,storm,strong;dark;loud;scary;violent;powerful;dangerous;heavy;wild;angry
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,thunder,loud;deep;scary;sudden;strong;powerful;booming;dark;heavy;rolling
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,tide,high;low;strong;powerful;dangerous;rising;fast;cold;wet;changing
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,volcano,hot;dangerous;active;tall;powerful;fiery;dark;smoking;angry;massive
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Environmental Phenomena,wind,strong;cold;warm;fast;light;sharp;blowing;wild;gentle;noisy
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Food Items,apple,red;green;sweet;fresh;juicy;round;small;crisp;tasty;ripe
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Food Items,banana,yellow;sweet;long;ripe;soft;fresh;tasty;curved;healthy;small
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Food Items,beef,red;fresh;tender;juicy;cooked;spicy;grilled;tasty;soft;thick
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Food Items,bread,fresh;warm;soft;brown;white;crispy;tasty;homemade;thick;small
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Food Items,broccoli,green;fresh;healthy;small;tender;raw;cooked;bitter;soft;nutritious
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Food Items,cheese,yellow;white;soft;hard;tasty;creamy;strong;melted;fresh;salty
grok-3,think-in-native,1.0,PS # Pashto,B2,most frequent,Food Items,chicken,cooked;grilled;juicy;tender;spicy;fresh;roasted;white;tasty;soft
